,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
MJ,0.0,0.0,87.5,20.0,20.0,20.0,20.0,0.0,10.0,20.0,20.0,10.0,20.0,10.0,10.0,0.0,20.0,20.0,40.0,10.0,10.0,20.0,10.0,50.0,10.0,20.0,10.0,10.0,10.0,20.0,61.25
MMIN,20.0,20.0,87.5,0.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,10.0,20.0,30.0,30.0,20.0,0.0,0.0,30.0,10.0,30.0,0.0,10.0,50.0,10.0,0.0,10.0,30.0,30.0,0.0,61.25
NANS,20.0,20.0,87.5,0.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,10.0,20.0,30.0,30.0,20.0,0.0,0.0,30.0,10.0,30.0,0.0,10.0,50.0,10.0,0.0,10.0,30.0,30.0,0.0,61.25
PLU1,40.0,40.0,87.5,30.0,30.0,50.0,30.0,40.0,30.0,30.0,30.0,30.0,50.0,50.0,50.0,40.0,30.0,30.0,0.0,30.0,50.0,30.0,40.0,60.0,30.0,30.0,30.0,50.0,50.0,30.0,61.25
PLU2,10.0,10.0,87.5,10.0,10.0,30.0,10.0,10.0,0.0,10.0,10.0,0.0,30.0,20.0,20.0,10.0,10.0,10.0,30.0,0.0,20.0,10.0,20.0,50.0,0.0,10.0,0.0,20.0,20.0,10.0,61.25
RV,10.0,10.0,87.5,30.0,30.0,10.0,30.0,10.0,20.0,30.0,30.0,20.0,10.0,0.0,0.0,10.0,30.0,30.0,50.0,20.0,0.0,30.0,20.0,40.0,20.0,30.0,20.0,0.0,0.0,30.0,61.25
SCHU,20.0,20.0,87.5,0.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,10.0,20.0,30.0,30.0,20.0,0.0,0.0,30.0,10.0,30.0,0.0,10.0,50.0,10.0,0.0,10.0,30.0,30.0,0.0,61.25
STAR,10.0,10.0,87.5,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,10.0,10.0,40.0,20.0,20.0,10.0,0.0,50.0,20.0,10.0,20.0,20.0,20.0,10.0,61.25
VETO,50.0,50.0,87.5,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,50.0,50.0,50.0,60.0,50.0,40.0,50.0,50.0,0.0,50.0,50.0,50.0,40.0,40.0,50.0,61.25
WOOD,10.0,10.0,87.5,10.0,10.0,30.0,10.0,10.0,0.0,10.0,10.0,0.0,30.0,20.0,20.0,10.0,10.0,10.0,30.0,0.0,20.0,10.0,20.0,50.0,0.0,10.0,0.0,20.0,20.0,10.0,61.25
YOUN,20.0,20.0,87.5,0.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,10.0,20.0,30.0,30.0,20.0,0.0,0.0,30.0,10.0,30.0,0.0,10.0,50.0,10.0,0.0,10.0,30.0,30.0,0.0,61.25
AP_K2,10.0,10.0,87.5,10.0,10.0,30.0,10.0,10.0,0.0,10.0,10.0,0.0,30.0,20.0,20.0,10.0,10.0,10.0,30.0,0.0,20.0,10.0,20.0,50.0,0.0,10.0,0.0,20.0,20.0,10.0,61.25
AP_K3,10.0,10.0,87.5,30.0,30.0,10.0,30.0,10.0,20.0,30.0,30.0,20.0,10.0,0.0,0.0,10.0,30.0,30.0,50.0,20.0,0.0,30.0,20.0,40.0,20.0,30.0,20.0,0.0,0.0,30.0,61.25
AP_KRP,10.0,10.0,87.5,30.0,30.0,10.0,30.0,10.0,20.0,30.0,30.0,20.0,10.0,0.0,0.0,10.0,30.0,30.0,50.0,20.0,0.0,30.0,20.0,40.0,20.0,30.0,20.0,0.0,0.0,30.0,61.25
DODG_C,20.0,20.0,87.5,0.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,10.0,20.0,30.0,30.0,20.0,0.0,0.0,30.0,10.0,30.0,0.0,10.0,50.0,10.0,0.0,10.0,30.0,30.0,0.0,61.25
COND,61.25,61.25,26.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,0.0
