,A,B,C,D,E,F,G,H,I
v44,0.5,0.8,0.6,0.0,1.0,0.0,0.6,0.0,0.0
v45,0.0,0.5,0.4,0.0,0.0,1.0,0.4,0.0,0.0
v46,0.0,0.7,0.7,0.0,0.7,0.8,0.7,0.0,0.5
v47,0.1,1.0,0.6,0.1,1.0,,1.0,0.1,0.1
v48,0.0,0.8,0.3,0.0,0.5,0.9,0.6,0.0,0.5
v49,,,,,0.0,,,,
v50,1.0,0.4,0.5,0.8,0.4,0.0,0.0,0.2,0.3
v51,0.5,0.3,0.2,0.8,0.0,0.0,0.3,0.9,0.8
v52,0.4,0.5,,0.0,1.0,0.7,0.6,0.0,0.1
v53,0.3,0.5,0.9,0.3,0.4,0.1,0.8,,0.2
v54,0.7,0.5,0.5,0.9,0.3,0.2,0.5,0.7,0.6
v55,0.6,0.5,0.8,0.7,0.0,0.2,0.4,0.5,0.5
v56,0.8,0.6,0.0,0.5,0.6,0.1,0.7,0.4,0.4
v57,0.0,0.8,0.5,0.1,0.5,1.0,0.6,0.0,0.2
v58,0.0,0.8,0.8,0.0,0.6,1.0,0.7,0.0,0.0
v59,0.4,0.3,0.4,0.3,0.3,0.7,0.2,0.0,0.5
v60,0.0,0.4,0.0,0.0,1.0,0.3,0.6,0.0,0.0
v61,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.6
v62,0.8,0.5,0.5,0.8,0.0,0.3,,0.8,
v63,0.7,0.9,1.0,0.3,0.2,0.9,0.6,0.1,0.3
v64,0.3,0.9,0.6,0.1,0.6,0.9,0.8,0.0,0.1
v65,0.7,0.6,0.5,0.7,0.0,0.5,0.6,0.7,0.8
v66,1.0,0.3,0.0,0.9,0.0,0.3,0.3,0.2,0.2
v67,1.0,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.0
v68,0.4,0.4,0.4,0.1,0.5,0.4,0.1,0.0,0.1
v69,0.3,0.5,0.4,0.9,0.1,0.0,0.2,0.8,0.7
v70,0.9,0.9,0.9,0.9,0.2,0.8,0.8,0.4,0.9
v71,0.7,0.4,0.4,0.9,0.1,0.5,0.4,0.6,0.2
v72,0.7,0.6,0.6,0.7,0.0,0.3,0.3,0.4,0.9
v73,0.0,0.9,0.5,0.5,0.5,0.5,0.7,0.5,0.7
v74,0.4,0.2,0.0,0.6,0.0,0.0,0.0,0.7,0.4
v75,0.6,0.9,0.8,,0.8,0.8,0.8,0.4,0.6
v76,0.8,0.5,0.2,0.3,0.3,0.3,0.5,0.2,0.8
v77,0.9,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5
v78,0.5,0.4,0.6,0.6,0.0,0.5,0.5,0.4,0.7
v79,0.5,0.6,0.7,0.4,0.3,0.4,0.6,0.4,0.3
v80,1.0,0.6,0.6,0.8,0.0,0.0,0.2,0.8,0.7
v81,0.8,0.6,0.1,0.6,0.1,,0.3,0.0,0.6
v82,0.6,0.7,0.6,0.4,0.0,0.8,0.5,0.3,0.6
v83,1.0,0.1,0.2,0.5,0.3,0.3,0.2,0.0,0.3
v84,,0.7,,0.0,0.7,,0.4,0.0,0.0
v85,0.6,0.4,0.7,0.4,0.0,0.0,0.3,0.2,0.8
v86,0.7,0.2,0.0,0.8,0.0,0.0,0.2,0.8,0.6
v87,0.4,1.0,0.8,,,0.8,,,
v88,0.6,0.8,1.0,0.3,0.3,0.7,0.4,0.1,0.2
v89,0.3,0.0,0.0,0.8,0.0,0.0,0.0,0.9,0.3
v90,1.0,0.2,0.2,0.3,0.1,0.2,0.4,,0.4
v91,0.0,0.4,0.6,0.0,0.1,1.0,0.2,0.0,0.4
v92,0.0,0.8,1.0,,0.3,,0.8,0.2,0.6
v93,0.8,0.7,0.8,0.6,,0.4,0.6,0.4,0.4
v94,0.8,0.6,0.4,1.0,0.0,0.4,0.0,0.9,0.2
v95,0.8,0.3,0.5,0.4,0.0,0.1,0.2,0.1,0.2
v96,0.0,0.2,0.3,0.3,0.8,0.1,0.1,0.0,0.0
v97,1.0,0.7,0.7,1.0,0.0,0.0,0.7,0.8,1.0
v98,0.2,0.2,,0.2,0.1,0.1,0.3,0.2,0.2
v99,0.8,0.5,,0.9,0.1,0.2,0.6,0.8,0.6
v100,0.7,0.6,0.5,0.0,0.9,0.8,1.0,0.0,0.3
v101,0.7,0.7,0.6,0.8,0.0,0.5,0.5,0.8,1.0
v102,0.5,0.9,0.7,0.3,,0.7,,0.0,
v103,0.8,0.5,0.6,0.7,0.2,0.7,0.2,0.1,0.2
v104,0.9,0.4,0.8,0.5,0.1,0.6,0.0,0.0,0.0
v105,0.2,0.4,0.2,0.1,0.5,0.4,0.4,0.0,0.2
v106,0.9,0.0,0.0,0.7,0.2,0.0,0.0,0.7,0.0
v107,0.3,0.7,0.6,0.1,0.7,0.3,0.5,0.0,0.0
v108,0.6,0.1,0.3,0.8,0.2,0.7,0.2,0.8,0.3
v109,0.7,0.2,0.0,0.9,0.0,0.0,0.0,0.9,0.2
v110,0.8,0.3,0.0,0.8,0.2,0.0,0.3,0.0,0.3
v111,0.6,0.9,0.8,0.5,0.5,0.8,0.6,0.4,0.4
v112,0.8,0.4,0.2,1.0,0.0,0.4,0.3,0.2,0.5
v113,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.6
v114,0.8,0.7,0.6,0.8,0.0,1.0,0.3,0.6,0.3
v115,0.9,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1
v116,1.0,0.1,0.5,0.6,0.2,0.4,0.2,0.1,0.4
v117,1.0,0.0,0.3,,0.8,0.0,0.0,0.0,0.0
v118,0.6,0.6,0.6,0.5,0.1,0.6,0.5,0.3,0.7
v119,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
v120,0.8,0.6,0.1,0.6,0.2,0.1,0.6,0.7,0.1
v121,0.9,0.3,0.2,0.7,0.0,0.0,0.3,0.3,0.6
v122,0.7,0.3,0.0,0.8,0.0,0.0,0.7,0.9,0.5
v123,1.0,0.5,0.4,0.5,0.5,0.0,0.0,0.0,0.0
v124,0.5,0.4,0.9,0.8,0.2,0.3,0.5,0.6,0.5
v125,0.9,0.2,0.5,0.7,0.5,0.1,0.2,0.3,0.2
v126,0.3,0.7,0.6,0.2,0.2,0.8,0.7,0.1,0.4
v127,0.8,0.2,0.3,0.9,0.0,0.0,0.2,0.8,0.0
v128,0.7,0.1,,0.6,0.0,0.6,0.3,0.2,0.1
v129,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
v130,0.5,0.2,0.2,0.9,0.0,0.0,0.1,0.8,0.5
v131,0.6,0.5,0.5,0.4,0.6,0.3,1.0,0.4,0.3
v132,0.5,0.8,0.5,0.1,0.3,0.8,0.4,0.1,0.4
v133,0.8,0.5,0.5,0.7,0.1,0.4,0.5,0.3,0.7
v134,0.5,0.3,0.1,0.8,0.1,0.1,0.1,0.8,0.3
v135,0.6,0.2,,0.6,0.0,0.7,0.8,0.1,0.7
v136,0.8,0.4,0.1,0.8,0.4,0.2,0.0,0.4,0.0
v137,1.0,0.4,0.4,0.9,0.0,0.3,0.4,0.6,0.9
v138,0.7,0.5,0.4,1.0,0.1,0.4,0.8,0.6,0.6
v139,1.0,0.8,0.3,1.0,0.1,0.2,0.1,0.9,0.6
v140,0.3,0.9,0.7,0.6,0.9,1.0,0.8,0.0,0.0
v141,0.0,0.4,0.0,0.1,0.5,1.0,0.5,0.0,0.1
v142,0.4,0.8,0.9,0.0,0.8,0.8,0.8,0.0,0.0
v143,,0.7,,,,,,,
v144,1.0,0.1,0.1,0.3,0.1,0.1,0.2,0.0,0.2
v145,0.0,0.7,,0.0,,,0.8,0.0,0.0
v146,0.6,,,,,,,,0.5
v147,0.8,0.2,0.5,0.8,0.0,0.0,0.0,0.8,0.7
v148,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0
v149,0.3,0.7,0.8,0.7,0.0,0.7,0.6,0.4,0.8
v150,0.6,0.4,0.9,0.1,0.5,0.7,0.1,0.0,0.1
v151,0.3,0.8,0.6,0.2,0.5,0.9,0.7,0.0,0.5
v152,0.7,0.3,0.2,0.8,0.0,0.1,0.2,0.4,0.5
v153,0.4,0.9,0.5,0.0,0.7,0.8,0.8,0.0,0.4
v154,0.8,0.5,0.5,0.7,0.0,0.3,0.4,0.2,0.5
v155,0.0,0.4,0.7,0.0,0.0,1.0,0.4,0.0,0.2
v156,0.8,0.3,0.4,0.5,0.0,0.3,0.2,0.5,0.7
v157,0.8,0.6,0.8,0.9,0.0,0.5,0.4,0.2,0.9
v158,1.0,0.4,0.3,0.7,0.0,0.1,0.6,0.6,0.8
v159,0.8,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.0
v160,0.0,1.0,0.5,0.0,0.7,1.0,0.8,0.0,0.4
v161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v162,0.5,0.4,0.2,0.8,0.0,0.2,0.3,1.0,0.5
v163,1.0,0.3,0.2,0.6,0.6,0.3,0.6,0.3,0.6
v164,0.8,0.2,0.2,0.8,0.0,0.0,0.2,0.5,0.2
v165,1.0,0.0,0.3,0.9,0.0,0.3,0.0,0.5,0.0
v166,0.7,0.2,0.0,0.8,0.0,0.0,0.1,0.6,0.3
v167,1.0,0.5,0.5,0.9,0.1,0.6,0.4,0.7,0.8
v168,0.8,0.4,0.1,0.7,0.4,0.1,0.4,0.4,0.4
v169,0.6,0.8,0.6,0.4,0.4,0.9,0.7,0.0,0.6
v170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0
v171,0.6,0.0,0.3,0.7,0.0,0.1,0.2,0.6,0.7
v172,0.5,0.7,0.5,0.6,0.7,0.9,0.7,0.2,
v173,0.5,0.4,0.7,0.7,0.0,0.2,0.0,0.9,0.8
v174,0.9,0.4,0.4,0.9,0.3,0.2,0.2,0.8,0.5
v175,0.4,0.8,,0.2,,,0.4,,0.0
v176,0.6,0.2,0.1,0.0,0.5,0.0,0.2,0.0,0.1
v177,0.8,0.3,0.0,0.7,0.0,0.0,0.6,0.6,0.8
v178,0.5,0.3,0.3,0.1,0.6,0.1,0.6,0.0,0.8
v179,1.0,0.0,0.0,0.1,,0.1,,,
v180,0.6,0.6,0.5,0.2,0.0,0.6,0.6,0.0,0.5
v181,1.0,0.2,0.5,0.5,0.2,0.1,0.2,0.3,0.2
v182,0.6,0.8,0.7,0.2,0.6,0.9,0.7,0.0,0.4
v183,1.0,0.5,0.6,0.6,0.8,0.8,,0.0,
v184,0.8,0.4,0.6,1.0,0.0,0.2,0.3,0.9,0.7
v185,0.2,0.7,0.5,0.1,0.7,0.9,0.6,0.0,0.1
v186,1.0,0.7,0.8,1.0,0.0,0.3,0.2,0.9,0.4
v187,0.6,0.7,0.0,0.1,0.4,0.6,0.6,0.0,0.2
v188,0.9,0.3,0.2,0.9,0.0,0.2,0.2,0.9,0.3
v189,0.5,0.6,,0.6,0.0,,,0.5,0.6
v190,0.6,0.1,0.3,0.9,0.0,0.1,0.1,0.7,0.3
v191,0.8,0.4,0.6,0.8,0.4,0.5,0.5,0.4,0.4
v192,0.0,1.0,0.1,0.4,0.7,1.0,1.0,0.0,0.5
v193,0.5,0.9,0.5,0.5,0.7,0.8,0.7,0.0,0.2
v194,,0.1,0.1,0.7,0.1,0.4,0.2,0.5,0.2
v195,0.7,0.3,0.6,0.8,0.1,0.2,0.4,0.8,0.9
v196,0.2,0.9,0.7,0.1,0.0,1.0,0.2,0.0,0.2
v197,1.0,0.0,0.7,0.9,0.0,0.3,0.5,,0.5
v198,0.0,0.1,0.1,0.0,1.0,0.2,0.4,0.0,0.0
v199,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.2,0.6
v200,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,
v201,0.8,0.5,0.0,0.8,0.8,0.1,0.6,0.7,0.7
v202,0.6,0.6,,0.6,,0.6,0.6,0.6,0.6
v203,0.8,0.1,0.4,1.0,0.0,0.2,0.2,0.7,0.6
v204,0.7,0.2,0.2,0.9,0.0,0.2,0.2,0.5,0.9
v205,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.3
v206,0.9,0.1,0.1,0.8,0.0,0.0,0.0,0.7,0.3
v207,0.0,0.9,0.5,0.0,0.5,0.8,0.7,0.0,0.0
v208,0.2,0.7,0.7,0.1,0.7,0.7,0.6,0.0,0.0
v209,1.0,0.2,0.1,0.8,0.0,0.0,0.2,0.1,0.0
v210,0.7,0.4,0.4,0.9,0.3,0.0,0.4,0.7,0.5
v211,0.2,0.4,0.7,0.4,0.0,0.5,0.5,0.9,0.7
v212,0.6,0.6,0.7,0.2,0.4,0.6,0.7,0.2,0.6
v213,0.8,0.5,0.5,0.0,0.5,0.0,0.6,0.0,0.2
v214,0.7,0.5,0.5,0.7,0.0,0.3,0.4,0.1,0.7
v215,0.9,0.6,0.7,0.8,0.5,0.3,0.3,0.4,0.3
v216,1.0,0.3,0.5,1.0,0.5,0.3,0.6,0.7,0.5
v217,0.7,,0.9,0.8,0.4,0.8,0.8,0.7,0.8
v218,0.8,0.2,0.7,0.5,0.3,0.6,0.5,0.8,0.3
v219,0.7,0.5,0.8,0.4,0.5,0.5,0.6,0.5,0.5
v220,0.3,0.7,0.4,0.2,0.6,1.0,0.5,0.0,0.3
v221,0.5,0.1,0.1,0.7,0.0,0.0,0.1,0.6,0.4
v222,0.8,0.7,0.5,0.8,0.4,0.5,0.4,0.7,0.6
v223,0.7,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.2
v224,0.5,0.8,0.9,0.2,0.7,0.5,0.8,0.2,0.4
v225,0.6,0.3,0.4,0.9,0.1,0.1,0.3,0.6,0.5
v226,0.3,0.4,0.4,0.6,0.4,0.8,0.4,0.5,0.4
v227,0.5,0.9,0.9,0.2,,0.1,0.6,,0.8
v228,0.7,0.3,0.4,0.9,0.1,0.1,0.3,0.7,0.6
v229,0.5,0.5,,,0.1,0.0,0.3,0.7,0.7
v230,0.0,0.9,0.1,0.5,0.2,0.6,0.5,0.0,0.1
v231,0.8,1.0,,0.8,0.7,0.5,0.5,,
v232,0.9,0.5,0.5,0.6,0.3,0.3,0.6,0.5,0.5
v233,1.0,0.6,0.6,0.9,0.0,0.2,0.2,0.4,0.4
v234,0.7,0.1,0.0,0.8,0.0,0.0,0.2,0.7,0.7
v235,0.3,0.6,0.3,0.1,1.0,0.5,0.8,0.0,0.2
v236,0.8,0.5,0.7,0.9,0.0,0.2,0.0,0.9,0.9
v237,0.3,0.6,0.7,0.7,0.1,0.2,0.2,0.5,0.8
v238,0.8,0.7,,0.7,,0.2,,0.5,0.9
v239,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1
v240,0.0,1.0,1.0,0.0,0.4,1.0,0.7,0.0,0.0
v241,0.7,0.6,,0.4,0.2,0.4,0.5,0.4,0.7
v242,0.5,0.0,0.0,0.7,0.4,0.7,0.0,0.1,0.1
v243,0.9,0.3,0.2,1.0,0.0,0.3,0.4,1.0,0.7
v244,0.5,0.3,0.2,0.7,0.0,0.2,0.3,0.8,0.6
v245,0.3,0.0,,1.0,0.0,0.1,0.1,0.8,0.0
v246,0.9,0.2,0.2,0.8,0.1,0.1,0.2,0.8,0.5
v247,0.7,0.8,0.7,0.7,0.7,0.7,0.5,0.0,0.2
v248,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.3,0.5
v249,0.8,0.4,0.5,0.9,0.0,0.3,0.3,0.7,0.4
v250,0.1,0.7,0.5,0.1,1.0,0.8,0.5,0.0,0.0
v251,0.3,0.2,0.2,0.0,0.0,0.4,0.5,0.4,0.8
v252,0.9,0.1,0.1,0.8,0.0,0.1,0.1,0.7,0.5
v253,0.5,0.5,0.8,0.5,0.5,,0.5,0.0,
v254,0.6,0.8,0.6,0.1,0.4,0.4,0.4,0.0,0.4
v255,0.9,0.5,0.1,0.9,0.0,0.8,0.2,0.7,0.2
v256,0.5,0.3,0.1,0.7,0.0,0.1,0.3,0.9,0.4
v257,0.1,0.9,0.1,0.2,1.0,1.0,1.0,0.0,0.0
v258,0.8,0.4,0.3,0.8,0.0,0.5,0.3,0.5,0.5
v259,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2
v260,1.0,0.4,0.5,0.8,0.3,0.4,0.6,0.6,0.5
v261,0.9,0.2,0.3,0.9,0.1,0.3,0.2,0.7,0.2
v262,0.4,0.5,0.3,0.3,,,0.3,,0.3
v263,0.5,0.8,0.6,0.4,0.4,0.5,0.7,0.3,0.6
v264,0.2,0.7,0.2,0.1,0.5,0.5,0.4,0.0,0.2
v265,0.6,0.2,0.0,0.9,0.0,0.0,0.3,0.7,0.4
v266,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5
v267,0.4,0.2,0.3,0.6,0.0,0.1,0.2,0.5,0.2
v268,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v269,0.8,0.5,0.5,0.6,0.5,0.2,0.5,0.6,0.1
v270,0.0,1.0,0.0,0.0,0.0,0.8,1.0,0.0,0.5
v271,1.0,0.1,0.0,0.8,0.0,0.1,0.1,0.6,0.1
v272,0.7,0.7,0.5,0.1,0.5,0.5,0.5,0.0,0.1
v273,0.9,0.3,0.4,0.8,0.1,0.0,0.3,0.5,0.6
v274,0.7,0.0,,0.8,0.0,0.0,0.2,0.0,0.1
v275,0.8,0.5,0.7,0.9,0.1,0.4,0.4,0.3,0.4
v276,,,0.8,,,0.5,,,
v277,0.8,0.4,0.5,0.8,0.0,0.1,0.3,0.9,0.6
v278,0.3,0.6,0.7,,0.2,0.7,0.5,0.2,0.3
v279,0.6,0.2,0.0,0.9,0.0,0.0,0.3,0.7,0.4
v280,0.0,0.5,1.0,0.0,0.4,1.0,0.9,0.2,0.5
v281,0.0,0.7,0.0,0.0,0.7,0.2,0.3,0.0,0.0
v282,1.0,0.2,0.2,0.0,0.1,0.0,0.3,0.0,0.3
v283,0.8,0.2,0.0,1.0,0.0,0.0,0.2,1.0,0.4
v284,0.7,0.7,,0.7,,,0.7,,0.7
v285,0.9,0.2,0.5,0.9,0.0,0.0,0.4,0.8,0.9
v286,0.6,0.9,0.9,0.4,0.5,0.7,0.6,0.0,0.7
v287,0.0,0.1,0.0,0.6,0.0,0.1,0.2,0.1,0.0
v288,0.7,0.8,0.2,0.2,0.2,0.2,0.7,0.1,0.2
v289,0.8,0.5,0.8,0.5,0.4,0.5,0.5,0.1,0.0
v290,0.8,0.7,0.5,0.8,0.0,0.3,0.3,0.6,0.7
v291,0.0,0.7,0.9,0.0,1.0,1.0,0.9,0.0,0.8
v292,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0
v293,0.7,0.4,0.5,0.8,0.0,0.0,0.1,0.6,0.5
v294,0.7,1.0,0.5,0.0,0.8,,0.9,0.0,
v295,0.4,0.2,0.2,0.7,0.1,0.2,0.3,0.4,0.4
v296,0.4,0.1,0.6,0.3,0.0,0.2,0.2,0.0,0.6
v297,1.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.7
v298,0.6,0.6,0.5,0.2,0.3,0.3,0.8,0.0,0.4
v299,0.4,0.6,0.6,0.3,0.1,0.5,0.4,0.1,0.7
v300,0.1,0.7,0.5,0.4,0.1,0.1,0.6,0.7,0.7
v301,0.8,0.5,0.7,0.4,0.4,0.5,0.7,0.4,0.5
v302,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.4,0.4
v303,0.0,,,,0.0,,,,
v304,0.7,0.5,0.3,0.5,0.3,0.2,0.3,0.1,0.1
v305,0.7,0.4,0.0,0.8,0.0,0.1,0.4,1.0,0.5
v306,0.8,0.6,0.5,0.2,0.0,0.0,0.5,0.0,0.4
v307,0.3,1.0,0.3,0.3,0.5,0.5,0.4,0.0,0.3
v308,,,0.9,,,,,,
v309,0.7,0.3,0.5,0.5,0.3,0.5,0.3,0.3,0.3
v310,0.2,0.7,0.0,0.6,0.0,0.8,0.5,0.5,0.0
v311,0.3,0.2,0.2,0.0,0.8,0.3,0.3,0.0,0.0
v312,0.6,0.8,1.0,0.1,1.0,0.6,0.5,0.0,0.3
v313,0.5,0.0,0.0,0.1,1.0,0.0,0.2,0.0,0.0
v314,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v315,0.8,0.6,0.7,0.6,0.4,0.6,0.6,0.4,0.7
v316,0.2,0.4,0.5,0.2,1.0,0.3,0.3,0.0,0.2
v317,0.2,0.3,,0.1,,0.2,0.3,0.1,0.0
v318,0.8,0.3,0.1,0.9,0.0,0.1,0.3,0.8,0.7
v319,0.9,0.4,0.7,0.5,0.0,0.6,0.2,0.0,0.5
v320,0.7,0.1,0.1,1.0,0.0,0.0,0.0,1.0,0.5
v321,,0.7,,,1.0,,1.0,0.0,
v322,0.7,0.4,0.5,1.0,0.0,0.0,0.4,0.5,0.4
v323,0.4,0.5,0.4,0.2,0.3,0.4,0.4,0.1,0.4
v324,0.8,0.1,0.9,0.4,0.0,0.6,0.2,0.1,0.0
v325,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0
v326,0.6,0.4,0.4,0.0,0.4,0.3,0.2,0.0,0.3
v327,0.3,0.3,0.3,0.1,0.5,0.3,0.2,0.1,0.3
v328,0.3,0.6,0.5,0.5,0.5,0.3,0.5,0.3,0.2
v329,0.3,0.7,0.9,0.0,0.9,1.0,0.7,0.0,0.3
v330,0.9,0.2,0.1,0.7,0.0,0.0,0.0,0.3,0.2
v331,0.1,0.1,0.1,0.3,0.0,0.3,0.0,0.3,0.2
v332,0.7,0.3,0.5,0.7,0.0,0.0,0.1,0.8,0.4
v333,0.6,0.6,0.8,0.3,0.1,0.5,0.5,0.2,0.4
v334,0.8,0.4,0.3,1.0,0.0,0.0,0.3,0.7,0.6
v335,0.3,0.5,0.7,0.1,0.3,0.7,0.3,0.0,0.7
v336,0.6,0.2,0.5,0.1,0.5,0.1,0.3,0.2,0.3
v337,0.5,0.8,0.5,0.0,0.8,0.4,0.7,0.1,0.3
v338,1.0,0.5,0.5,0.7,0.3,0.7,0.5,0.6,
v339,0.8,0.5,0.5,0.7,0.0,0.5,0.6,1.0,0.8
v340,1.0,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.4
v341,0.3,1.0,0.5,0.0,0.7,0.7,0.7,0.0,0.0
v342,0.7,0.4,0.1,0.9,0.0,0.4,0.1,0.3,0.1
v343,0.0,0.7,0.5,0.9,0.2,0.4,0.0,1.0,0.5
v344,0.3,0.6,0.8,0.4,0.0,0.8,0.6,0.1,0.4
v345,0.0,1.0,0.9,0.7,0.2,1.0,0.7,0.6,0.7
v346,1.0,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
v347,0.5,0.6,0.5,0.3,0.0,0.3,0.4,0.2,0.5
v348,0.7,0.7,0.5,0.4,0.4,0.6,0.9,0.4,0.6
v349,0.4,0.3,1.0,0.4,0.0,0.5,0.4,0.0,0.4
v350,0.5,0.7,0.6,0.7,0.1,0.6,0.6,0.5,0.4
v351,0.8,0.1,0.5,0.8,0.0,0.0,0.1,0.7,0.1
v352,0.5,0.3,0.3,0.8,0.0,0.2,0.2,0.7,0.5
v353,0.0,0.6,0.3,0.4,0.4,0.8,0.7,0.0,0.0
v354,1.0,0.2,0.3,0.8,0.0,0.1,0.5,0.5,0.3
v355,1.0,0.7,0.2,1.0,0.2,0.4,0.4,0.9,0.7
v356,1.0,0.1,0.1,0.6,0.0,0.0,0.2,0.3,0.7
v357,0.4,0.6,0.6,0.6,0.0,0.6,0.2,0.7,0.5
v358,0.8,,,,,,0.2,,0.8
v359,0.6,0.9,0.9,0.2,0.8,0.6,0.7,0.0,0.1
v360,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v361,0.8,0.3,,0.7,,0.3,0.3,0.7,0.5
v362,0.8,0.6,0.1,0.6,0.1,0.3,0.6,0.0,0.3
v363,0.6,0.8,0.9,0.4,0.1,0.4,0.6,0.1,0.2
v364,0.0,1.0,0.8,0.1,0.9,0.7,0.6,0.0,0.0
v365,0.0,0.3,0.3,0.0,0.6,0.7,0.3,0.0,0.0
v366,0.7,0.7,,,,,0.8,,
v367,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.3
v368,0.9,0.1,0.2,0.9,0.0,0.0,0.1,0.9,0.1
v369,0.3,0.7,0.6,0.4,0.1,0.5,0.8,0.1,0.4
