,A,B,C,D,E,F,G,H,I
v45,0.7,0.0,0.3,1.0,0.1,0.6,0.6,0.0,0.2
v46,0.0,1.0,0.0,0.0,0.9,0.7,0.0,0.8,0.9
v47,1.0,0.2,,,,,,,0.2
v48,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
v49,0.0,1.0,0.4,0.1,0.3,0.4,0.3,0.3,0.8
v50,0.0,0.8,,,0.8,0.3,,,
v51,1.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0
v52,,1.0,,,,,,,
v53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v54,0.6,0.5,0.6,1.0,1.0,0.5,0.1,0.2,0.3
v55,0.0,0.1,0.2,0.1,0.0,0.2,0.2,0.2,0.1
v56,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v57,1.0,0.0,0.2,0.5,,0.5,0.5,,0.2
v58,0.5,0.7,0.8,,,0.6,0.8,,
v59,0.0,0.8,0.5,,0.5,0.5,0.5,0.5,0.5
v60,1.0,0.0,0.2,0.4,0.5,0.7,0.7,0.5,0.3
v61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v62,1.0,,,1.0,,,0.8,,
v63,0.8,0.5,0.8,,0.5,0.5,0.7,0.5,
v64,0.8,,,,,,,,
v65,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5
v66,0.5,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.6
v67,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.3,0.4
v68,0.5,0.0,0.0,0.6,,0.5,0.5,0.0,0.1
v69,0.7,0.2,0.1,,0.3,0.3,0.2,0.3,0.1
v70,0.9,0.0,0.8,0.5,0.4,0.5,0.8,0.2,0.3
v71,1.0,0.7,0.8,0.5,0.4,0.8,0.9,0.2,0.3
v72,1.0,0.0,0.5,0.8,,0.5,0.8,0.5,0.0
v73,1.0,,1.0,,1.0,1.0,1.0,0.0,
v74,0.1,0.6,,,,0.3,,,
v75,1.0,0.0,1.0,1.0,0.0,1.0,0.6,0.0,0.0
v76,0.8,0.5,0.6,0.7,,0.8,0.6,0.7,1.0
v77,0.3,0.6,0.5,0.5,0.3,0.4,0.3,0.5,
v78,0.6,0.8,,,,0.2,,,
v79,0.7,0.8,0.2,0.6,0.2,0.8,0.6,0.6,0.5
v80,0.2,,,0.2,,,,,
v81,0.0,1.0,0.0,0.5,0.0,0.0,0.0,,
v82,0.8,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.2
v83,0.3,0.2,,,,,,,
v84,1.0,0.6,0.2,0.5,0.2,0.7,0.5,0.3,0.4
v85,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v86,0.0,0.9,0.2,,,0.5,0.2,,
v87,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.4,0.4
v88,0.0,1.0,0.7,0.0,0.5,0.5,0.1,0.1,0.2
v89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v90,1.0,0.0,,0.7,,0.0,0.9,0.0,0.4
v91,0.7,,0.4,,,0.6,0.4,,
v92,0.0,,1.0,,1.0,,,,
v93,0.2,1.0,0.7,0.8,0.9,0.3,0.5,0.7,
v94,1.0,0.3,0.2,0.2,0.3,0.5,0.4,0.2,0.2
v95,0.0,0.7,,0.0,,0.4,,,
v96,0.5,,,,,0.5,0.5,,
v97,0.8,0.1,0.0,0.5,0.3,0.2,0.3,,0.1
v98,0.0,1.0,0.0,0.0,0.5,0.0,0.4,0.0,
v99,0.6,0.0,,0.5,,,,,
v100,1.0,,0.2,0.5,0.2,,0.2,,
v101,0.5,,,,,,,,
v102,1.0,0.2,0.4,0.3,,0.8,0.7,0.1,
v103,,0.0,,,,,,,
v104,0.6,0.5,,,,0.5,,,
v105,0.0,,,,0.0,0.3,0.3,0.0,0.0
v106,0.0,0.1,0.4,0.5,0.5,0.0,0.0,0.3,0.5
v107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v108,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5
v109,0.5,0.2,0.3,0.3,0.2,0.4,0.4,0.2,0.2
v110,0.0,0.5,0.6,0.5,,0.7,0.7,0.0,
v111,0.1,1.0,0.1,0.1,0.1,0.1,1.0,0.1,
v112,,1.0,,0.0,,,,0.0,0.0
v113,0.0,,0.0,,,0.0,,0.0,0.1
v114,0.0,1.0,,0.5,0.5,0.5,0.5,0.0,0.0
v115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
v116,0.2,0.2,0.5,0.4,0.4,0.4,0.4,0.3,0.2
v117,0.5,0.0,0.0,0.5,,0.1,0.5,0.0,0.0
v118,0.9,0.0,,,,,,,
v119,0.5,0.5,0.5,0.5,0.1,0.1,0.1,,
v120,1.0,,,,,0.6,0.7,,
v121,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0
v122,0.0,0.4,,,,,,,
v123,1.0,0.1,0.7,0.7,0.2,0.7,0.9,0.1,0.4
v124,0.5,,,,,0.4,0.2,,
v125,0.0,0.5,0.8,0.5,0.6,0.7,0.5,0.3,0.2
v126,0.5,0.0,0.8,0.5,0.5,0.0,0.0,0.0,0.5
v127,0.6,0.4,0.8,0.5,0.3,1.0,0.8,0.6,0.4
v128,1.0,,,,,,,,
v129,0.8,0.6,,0.6,,0.6,0.4,0.6,0.6
v130,1.0,0.0,0.4,1.0,0.2,0.6,0.8,0.0,0.0
v131,1.0,0.5,,0.8,,0.4,,,
v132,0.7,0.1,0.2,0.2,0.3,0.3,0.5,,0.2
v133,0.0,,,,,,,,
v134,0.3,0.8,,,,,,,
v135,0.5,1.0,0.6,,,0.5,0.5,,
v136,0.7,,0.5,0.7,0.9,0.4,0.2,,0.0
v137,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v138,0.4,0.7,0.4,0.7,,0.4,0.2,0.3,
v139,0.8,0.2,0.3,0.3,0.2,0.5,0.4,0.2,0.3
v140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v141,0.5,,,,,,,,
v142,0.2,0.3,0.4,,0.3,0.4,0.3,,
v143,1.0,,,,,,,,
v144,0.0,0.4,0.5,0.3,,0.3,0.3,,
v145,0.9,0.3,0.5,0.3,0.1,0.0,0.5,0.3,0.4
v146,0.0,0.8,,,,0.5,0.5,,
v147,0.5,,,,,,,,
v148,1.0,,0.5,,,,0.5,,
v149,0.3,0.2,0.0,0.5,0.0,0.1,0.4,,
v150,0.9,0.2,,0.8,,0.7,,,
v151,0.0,,,,,,,,
v152,0.0,0.9,0.3,0.1,0.5,0.2,0.0,0.4,0.4
v153,0.5,1.0,0.5,,,0.6,,,
v154,0.1,0.6,0.6,0.6,0.4,0.6,0.3,0.1,0.5
v155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v156,0.7,0.3,,0.8,,0.1,0.1,,
v157,0.7,,,,,,0.6,0.5,
v158,0.0,1.0,0.9,0.0,0.5,0.5,0.5,,
v159,0.0,,,,,,,,
v160,0.5,,,,,,,,
v161,0.0,0.3,0.0,0.0,,0.0,0.0,0.3,0.3
v162,0.0,0.2,0.4,,,0.4,0.0,0.0,
v163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v164,0.0,,0.5,,,,,,
v165,0.0,1.0,,0.1,,0.5,0.5,0.2,
v166,0.7,0.4,0.5,0.6,,0.7,0.7,0.4,0.5
v167,1.0,,,0.4,,,,,
v168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v169,0.0,1.0,0.1,0.3,0.1,0.1,0.0,0.1,0.1
v170,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v171,0.0,,,,,,,,
v172,0.2,,0.5,0.2,0.1,0.5,0.5,,
v173,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1
v174,,0.0,0.0,,,,,,
v175,0.0,1.0,0.6,0.5,0.5,0.3,0.0,0.6,0.6
v176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v177,0.0,0.5,0.2,0.0,0.2,0.0,0.2,0.0,
v178,1.0,0.5,,,,0.5,0.5,,0.5
v179,0.3,0.6,,0.7,,,0.5,,
v180,0.8,0.0,0.1,0.8,0.2,0.5,0.5,0.3,
v181,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v182,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0
v183,0.1,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1
v184,0.0,1.0,,0.4,,0.2,0.0,,0.5
v185,0.0,0.5,0.0,0.0,,0.0,0.3,0.3,0.5
v186,0.0,,0.0,,0.0,0.0,,,
v187,0.8,0.0,0.5,0.0,0.4,0.4,0.4,0.4,
v188,0.1,,1.0,,,,,,
v189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v190,0.0,1.0,1.0,,,,,,
v191,0.0,1.0,,0.5,0.0,,,,0.0
v192,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
v193,0.1,0.2,,0.1,0.1,0.1,,,
v194,0.0,1.0,0.5,0.0,,0.5,,0.0,0.5
v195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v196,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v197,0.0,1.0,,0.1,,0.6,,,
v198,1.0,0.0,0.3,0.8,0.3,0.5,0.7,0.1,0.0
v199,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
v200,0.0,0.5,,,,,0.1,0.0,
v201,0.8,0.0,,,0.0,0.0,0.0,,
v202,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
v203,1.0,0.5,,,,0.5,,,
v204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v205,0.5,0.5,0.4,0.5,,0.4,,0.3,
v206,0.0,,,,,,,,
v207,0.5,,,,,,,,
v208,1.0,0.4,,0.2,,0.2,0.2,,
v209,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3
v210,0.6,,,,,,,,
v211,1.0,0.1,0.5,0.0,0.1,0.5,0.5,0.5,0.1
v212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v213,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
v214,0.0,0.2,,,,0.0,0.2,,0.3
v215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v216,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
v217,0.0,1.0,0.9,0.8,0.9,0.9,0.8,0.6,0.6
v218,1.0,,,,,,,,
v219,0.8,0.0,0.0,0.5,,0.5,,,
v220,0.8,,0.6,0.7,0.6,0.8,0.8,0.6,0.6
v221,0.5,,0.5,0.5,0.2,0.5,0.5,,
v222,0.0,0.7,1.0,,0.7,,,,
v223,0.0,0.3,0.6,,,0.4,,,
v224,1.0,0.1,,,,,,,
v225,0.4,0.6,0.5,0.5,0.5,1.0,0.5,0.4,1.0
v226,0.0,1.0,,,,,,,
v227,0.0,,,,,,,,
v228,0.5,0.5,,0.5,,,0.5,0.4,0.6
v229,0.0,1.0,0.5,0.0,0.3,0.5,0.3,0.5,0.5
v230,0.6,,,0.6,,0.6,,,
v231,1.0,,1.0,,,0.0,0.0,,
v232,1.0,0.5,0.2,0.9,0.4,,,,
v233,0.0,0.2,0.0,,,0.5,,,
v234,0.3,0.6,0.6,0.3,0.7,0.3,0.5,0.7,0.4
v235,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,1.0
v236,0.0,0.9,,0.5,,0.5,0.8,,
v237,0.5,,,,,,,,
v238,0.4,0.7,0.5,0.4,,0.8,0.7,0.6,
v239,0.0,1.0,0.4,0.0,0.6,0.4,0.8,0.4,0.5
v240,0.0,0.8,0.8,,0.2,0.8,0.9,0.4,0.5
v241,0.0,0.6,0.4,0.7,0.6,0.9,0.8,0.7,0.5
v242,0.8,0.6,,0.7,,0.5,0.6,,0.3
v243,1.0,,,,,,,,
v244,1.0,0.8,0.5,0.0,,0.5,0.4,0.8,0.0
v245,0.5,0.0,0.5,0.5,,0.5,,0.0,0.5
v246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v247,0.0,0.6,0.1,0.2,,0.0,0.0,0.2,0.5
v248,,0.4,,0.0,,,,,
v249,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.5,0.5
v250,0.5,,,,,,,,
v251,1.0,,,,,,,,
v252,0.0,0.0,0.6,0.0,0.0,0.7,0.5,0.0,0.0
v253,0.0,0.0,1.0,,,1.0,1.0,,
v254,0.5,,,,,,,,
v255,0.0,0.5,0.3,0.3,,0.4,0.4,0.4,0.4
v256,1.0,0.4,0.2,0.8,0.2,0.3,0.8,0.6,0.4
v257,0.5,,0.5,,,0.5,0.5,,
v258,,,,0.0,,,,,
v259,0.0,,,,,,0.3,0.0,0.6
v260,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
v261,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
v262,1.0,0.0,0.5,0.5,,0.0,0.1,0.5,0.0
v263,0.3,0.7,0.4,,,0.3,,,
v264,0.7,0.1,0.2,0.8,,0.4,0.8,0.2,0.3
v265,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3
v266,0.0,0.1,0.0,0.4,0.3,0.3,0.0,0.3,0.5
v267,,,,0.4,,,,,
v268,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.0
v269,0.2,0.3,0.2,0.5,,0.8,,,
v270,1.0,0.0,,,,,,,
v271,0.9,0.6,0.3,0.8,0.3,0.5,0.4,0.2,0.4
v272,1.0,0.2,0.5,0.5,0.2,0.2,0.8,0.2,0.1
v273,1.0,0.0,,0.0,,0.0,0.0,0.0,
v274,0.0,0.4,0.0,0.0,0.0,0.2,0.3,0.1,0.2
v275,0.8,0.3,0.1,0.4,0.1,0.5,0.4,0.8,0.4
v276,1.0,0.2,0.1,0.2,0.1,0.3,0.5,0.0,
v277,0.6,0.3,,0.5,,,,,
v278,0.0,0.8,0.1,0.0,0.4,0.2,0.0,0.5,0.4
v279,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5
v280,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,
v281,1.0,0.5,,0.5,0.0,0.5,0.5,,0.0
v282,1.0,0.0,0.5,1.0,0.0,,0.0,1.0,
v283,1.0,,,,,,,,
v284,0.0,,,,,0.7,0.5,,0.5
v285,0.1,0.5,0.7,0.1,,0.5,,,
v286,0.0,0.8,0.1,0.5,0.6,0.3,0.9,0.3,0.4
v287,1.0,0.4,,,,0.0,0.5,0.5,
v288,0.2,1.0,0.3,0.0,,0.3,,0.3,1.0
v289,0.0,0.1,0.0,0.2,0.0,0.1,0.4,0.1,0.0
v290,0.9,,,,,,,,
v291,0.0,0.8,0.5,,0.8,,,,
v292,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v293,1.0,0.0,0.0,,,0.5,,,
v294,0.0,0.8,0.0,,,0.0,0.0,0.5,
v295,0.0,0.2,,0.0,,0.2,0.2,,
v296,1.0,0.1,0.9,0.2,0.8,0.5,0.7,0.4,0.3
v297,1.0,0.0,0.8,1.0,0.5,0.8,0.8,0.0,0.5
v298,0.6,0.0,,,,0.0,,,
v299,0.1,,,,,,0.3,0.1,
v300,0.3,,0.5,,0.3,0.3,0.5,,
v301,0.3,0.2,0.3,0.3,0.4,0.3,0.2,0.3,
v302,0.7,0.0,0.4,0.3,0.2,0.5,0.1,0.2,0.0
v303,0.0,1.0,0.3,0.0,,0.4,0.0,0.0,0.0
v304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
v305,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0
v306,0.8,,,,,0.7,,0.7,
v307,0.7,0.0,0.5,1.0,,0.6,0.7,0.8,0.5
v308,0.8,,,,,,,,
v309,0.5,0.3,0.2,0.2,,,0.2,0.2,
v310,0.0,1.0,,0.0,,,,,
v311,0.5,,,,,,0.5,,
v312,,0.0,0.2,0.0,0.1,,,,
v313,0.0,,,,,,,,
v314,0.0,1.0,,,1.0,0.5,0.2,1.0,
v315,1.0,,,1.0,,0.0,1.0,,
v316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v317,0.4,0.0,0.7,0.4,0.0,0.5,0.3,0.0,0.0
v318,1.0,,1.0,1.0,,1.0,1.0,1.0,
v319,1.0,0.0,,,,,,,
v320,0.8,0.2,0.4,0.4,,0.3,0.3,0.2,
v321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v322,0.5,,,,,0.2,,,
v323,0.0,0.9,0.2,,,0.2,0.3,0.2,0.1
v324,0.0,,0.2,0.0,,,,0.5,
v325,0.1,,,,,0.7,0.6,,
v326,1.0,0.6,0.8,0.5,0.0,0.9,0.8,0.8,0.3
v327,0.0,0.8,0.0,,,0.0,0.4,0.5,
v328,0.0,0.5,0.3,0.2,,0.6,0.5,0.5,0.4
v329,0.0,0.5,,,,0.0,0.5,,
v330,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v331,0.4,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.3
v332,0.0,0.2,0.0,0.2,0.2,0.2,0.3,0.0,0.1
v333,0.0,0.9,,,,0.0,0.0,,0.9
v334,0.0,1.0,,,,1.0,0.3,,
v335,0.0,0.5,0.8,0.5,0.4,1.0,0.5,0.3,
v336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v337,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6
v338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v339,0.0,1.0,0.3,0.0,0.3,0.0,0.1,0.5,0.0
v340,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
v341,0.0,1.0,0.5,0.5,0.4,0.0,0.0,0.3,0.5
v342,0.8,0.2,0.2,0.5,0.1,0.2,0.3,0.2,0.2
v343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.4
v344,0.0,1.0,0.2,0.1,0.2,0.0,0.2,0.1,
v345,0.9,,,0.0,,,,,
v346,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v347,0.0,0.8,,,0.6,,0.0,,
v348,1.0,0.0,1.0,1.0,,1.0,0.5,,
v349,0.9,,,,,,,,
v350,0.0,,,,,0.4,0.5,,
v351,0.0,0.8,,,,0.7,0.5,0.8,
v352,0.0,,,,,,,,
v353,0.6,,,0.5,,,,,
v354,0.5,0.2,,,,,,,
v355,0.7,0.0,0.0,0.6,0.0,0.6,0.5,0.1,0.3
v356,0.1,0.5,0.2,0.5,0.2,0.2,0.5,0.3,0.3
v357,0.5,0.2,0.3,1.0,0.3,0.3,0.2,0.5,0.2
v358,1.0,0.5,0.3,,,0.6,0.3,,
v359,0.0,0.7,0.5,0.5,,0.7,0.5,0.7,
v360,0.7,,,0.5,,,0.4,,
v361,1.0,0.0,0.5,0.3,0.0,0.4,0.5,0.2,0.0
v362,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
v363,1.0,,,,,,,,
v364,0.0,1.0,,0.0,,,,,
v365,0.5,0.7,0.8,0.8,0.7,0.5,0.6,,
v366,0.0,1.0,0.3,0.1,,0.3,0.4,0.2,0.5
v367,0.5,,0.5,,,0.5,,,
v368,1.0,0.0,0.0,1.0,0.5,0.8,0.8,,
v369,0.8,0.3,0.5,0.6,,0.4,0.6,0.5,0.6
v370,0.0,0.7,,,,,,0.0,
v371,0.0,0.4,,0.4,,,,0.4,
v372,0.8,0.0,0.0,0.7,0.0,0.7,0.2,0.2,0.0
v373,0.0,1.0,0.1,0.3,0.1,0.5,0.1,0.3,0.5
v374,1.0,0.0,0.3,0.4,0.5,0.3,0.3,0.3,0.0
v375,0.5,,,,,0.5,,,
v376,0.5,0.5,0.2,,,,0.5,0.5,0.0
v377,0.9,0.0,0.7,0.5,0.0,0.5,0.7,0.2,
v378,1.0,0.5,0.3,0.6,1.0,0.0,0.1,0.5,0.0
v379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v380,0.6,,,,,,,,
v381,1.0,,0.5,0.5,,0.2,,,
v382,0.1,0.5,0.3,0.4,0.4,0.4,0.4,0.5,
v383,0.0,0.7,1.0,0.5,0.0,0.3,0.7,,0.7
v384,0.1,,,,0.1,0.4,0.2,,
v385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v387,0.7,0.0,,0.6,,0.4,0.5,0.0,0.3
v388,0.9,0.0,,0.5,0.5,0.0,0.7,0.0,0.0
v389,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4
v390,0.5,0.0,,0.2,0.0,0.0,0.2,,0.0
v391,0.2,0.8,,0.2,,0.6,0.1,,
v392,1.0,0.0,0.6,,,0.3,,0.8,
v393,0.0,0.8,0.5,0.1,0.5,0.0,0.0,0.6,0.6
v394,1.0,1.0,,,,,,,0.1
v395,1.0,0.0,,,,,0.5,,
v396,1.0,,,,,,,,
v397,0.7,,,,,,,,
v398,,,,,,,,,1.0
v399,1.0,0.3,0.5,0.5,0.3,0.5,0.4,0.4,0.3
v400,0.0,0.8,0.0,0.0,0.0,0.5,0.5,,
v401,0.5,0.5,0.2,0.5,0.2,0.4,0.5,0.2,0.2
v402,0.0,1.0,0.2,0.0,,0.2,0.2,0.5,0.5
v403,0.0,1.0,0.4,0.1,0.4,0.0,0.0,,0.5
v404,0.7,0.0,,,,0.5,0.3,0.3,
v405,0.3,0.7,0.3,0.4,0.5,0.3,0.6,0.6,0.4
v406,0.0,0.6,,0.0,,,0.5,0.4,
v407,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v408,1.0,,,,,,0.0,0.4,0.8
v409,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
v410,1.0,0.0,,0.7,0.0,,0.8,,
v411,0.0,,,0.5,,0.5,0.5,0.6,
v412,0.8,0.0,0.0,,,0.2,0.8,,0.5
v413,0.2,0.0,0.0,0.0,0.5,0.1,0.2,0.0,0.3
v414,0.0,0.7,,0.3,0.5,0.0,0.0,0.0,0.2
v415,1.0,0.4,0.4,0.4,0.4,0.4,0.3,0.3,
v416,0.5,0.1,,0.4,,0.2,0.5,0.3,
v417,0.0,1.0,,0.2,,0.0,0.0,0.1,0.2
v418,0.2,,,,,0.8,,,
v419,0.2,0.4,,,,,,,
v420,1.0,,,,,,,,
v421,0.0,1.0,0.5,,0.0,0.2,0.3,0.2,0.0
v422,1.0,0.0,0.2,0.1,0.2,0.3,0.2,0.2,0.0
v423,0.0,,1.0,,1.0,1.0,,,
v424,0.6,0.8,0.5,0.9,0.4,0.4,,0.3,0.5
v425,0.5,0.3,0.4,,0.2,0.8,0.7,0.5,
v426,0.8,0.0,0.4,,0.0,0.5,0.7,,0.0
v427,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
v428,0.0,1.0,0.4,,0.0,0.2,0.3,1.0,
v429,0.7,0.5,0.5,,0.5,0.7,0.7,0.5,0.6
v430,0.0,0.5,0.0,0.0,,0.0,0.0,,0.0
v431,1.0,,,0.8,,,,,
v432,1.0,,,,,,,,
v433,0.1,0.8,,0.0,,0.1,0.0,,
v434,1.0,,0.4,,,,,,
v435,0.4,0.7,0.4,0.5,,0.4,0.6,,
v436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v437,0.0,,0.3,0.0,0.2,,,0.0,
v438,0.8,0.6,,0.8,,0.7,,0.6,
v439,0.5,0.5,0.5,0.6,,0.4,0.5,0.2,0.3
v440,0.8,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.2
v441,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
v442,0.0,0.6,0.4,0.6,0.3,0.5,0.3,0.5,0.6
v443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v444,0.5,,,,,,,,
v445,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v446,0.0,0.5,0.3,0.0,0.0,0.0,0.1,0.0,0.0
v447,1.0,0.0,0.2,0.0,,0.2,0.2,,
v448,0.0,,,,,,0.5,,
v449,0.5,0.0,0.2,0.2,0.2,0.3,0.3,0.2,0.2
v450,1.0,0.0,,1.0,,,0.0,0.2,0.5
v451,0.7,0.0,,0.7,0.5,0.7,0.5,0.5,
v452,0.8,0.8,,0.8,,0.6,0.7,0.7,0.7
v453,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
v454,0.8,,0.5,0.7,,0.7,0.5,,
v455,0.0,0.5,,,,,0.1,,
v456,1.0,,,,,,,,
v457,0.0,0.0,0.5,0.5,0.0,,0.0,0.0,0.0
v458,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.5,0.3
v459,0.0,1.0,0.5,0.3,,0.7,0.5,,
v460,0.6,0.1,0.2,0.4,,0.3,0.3,,
v461,0.5,0.0,0.0,0.7,0.0,0.8,,0.1,
