,A,B,C,D,E,F,G
v73,1.0,0.0,0.0,0.0,0.8,0.3,0.3
v74,0.4,0.7,0.7,0.0,0.2,0.6,0.2
v75,0.5,0.0,1.0,0.0,0.2,0.5,0.3
v76,0.0,0.0,0.8,0.0,0.0,0.7,0.0
v77,0.0,0.0,0.0,0.0,0.0,0.0,0.1
v78,0.5,0.0,0.0,0.0,1.0,0.3,0.3
v79,0.6,0.1,0.2,0.0,0.5,0.3,0.5
v80,0.4,0.0,0.7,0.0,0.1,0.9,0.6
v81,0.3,0.6,0.3,0.4,0.3,0.4,0.2
v82,1.0,0.0,0.0,0.0,0.6,0.2,0.5
v83,0.5,0.5,0.3,0.5,0.5,0.3,0.5
v84,0.9,0.0,0.0,0.0,0.0,0.0,0.2
v85,0.7,0.3,0.0,0.0,0.7,0.0,0.1
v86,0.1,1.0,0.2,0.5,0.4,0.5,0.2
v87,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v88,0.3,0.7,0.6,0.8,0.4,0.0,0.4
v89,0.8,0.0,0.6,0.0,0.1,0.9,0.1
v90,0.0,0.5,0.8,0.5,0.3,0.5,0.2
v91,1.0,0.1,0.0,0.0,0.4,0.2,0.4
v92,0.6,0.5,0.5,0.5,0.5,0.1,0.4
v93,0.4,0.0,0.5,0.0,0.4,0.3,0.4
v94,0.1,0.0,0.9,0.0,0.1,0.2,0.2
v95,0.8,0.4,0.2,0.1,0.5,0.5,0.5
v96,0.7,0.2,0.0,,0.8,0.3,0.2
v97,0.0,0.3,0.7,0.0,0.5,1.0,0.6
v98,0.8,0.0,0.0,0.0,0.4,0.2,0.4
v99,0.7,0.0,0.0,0.0,0.1,0.5,0.5
v100,1.0,0.0,0.0,0.0,0.0,1.0,0.5
v101,0.5,0.1,0.0,0.1,0.7,0.5,0.4
v102,0.1,0.0,0.5,0.0,0.0,1.0,0.5
v103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v104,0.8,0.0,0.5,0.0,0.3,0.7,0.7
v105,0.4,1.0,0.0,1.0,0.4,0.0,0.0
v106,0.4,0.0,0.5,0.1,0.4,0.9,0.3
v107,1.0,0.0,0.4,0.0,0.4,0.8,0.8
v108,0.0,0.0,0.0,0.6,0.0,0.0,0.0
v109,0.4,0.7,0.0,0.6,0.7,0.6,0.4
v110,0.1,0.2,0.2,0.2,0.2,0.2,0.2
v111,0.1,0.0,0.5,0.0,0.2,0.1,0.5
v112,0.8,0.0,0.7,0.0,0.3,0.3,0.6
v113,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v114,0.7,0.1,0.1,0.1,0.5,0.5,0.5
v115,0.7,0.4,0.3,0.3,0.9,0.5,0.4
v116,1.0,0.0,0.0,0.0,0.8,0.5,0.1
v117,0.7,0.0,0.6,0.0,0.2,0.7,0.5
v118,0.9,0.0,0.0,0.3,0.1,0.3,0.1
v119,1.0,0.1,0.0,,0.5,0.1,0.2
v120,0.8,0.0,0.1,0.0,0.3,0.2,0.6
v121,0.9,0.0,0.3,0.0,0.9,0.4,0.3
v122,0.9,0.0,0.3,0.0,0.8,0.1,0.5
v123,0.2,0.1,0.7,0.4,0.1,0.2,0.5
v124,0.2,0.0,0.8,0.0,0.0,0.6,0.4
v125,0.3,0.0,0.3,0.0,0.2,0.4,0.5
v126,0.0,0.7,0.0,1.0,0.2,0.0,0.0
v127,0.1,0.0,,0.2,,0.0,0.0
v128,0.8,0.0,0.2,,0.2,0.6,0.4
v129,0.7,0.7,0.5,0.7,0.4,,0.3
v130,0.2,0.3,0.2,0.3,0.3,0.1,0.1
v131,0.0,0.0,1.0,0.0,0.0,0.7,0.2
v132,0.0,0.0,1.0,0.0,0.0,0.6,0.0
v133,0.8,0.0,0.2,0.0,0.3,0.6,0.7
v134,0.0,0.0,1.0,0.0,0.0,0.4,0.2
v135,0.5,0.1,0.2,0.1,0.5,0.7,0.6
v136,0.7,0.0,0.3,0.3,0.0,0.6,0.5
v137,0.6,0.0,0.5,0.0,0.4,0.7,0.9
v138,0.4,0.5,0.7,0.7,0.3,1.0,0.5
v139,0.6,0.7,1.0,0.5,,0.2,0.3
v140,0.2,0.2,0.5,0.2,0.2,0.5,0.2
v141,0.5,0.0,0.5,,0.5,0.5,0.0
v142,0.4,0.0,0.9,0.0,0.3,0.7,0.8
v143,1.0,0.0,0.0,0.0,0.0,0.2,0.2
v144,0.6,0.2,0.0,0.2,0.4,0.7,0.6
v145,0.3,0.4,0.1,,0.5,0.4,0.1
v146,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v147,0.3,0.3,0.2,0.4,0.9,0.6,0.2
v148,0.0,1.0,0.0,1.0,0.2,0.0,0.0
v149,0.7,0.3,0.6,,0.6,0.6,0.8
v150,0.1,0.0,0.3,0.0,0.0,0.4,0.3
v151,0.4,0.4,0.5,,0.2,0.7,0.1
v152,0.6,0.6,0.2,0.4,0.5,0.4,0.3
v153,1.0,0.0,0.0,0.0,0.5,0.4,0.3
v154,0.5,0.0,0.0,0.0,0.1,0.7,0.3
v155,0.5,0.7,0.0,0.5,0.5,0.4,0.0
v156,0.1,0.0,0.6,0.0,0.3,0.9,0.2
v157,0.6,0.1,0.3,,0.5,0.4,0.5
v158,0.4,0.0,1.0,0.0,0.2,0.8,0.5
v159,0.2,0.7,0.3,0.1,0.7,0.1,0.3
v160,0.2,0.1,0.0,0.2,0.2,0.2,0.1
v161,0.5,0.6,0.6,0.5,0.5,0.5,0.5
v162,0.8,0.0,0.2,0.0,0.3,0.8,0.8
v163,0.5,0.7,0.5,0.0,0.5,0.5,0.3
v164,0.4,0.4,0.6,,0.5,0.7,0.5
v165,1.0,0.0,0.0,0.0,0.3,0.3,0.1
v166,0.2,0.1,0.3,0.1,0.2,0.4,0.1
v167,1.0,0.0,0.0,0.0,0.5,0.5,0.4
v168,0.0,0.0,0.6,0.0,0.0,0.2,0.0
v169,0.0,0.0,0.6,0.0,0.0,0.9,0.3
v170,0.4,0.3,0.3,0.3,0.4,0.3,0.4
v171,0.0,0.0,0.4,0.0,0.0,0.5,0.4
v172,0.7,0.0,0.3,0.0,0.3,0.4,0.4
v173,0.9,0.0,0.0,0.0,0.9,0.7,0.5
v174,0.7,0.0,0.0,0.0,0.1,0.5,0.1
v175,0.0,0.3,0.0,0.2,0.0,0.0,0.0
v176,0.4,0.0,0.3,0.0,0.3,0.8,0.4
v177,0.4,0.0,0.0,0.0,0.8,0.0,0.0
v178,0.4,0.0,0.6,0.0,0.2,0.7,0.5
v179,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v180,0.8,0.5,0.5,0.5,0.3,0.5,0.3
v181,0.2,0.3,0.2,0.0,0.0,0.0,0.2
v182,0.1,0.9,0.0,,0.1,0.2,0.1
v183,0.0,0.5,0.4,0.0,0.5,0.5,0.5
v184,0.3,0.7,0.0,0.3,0.2,0.1,0.1
v185,0.0,0.0,0.6,0.0,0.0,0.6,0.2
v186,0.4,0.5,0.4,0.4,0.5,0.5,0.4
v187,0.1,0.0,1.0,0.0,0.1,0.8,0.5
v188,0.2,0.0,1.0,0.0,0.0,1.0,0.8
v189,0.8,0.2,0.2,0.2,0.5,0.4,0.5
v190,,0.4,0.0,,,,
v191,0.5,1.0,0.3,0.5,0.5,0.5,0.5
v192,0.5,0.0,0.2,0.0,0.5,0.5,0.3
v193,0.4,0.0,1.0,0.0,0.4,0.7,0.7
v194,0.8,0.0,0.0,0.9,0.2,0.0,0.0
v195,0.2,0.9,0.0,1.0,0.2,0.1,0.1
v196,0.6,0.2,0.5,,,0.8,0.8
v197,0.7,0.1,0.2,0.0,0.5,0.5,0.5
v198,0.0,0.0,1.0,0.0,0.0,0.8,0.5
v199,0.7,0.2,0.1,0.2,0.5,0.8,0.2
v200,1.0,0.0,0.2,0.0,0.7,0.6,0.2
v201,0.7,0.0,0.3,0.0,0.4,0.6,0.6
v202,0.5,0.0,0.4,,0.1,0.7,0.7
v203,0.7,0.1,0.7,0.0,0.4,0.7,0.5
v204,0.8,0.0,0.0,0.0,0.3,0.0,0.0
v205,0.5,0.6,0.0,0.6,0.5,0.0,0.0
v206,0.4,0.0,0.0,0.0,0.3,0.5,0.7
v207,0.0,0.2,0.9,0.0,0.2,0.7,0.7
v208,0.9,0.1,0.2,0.0,0.5,0.4,0.3
v209,0.0,0.0,0.8,0.0,0.1,0.8,0.2
v210,0.2,0.0,0.1,0.0,0.2,0.4,0.2
v211,0.0,0.0,1.0,0.0,0.0,0.8,0.0
v212,0.5,0.0,0.1,0.0,0.3,0.5,0.3
v213,0.2,1.0,0.2,1.0,0.2,0.2,0.0
v214,0.0,0.0,1.0,0.0,0.0,0.3,0.5
v215,0.5,0.9,0.0,0.9,0.8,0.6,0.0
v216,0.5,0.3,,0.6,1.0,0.3,0.5
v217,0.4,0.1,0.6,0.1,0.3,0.6,0.6
v218,1.0,0.0,0.0,0.0,0.0,0.0,0.5
v219,0.5,0.0,0.7,0.0,0.5,0.7,0.5
v220,0.2,0.0,1.0,0.0,0.2,0.8,0.5
v221,0.5,0.3,0.7,0.0,0.2,0.2,0.8
v222,0.5,0.0,0.6,0.0,0.3,0.8,0.7
v223,0.8,0.0,0.0,0.0,0.2,0.2,0.1
v224,0.2,0.0,0.8,0.0,0.2,0.8,0.7
v225,0.0,0.1,0.0,0.5,0.8,0.7,0.5
v226,0.5,0.0,0.0,0.0,0.3,0.4,0.3
v227,0.8,0.0,0.0,0.0,0.3,0.2,0.4
v228,0.3,0.9,0.3,0.3,0.3,0.8,0.2
v229,0.5,0.2,0.5,0.4,0.5,0.5,0.2
v230,0.5,0.0,0.7,0.0,0.4,0.7,0.6
v231,0.3,0.8,0.0,0.2,0.8,0.1,0.1
v232,0.4,0.0,0.4,0.2,0.7,0.6,0.0
v233,0.7,0.1,0.2,0.0,0.5,0.7,0.4
v234,0.0,0.5,1.0,0.0,0.0,0.5,0.5
v235,0.6,0.0,0.0,0.0,0.6,0.5,0.6
v236,0.0,1.0,0.0,0.7,0.7,0.0,0.0
v237,0.2,0.1,0.6,,0.2,,0.5
v238,0.5,0.1,0.7,0.0,0.2,0.8,0.7
v239,1.0,0.0,0.4,,0.4,0.6,0.6
v240,0.5,0.3,0.7,0.3,0.4,0.6,0.8
v241,0.7,0.0,0.0,0.0,0.5,0.7,0.3
v242,0.1,0.0,0.8,0.0,0.0,0.5,0.2
v243,0.5,0.0,0.8,0.0,0.0,0.7,0.4
v244,0.2,0.1,0.1,0.2,0.2,0.2,0.3
v245,0.4,0.0,0.1,0.0,0.2,0.5,0.7
v246,0.4,0.3,0.4,0.3,0.2,0.5,0.5
v247,0.7,0.0,0.0,0.0,0.7,0.1,0.1
v248,1.0,0.0,0.0,,0.9,0.7,0.3
v249,0.5,0.0,0.1,0.0,0.3,0.9,0.5
v250,0.0,0.0,0.7,0.0,0.0,0.7,0.6
v251,0.5,0.7,0.0,,0.8,0.7,0.5
v252,0.8,0.0,0.0,0.0,0.6,0.5,0.3
v253,0.2,0.7,0.3,0.0,0.2,0.5,0.1
v254,0.5,0.4,0.7,0.4,0.4,0.3,0.4
v255,0.0,1.0,0.0,1.0,0.2,0.0,0.2
v256,0.3,0.6,0.2,,0.5,0.1,0.7
v257,0.6,0.0,0.2,0.0,0.4,0.6,0.3
v258,0.6,0.0,0.5,0.0,0.6,0.8,0.7
v259,0.0,0.0,0.0,0.3,0.0,0.0,0.0
v260,0.1,0.5,0.2,0.2,0.3,0.3,0.3
v261,0.7,0.0,0.0,0.0,0.2,0.2,0.3
v262,0.1,0.0,1.0,0.0,0.0,0.7,0.5
v263,0.6,0.0,0.2,0.1,0.3,0.5,0.3
v264,0.1,1.0,0.0,0.4,0.0,0.1,0.0
v265,0.3,0.3,0.5,0.3,0.3,0.5,0.1
v266,0.5,0.0,0.7,0.0,0.3,0.5,0.4
v267,0.7,0.0,0.0,0.0,0.6,0.5,0.5
v268,0.5,0.0,0.7,0.0,0.4,0.9,1.0
v269,0.8,0.0,0.0,,0.4,0.7,0.4
v270,1.0,0.0,0.5,0.0,0.5,1.0,0.5
v271,0.3,0.6,0.1,0.4,0.6,0.4,0.2
v272,0.8,0.0,0.0,0.0,0.5,0.7,0.5
v273,0.5,0.0,0.0,0.0,0.2,0.3,0.5
v274,0.8,0.0,0.0,0.0,0.4,0.5,0.4
v275,0.8,0.0,0.3,0.0,0.4,0.6,0.4
v276,0.4,0.3,0.2,0.3,0.4,0.2,0.2
v277,0.1,0.0,0.0,,0.5,0.0,0.0
v278,0.7,0.1,0.7,0.0,0.6,0.8,0.3
v279,0.7,0.2,0.2,,0.7,0.5,0.4
v280,0.3,0.8,0.0,,0.5,0.0,0.1
v281,0.6,0.5,0.2,,0.5,0.3,0.2
v282,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v283,0.0,1.0,0.5,0.0,0.5,0.0,0.0
v284,0.9,0.0,0.0,0.0,1.0,0.4,0.2
v285,0.7,0.0,0.2,0.0,0.6,0.5,0.3
v286,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v287,0.7,0.3,0.7,0.5,0.7,0.7,0.7
v288,0.9,0.0,0.0,0.0,0.0,0.5,0.5
v289,0.5,0.0,0.7,0.0,0.3,0.8,0.5
v290,0.7,0.3,0.1,0.0,0.8,0.0,0.3
v291,0.4,0.2,0.5,,0.1,0.0,0.0
v292,0.2,0.1,0.2,0.0,0.4,0.5,0.6
v293,0.6,0.0,0.6,0.0,0.3,0.8,0.7
v294,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v295,1.0,0.4,0.0,0.4,0.8,0.0,0.0
v296,0.1,0.0,0.8,0.0,0.1,0.7,0.5
v297,0.8,0.0,0.0,0.1,0.5,0.1,0.4
v298,0.3,0.0,0.6,0.0,0.0,0.6,0.5
v299,0.0,0.0,0.2,0.0,0.0,0.1,0.0
v300,0.3,0.0,0.2,0.0,0.3,0.6,0.4
v301,0.0,0.0,0.0,0.0,0.0,0.5,0.0
v302,0.9,0.8,0.9,0.0,0.0,0.0,0.5
v303,0.0,0.0,1.0,0.0,0.0,0.4,0.0
v304,0.0,0.0,1.0,0.0,0.0,0.8,0.9
v305,0.5,0.5,0.5,0.6,0.5,0.5,0.5
v306,0.9,0.3,0.0,0.3,0.8,0.2,0.5
v307,0.8,0.0,0.5,0.0,0.5,0.5,0.6
v308,0.2,0.0,0.5,0.0,0.1,0.3,0.7
v309,0.8,0.1,0.5,0.0,0.5,0.5,0.2
v310,0.0,1.0,0.0,0.7,0.0,,0.0
v311,,0.5,,,,,
v312,0.7,0.0,0.0,0.0,0.4,0.6,0.7
v313,0.5,0.0,0.5,0.0,0.3,0.5,0.5
v314,0.0,0.5,0.4,0.0,,0.5,0.4
v315,0.0,0.9,0.0,0.0,0.5,0.0,0.0
v316,0.3,0.1,0.1,0.1,0.1,0.1,0.1
v317,0.2,0.0,0.8,0.0,0.2,0.2,0.2
v318,0.2,0.3,0.3,0.2,0.3,0.4,0.6
v319,0.6,0.0,0.0,0.0,0.2,0.5,0.2
v320,0.0,0.0,0.0,,,0.3,0.0
v321,0.4,0.3,0.0,0.2,1.0,0.0,0.0
v322,0.7,0.0,0.3,0.0,0.3,0.3,0.2
v323,0.1,0.0,0.6,0.0,0.2,0.4,0.5
v324,0.0,0.1,0.1,0.0,0.5,0.6,0.6
v325,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v326,1.0,0.1,0.1,0.2,0.5,0.8,0.4
v327,0.8,0.0,0.0,0.0,0.2,0.3,0.4
v328,0.8,0.2,0.0,0.2,0.9,0.2,0.2
v329,0.0,0.0,0.7,0.0,0.0,0.7,0.8
v330,0.8,0.0,0.3,0.0,0.5,0.7,0.3
v331,0.5,0.3,0.4,0.3,0.5,0.3,0.3
v332,0.7,0.0,0.1,0.0,0.3,0.2,0.1
v333,0.5,0.0,0.8,0.0,0.3,0.5,0.5
v334,0.8,0.4,0.5,,0.6,0.6,0.5
v335,0.0,0.0,0.6,0.0,0.0,0.2,0.1
v336,0.1,0.3,0.0,0.3,0.1,0.0,0.0
v337,0.7,0.0,0.0,0.0,0.0,0.0,0.0
v338,0.7,0.0,0.0,0.0,0.3,0.0,0.2
v339,0.3,0.0,0.0,,0.2,0.3,0.2
v340,0.7,0.0,0.7,,0.7,0.5,0.6
v341,0.5,0.4,0.4,0.5,0.4,0.4,0.3
v342,0.2,0.8,0.2,,0.2,,0.2
v343,0.4,0.0,0.2,,0.0,0.0,0.6
v344,0.0,0.7,0.0,0.0,0.0,0.6,0.0
v345,0.0,0.8,0.0,0.7,0.1,0.0,0.1
v346,0.5,0.0,0.9,0.0,0.2,0.9,0.6
v347,0.2,0.2,0.0,,0.6,0.5,0.0
v348,0.8,0.4,0.0,0.0,0.7,0.2,0.8
v349,0.9,0.0,0.0,0.1,0.5,0.0,0.2
v350,0.0,0.2,0.0,0.0,0.0,0.2,0.0
v351,0.3,0.2,0.5,0.2,0.1,0.5,0.2
v352,0.9,0.0,0.5,0.0,0.3,0.7,0.5
v353,0.2,0.0,0.2,0.0,0.2,0.8,0.8
v354,0.0,0.0,0.8,,0.0,0.5,0.1
v355,0.5,0.2,0.4,0.0,0.4,0.7,0.3
v356,0.6,0.0,0.0,,0.1,0.7,0.6
v357,0.2,0.3,0.5,0.3,0.3,0.1,0.0
v358,0.4,0.2,0.7,0.5,0.3,0.5,0.6
v359,0.7,0.0,0.7,0.0,0.3,0.8,0.6
v360,0.2,0.9,0.0,0.4,0.7,0.1,0.1
v361,0.4,0.0,0.6,0.1,0.3,0.6,0.6
v362,0.0,0.3,1.0,0.0,0.0,0.7,0.0
v363,0.8,0.0,0.0,0.0,0.7,0.6,0.4
v364,0.4,0.0,0.9,0.0,0.4,0.9,0.8
v365,0.4,0.7,0.1,0.1,0.4,1.0,0.5
v366,1.0,0.0,0.0,0.0,0.7,0.0,0.2
v367,0.0,0.0,0.0,0.0,0.0,0.0,0.2
v368,,,0.5,0.5,0.5,0.5,0.5
v369,0.0,0.0,0.7,0.0,0.0,1.0,0.6
v370,0.8,0.2,0.0,0.2,0.7,0.5,0.0
v371,0.4,0.0,0.6,0.0,0.3,0.6,0.3
v372,0.5,0.0,0.0,0.0,0.9,0.0,0.5
v373,0.0,0.0,1.0,0.0,0.0,0.8,0.0
v374,0.7,0.5,0.0,0.1,1.0,0.1,0.1
v375,0.6,0.1,0.7,0.0,0.5,0.7,0.8
v376,0.3,0.0,0.6,0.0,0.2,0.5,0.5
v377,0.2,0.0,0.6,0.0,0.0,0.8,0.8
v378,0.6,0.0,0.7,0.0,0.2,1.0,1.0
v379,0.6,0.4,0.6,0.5,0.6,0.6,0.6
v380,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v381,0.4,0.3,0.0,0.3,0.5,0.0,0.3
v382,0.0,0.0,0.0,0.0,0.0,0.0,0.1
v383,0.8,0.5,0.3,0.2,0.5,0.9,0.8
v384,0.6,0.0,0.5,0.0,0.1,0.7,0.8
v385,0.1,0.0,0.7,,0.1,0.3,0.3
v386,0.4,0.2,0.4,0.0,0.4,0.6,0.6
v387,0.0,0.0,0.0,0.0,0.2,0.2,1.0
v388,0.4,0.0,0.8,0.1,0.6,0.3,0.4
v389,0.1,0.3,0.0,0.4,0.2,0.0,0.0
v390,0.0,0.5,0.0,0.0,0.0,0.0,0.1
v391,1.0,0.0,0.0,,0.9,1.0,0.4
v392,0.7,0.3,,0.3,0.7,,
v393,0.5,0.5,0.5,,,,
v394,0.0,0.0,0.0,0.0,0.0,0.3,0.1
v395,0.1,0.0,0.9,0.0,0.1,0.8,0.9
v396,0.5,0.5,0.0,0.5,0.9,0.0,0.2
v397,0.3,0.5,0.5,0.4,0.4,0.0,0.0
v398,0.5,0.2,0.5,,0.5,0.6,0.5
v399,0.1,0.4,0.3,0.2,0.1,0.1,0.1
v400,0.3,0.4,0.4,0.4,0.4,0.3,0.4
v401,0.5,0.0,0.3,0.0,0.4,0.7,0.6
v402,0.5,0.1,0.3,0.0,0.5,0.4,0.3
v403,0.3,0.1,0.2,0.2,0.6,0.2,0.2
v404,0.0,0.0,1.0,0.0,0.0,0.5,0.1
v405,0.2,0.0,0.5,0.0,0.2,0.7,0.6
v406,0.4,0.4,0.3,0.0,0.4,0.5,0.4
v407,0.5,0.0,0.7,0.0,0.2,0.8,0.9
v408,0.4,0.0,0.7,0.0,0.3,0.8,0.5
v409,0.5,0.9,0.5,0.5,0.5,0.8,0.5
v410,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v411,0.5,0.0,0.4,0.7,0.7,0.2,0.3
v412,0.8,0.0,0.8,0.2,0.2,1.0,0.2
v413,0.2,0.7,0.4,0.8,0.4,0.4,0.4
v414,0.1,0.8,0.0,0.8,0.2,0.0,0.0
v415,0.4,0.0,0.2,0.0,0.4,0.4,0.2
v416,0.3,0.5,0.2,0.2,0.8,0.2,0.1
v417,0.0,0.0,0.5,0.0,0.0,0.6,0.0
v418,0.4,0.0,0.4,0.0,0.3,0.5,0.3
v419,0.4,0.0,1.0,0.0,0.2,1.0,0.2
v420,0.8,0.0,0.0,,0.3,0.7,0.7
v421,0.8,0.6,0.5,0.6,0.6,0.6,1.0
v422,0.5,0.1,0.5,0.0,0.2,0.8,0.8
v423,0.0,1.0,0.0,0.8,0.0,0.5,0.0
v424,0.9,0.0,0.0,0.0,0.5,,0.1
v425,0.2,0.8,0.0,0.9,0.9,0.2,0.2
v426,0.7,0.0,0.5,0.0,0.1,0.7,0.9
v427,0.7,0.2,0.3,0.3,0.5,0.6,0.5
v428,1.0,0.0,0.2,0.0,0.5,0.8,0.8
v429,0.7,0.0,0.7,0.0,0.3,0.5,0.5
v430,0.7,0.0,0.3,0.0,0.2,0.6,0.7
v431,0.7,0.0,0.0,0.0,0.8,0.3,0.4
v432,0.6,0.0,0.6,0.0,0.3,0.6,0.5
v433,0.3,0.5,0.0,0.0,0.3,0.0,
v434,,,0.6,,,0.5,
v435,0.8,0.7,0.1,0.4,0.6,0.5,0.3
v436,0.8,0.0,0.7,0.0,0.4,0.0,0.3
v437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v438,0.7,0.2,0.3,0.2,0.4,0.6,0.5
v439,0.0,0.5,0.0,0.0,0.0,0.0,0.1
v440,0.8,0.0,0.0,0.0,0.4,0.1,0.5
v441,0.1,0.0,0.9,0.0,0.0,0.5,0.3
v442,0.7,0.0,0.0,0.0,0.4,0.5,0.5
v443,0.1,0.0,0.9,0.0,0.0,0.9,0.2
v444,0.5,0.2,0.7,0.0,0.3,0.8,0.5
v445,1.0,0.0,0.0,0.9,0.5,0.2,0.2
v446,0.7,0.0,0.0,0.0,0.1,0.7,0.7
v447,0.8,0.0,0.6,0.0,0.5,0.8,0.5
v448,0.0,0.0,0.6,0.0,0.4,0.6,0.6
v449,0.0,0.1,0.0,0.9,0.0,0.0,0.0
v450,0.5,0.0,0.7,0.0,0.2,0.6,0.7
v451,0.0,1.0,0.2,1.0,0.0,0.0,0.0
v452,0.3,0.0,0.7,0.0,0.1,0.6,0.2
v453,0.5,0.6,0.5,,0.5,0.5,0.4
v454,0.1,0.0,0.6,0.0,0.0,0.5,0.5
v455,0.3,,0.8,,,,0.9
v456,0.6,0.0,0.4,0.0,0.5,0.4,0.4
v457,0.7,0.0,0.5,0.0,0.4,0.7,0.6
v458,0.8,0.0,0.0,0.0,0.7,0.3,0.4
v459,0.0,0.3,0.0,0.0,0.3,0.0,0.0
v460,0.2,0.1,0.2,0.3,0.3,0.5,0.8
