,A,B,C,D
v433,0.4,0.5,0.7,0.0
v434,0.8,0.5,0.4,0.6
v435,1.0,0.2,0.2,0.2
v436,0.5,0.5,0.5,0.5
v437,1.0,0.0,0.0,0.0
v438,0.5,0.5,0.4,
v439,0.7,0.4,0.7,0.3
v440,1.0,0.0,0.0,0.0
v441,0.6,0.5,0.7,0.6
v442,0.5,0.5,0.2,0.2
v443,0.6,0.7,0.7,0.5
v444,0.8,0.2,0.0,0.9
v445,0.4,0.5,0.5,0.5
v446,0.5,0.5,0.5,0.5
v447,0.7,0.6,0.8,0.9
v448,0.2,0.6,0.5,0.2
v449,0.8,0.1,0.2,0.5
v450,0.5,0.5,0.5,
v451,0.1,0.5,1.0,0.3
v452,0.0,0.5,0.5,0.5
v453,0.8,0.0,0.0,0.7
v454,0.8,0.5,0.5,0.8
v455,0.3,0.6,0.5,0.3
v456,1.0,0.1,0.2,
v457,0.9,0.7,0.3,0.3
v458,0.8,0.7,0.6,0.5
v459,0.4,0.5,0.7,0.2
v460,0.0,0.1,0.0,0.0
v461,0.5,0.7,0.0,0.0
v462,0.6,0.6,0.4,
v463,0.8,0.4,0.3,0.6
v464,0.8,0.0,0.0,0.3
v465,0.6,0.5,0.7,0.6
v466,0.3,0.7,0.3,0.3
v467,0.5,0.6,0.7,0.3
v468,0.5,0.5,0.5,0.2
v469,0.5,0.5,0.5,0.5
v470,0.2,0.4,0.5,0.0
v471,0.1,0.7,0.3,0.2
v472,0.7,0.4,0.7,0.5
v473,0.4,0.7,0.8,0.6
v474,0.8,0.7,0.3,
v475,0.2,0.8,0.5,0.5
v476,0.0,0.2,1.0,0.2
v477,0.7,0.0,0.0,0.2
v478,0.0,0.8,0.2,0.2
v479,0.7,0.5,0.3,0.1
v480,0.5,0.5,,
v481,0.6,0.3,0.2,0.6
v482,0.6,0.3,0.5,0.5
v483,1.0,1.0,1.0,0.0
v484,0.3,0.8,0.6,0.2
v485,0.0,1.0,0.5,0.3
v486,0.0,0.3,1.0,0.1
v487,1.0,0.0,0.0,0.2
v488,0.6,0.5,0.4,0.4
v489,0.3,0.8,0.8,0.3
v490,0.3,0.7,0.2,0.0
v491,0.6,0.5,,
v492,0.6,,,
v493,1.0,0.0,0.0,0.3
v494,0.9,0.2,0.0,0.0
v495,0.4,0.7,0.6,0.2
v496,0.4,0.6,0.7,
v497,0.5,0.5,0.5,0.5
v498,0.4,0.6,,
v499,0.4,0.6,0.5,0.7
v500,0.4,0.6,0.5,0.5
v501,0.7,0.8,0.7,0.6
v502,0.4,0.6,0.8,0.5
v503,0.8,0.3,0.5,0.4
v504,0.8,0.3,0.0,0.1
v505,1.0,0.5,0.5,0.6
v506,0.9,0.0,0.0,0.7
v507,0.0,0.8,0.2,0.0
v508,0.5,0.6,0.4,0.3
v509,0.5,0.5,0.5,0.5
v510,1.0,,0.0,0.0
v511,1.0,1.0,1.0,
v512,0.0,0.8,0.5,0.1
v513,0.3,0.5,0.6,0.3
v514,0.7,0.2,0.0,0.5
v515,0.5,0.6,0.4,0.2
v516,0.8,0.5,0.3,
v517,0.5,0.0,0.3,0.4
v518,0.6,0.4,0.4,0.4
v519,0.3,0.5,0.1,0.1
v520,0.5,1.0,0.6,0.5
v521,0.5,0.5,0.3,0.4
v522,0.5,0.5,0.5,0.2
v523,0.6,0.5,0.0,0.2
v524,0.1,0.8,0.8,0.3
v525,0.4,0.4,0.5,0.5
v526,0.6,0.3,0.5,
v527,0.9,0.3,0.0,0.0
v528,0.0,0.8,0.5,
v529,0.5,0.7,0.5,0.0
v530,0.5,0.5,0.5,0.0
v531,0.6,0.2,0.2,0.3
v532,0.4,0.6,0.7,0.7
v533,0.5,0.5,0.5,0.5
v534,0.6,0.4,0.5,0.7
v535,0.7,0.8,0.1,0.1
v536,1.0,1.0,1.0,1.0
v537,0.2,0.6,0.0,0.0
v538,0.9,0.0,0.3,0.2
v539,0.3,0.4,0.7,0.5
v540,0.0,0.5,0.0,0.0
v541,0.6,0.6,0.1,0.2
v542,0.2,0.6,0.3,0.1
v543,0.7,0.2,0.5,0.7
v544,0.3,0.4,0.8,0.6
v545,0.5,0.5,,0.3
v546,0.8,0.4,0.1,0.5
v547,0.3,0.8,0.4,0.2
v548,0.1,0.3,0.2,0.1
v549,0.5,0.5,0.7,0.0
v550,0.0,0.2,,
v551,0.5,0.5,0.5,0.5
v552,0.0,0.7,0.7,0.0
v553,0.9,0.9,0.5,0.5
v554,0.5,0.4,0.5,0.5
v555,0.6,0.0,0.7,0.7
v556,0.4,1.0,0.5,0.1
v557,0.6,0.3,0.5,
v558,0.9,0.0,0.1,0.0
v559,0.8,0.2,0.0,0.7
v560,0.5,0.5,0.5,0.5
v561,0.7,0.6,0.4,0.3
v562,0.0,1.0,0.5,
v563,0.7,0.2,0.7,0.6
v564,0.0,0.7,0.5,0.0
v565,0.0,0.8,0.8,0.5
v566,0.0,0.6,0.5,0.0
v567,0.9,0.8,0.4,0.5
v568,0.5,0.5,0.3,
v569,0.3,0.7,0.3,0.1
v570,0.5,0.8,0.3,0.2
v571,0.7,0.4,0.5,0.5
v572,0.2,0.6,1.0,
v573,0.8,0.3,0.5,0.5
v574,0.0,0.4,0.8,0.4
v575,0.4,0.6,0.6,0.5
v576,1.0,0.0,0.0,0.2
v577,1.0,0.0,0.0,0.3
v578,0.2,0.9,0.2,0.2
v579,0.5,0.6,0.3,0.2
v580,0.3,0.3,0.7,0.4
v581,1.0,0.3,0.0,0.5
v582,0.3,0.7,0.6,0.1
v583,0.1,0.3,0.3,0.3
v584,0.5,0.5,0.5,0.5
v585,0.1,0.1,0.1,0.1
v586,0.2,0.6,0.5,0.0
v587,0.0,0.7,0.7,0.6
v588,1.0,0.0,0.0,0.8
v589,0.9,0.3,0.2,0.4
v590,0.5,0.4,0.5,0.5
v591,0.6,0.4,0.5,0.5
v592,0.0,0.8,0.9,0.7
v593,0.9,0.0,0.1,0.9
v594,0.1,0.7,0.8,0.0
v595,0.7,0.4,0.7,0.7
v596,0.5,0.5,0.5,0.5
v597,0.0,0.6,0.0,0.1
v598,0.2,1.0,0.5,0.3
v599,1.0,0.0,0.0,1.0
v600,0.0,0.6,0.5,0.0
v601,0.0,0.7,0.3,0.2
v602,0.0,0.8,0.8,0.0
v603,0.8,0.8,0.6,0.6
v604,0.5,0.7,0.2,0.0
v605,0.9,0.5,0.3,0.6
v606,0.9,0.0,0.4,0.4
v607,0.5,0.5,0.6,0.4
v608,1.0,0.0,0.0,0.6
v609,0.5,0.5,0.5,0.5
v610,0.7,0.5,0.3,0.2
v611,0.7,0.3,0.6,0.5
v612,0.9,0.2,0.5,0.9
v613,0.5,0.7,0.0,0.6
v614,0.3,0.2,0.4,0.0
v615,0.6,0.0,0.0,0.3
v616,0.2,0.8,0.6,0.5
v617,0.6,0.3,0.2,0.4
v618,0.2,0.8,0.5,0.5
v619,0.7,0.3,0.5,0.5
v620,0.0,1.0,0.5,0.1
v621,0.0,0.7,0.2,0.0
v622,1.0,0.0,0.0,0.0
v623,0.8,1.0,0.6,0.4
v624,0.8,0.2,0.7,
v625,0.3,0.8,,
v626,0.2,0.3,0.6,0.4
v627,0.7,0.2,0.2,0.5
v628,0.5,0.0,,
v629,0.3,0.3,0.4,0.2
v630,0.8,0.5,0.8,0.7
v631,0.5,0.9,0.5,
v632,0.5,0.6,0.3,0.3
v633,0.7,0.3,0.6,0.7
v634,0.6,0.3,0.4,0.5
v635,0.6,0.3,0.7,0.5
v636,0.5,0.6,0.6,0.4
v637,0.6,0.5,0.5,0.3
v638,0.6,0.7,0.3,0.2
v639,0.6,0.0,0.3,0.6
v640,0.3,0.6,0.2,0.0
v641,0.5,0.4,0.6,0.5
v642,0.7,0.7,0.3,0.2
v643,0.5,0.8,0.9,0.8
v644,0.7,0.4,0.3,0.7
v645,0.0,0.8,0.9,0.0
v646,0.9,0.4,0.9,0.4
v647,1.0,0.5,0.1,0.1
v648,1.0,0.5,0.2,0.5
v649,1.0,0.0,0.0,0.6
v650,0.6,0.5,0.3,0.3
v651,0.4,0.8,0.5,0.2
v652,0.7,0.3,0.9,0.5
v653,0.0,0.2,0.9,0.3
v654,0.5,0.7,0.8,0.3
v655,0.6,0.7,0.5,0.2
v656,0.0,0.8,0.4,0.0
v657,0.2,0.5,0.1,0.1
v658,0.6,0.3,0.3,0.4
v659,0.5,0.7,0.5,0.4
v660,0.4,0.6,0.5,0.2
v661,0.8,0.3,0.5,0.5
v662,0.8,0.9,0.7,0.0
v663,0.3,0.5,,0.0
v664,0.0,0.7,0.5,0.0
v665,0.4,0.5,0.1,0.0
v666,0.5,0.5,0.5,0.5
v667,0.1,0.7,0.5,0.3
v668,0.3,0.5,0.8,0.3
v669,0.5,0.5,0.5,0.3
v670,0.8,0.3,0.3,0.5
v671,0.3,0.6,0.2,
v672,0.6,0.3,0.1,0.3
v673,1.0,0.3,0.5,0.5
v674,0.3,0.6,0.6,0.4
v675,0.7,0.3,,
v676,0.5,0.5,0.5,0.5
v677,0.0,0.5,0.6,0.3
v678,0.0,1.0,0.5,0.5
v679,0.0,0.0,0.0,0.0
v680,0.4,0.4,0.4,0.4
v681,0.7,0.1,0.9,
v682,0.5,0.5,0.5,0.5
v683,0.6,0.2,0.6,0.0
v684,0.8,0.4,0.0,0.3
v685,0.4,0.6,0.4,0.0
v686,0.3,0.5,0.5,0.5
v687,0.0,0.9,0.2,0.0
v688,0.3,0.5,0.2,
v689,0.9,0.2,0.2,0.2
v690,0.5,0.8,0.5,0.3
v691,0.5,0.5,0.5,0.5
v692,0.5,0.3,0.4,0.0
v693,0.3,0.1,0.3,0.0
v694,0.6,0.0,0.5,0.8
v695,0.3,0.3,0.8,0.5
v696,0.8,0.3,0.8,0.8
v697,0.4,0.3,0.0,0.0
v698,0.0,0.5,0.3,0.1
v699,0.8,0.0,0.0,0.8
v700,0.3,0.5,0.1,0.0
v701,0.0,1.0,0.7,0.5
v702,0.4,0.6,0.3,0.1
v703,0.4,0.6,0.5,0.4
v704,1.0,0.5,0.0,0.4
v705,0.7,0.8,0.6,0.4
v706,0.8,0.2,0.1,0.1
v707,0.1,0.8,0.1,0.0
v708,0.9,0.4,0.3,0.5
v709,0.4,0.6,0.8,
v710,0.9,0.6,0.4,0.6
v711,0.8,,,1.0
v712,0.3,0.3,0.5,0.5
v713,0.8,0.4,0.2,0.3
v714,1.0,0.3,0.0,0.0
v715,0.8,0.8,0.7,0.7
v716,0.5,0.5,0.5,0.5
v717,1.0,0.3,0.3,
v718,0.5,0.7,0.3,0.2
v719,0.0,0.5,0.4,0.4
v720,0.3,0.5,0.5,0.3
v721,0.1,0.8,0.1,0.0
v722,0.6,0.3,0.7,0.8
v723,0.6,0.7,0.8,0.4
v724,0.5,0.4,0.0,0.4
v725,1.0,0.5,0.5,0.5
v726,0.8,0.4,0.5,0.0
v727,0.7,0.2,0.5,0.6
v728,0.6,0.2,0.4,
v729,0.4,0.5,0.1,0.1
v730,0.5,0.5,0.5,0.5
v731,1.0,0.2,0.0,0.0
v732,0.1,0.9,0.1,0.1
v733,0.7,0.6,0.7,0.6
v734,0.7,0.2,0.8,0.7
v735,0.9,0.4,0.3,0.4
v736,0.0,0.9,0.9,0.0
v737,0.6,0.6,0.6,0.4
v738,0.0,0.6,0.2,0.0
v739,0.1,0.3,1.0,0.5
v740,0.8,0.4,0.1,
v741,0.7,0.0,0.8,0.0
v742,0.3,0.5,0.6,0.7
v743,0.7,0.3,0.8,0.3
v744,0.3,0.3,,
v745,1.0,0.1,0.0,0.3
v746,0.5,0.5,0.5,0.5
v747,0.2,1.0,0.5,0.5
v748,0.2,0.6,0.5,0.3
v749,0.2,0.3,0.7,0.2
v750,0.2,0.1,0.0,0.1
v751,0.0,0.5,0.8,0.1
