,A,B,C,D,E,F,G,H,I
v79,0.8,0.3,0.0,0.6,0.5,0.7,0.3,0.2,0.3
v80,0.6,0.1,0.0,0.1,0.3,0.3,0.1,0.1,0.1
v81,0.5,0.5,0.9,0.5,0.2,0.2,0.1,0.5,
v82,0.8,0.1,0.0,0.4,0.1,0.1,0.2,0.1,0.3
v83,0.5,0.9,0.0,0.9,0.5,0.5,0.5,0.5,0.5
v84,0.7,0.8,0.0,0.5,0.0,0.0,0.5,0.5,0.5
v85,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v86,0.7,0.5,0.0,0.5,0.5,0.4,0.5,0.5,0.5
v87,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6
v88,1.0,0.3,0.0,0.0,0.3,0.8,0.0,0.4,0.0
v89,0.7,,0.5,,,,,,
v90,1.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0
v91,0.5,0.5,,,,,,,
v92,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v93,0.5,0.5,0.4,0.3,0.2,0.0,0.1,0.0,0.3
v94,0.6,0.6,0.0,0.5,0.6,0.4,0.4,0.4,0.0
v95,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
v96,0.6,0.4,0.0,0.4,0.7,0.6,0.3,0.5,0.6
v97,0.9,0.5,0.1,0.5,0.1,0.1,0.1,0.5,0.5
v98,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v99,0.6,0.3,0.0,0.4,0.6,0.5,0.5,0.5,0.3
v100,0.8,0.2,0.0,0.0,0.2,0.6,0.2,0.0,0.0
v101,0.3,0.0,0.0,0.1,0.3,1.0,0.0,0.2,0.2
v102,0.5,0.6,0.0,0.3,0.1,0.2,0.5,0.0,0.2
v103,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v104,1.0,0.2,0.0,0.2,0.5,0.7,0.2,0.2,0.7
v105,0.6,0.2,0.0,0.5,0.6,0.6,0.1,0.6,0.3
v106,0.5,0.5,0.0,0.0,0.5,0.5,0.1,0.5,0.5
v107,0.8,0.2,0.0,0.5,0.4,0.6,0.0,0.5,0.0
v108,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v109,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v110,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
v111,1.0,0.2,0.0,0.5,0.5,0.5,0.1,0.8,0.3
v112,0.6,0.2,0.0,0.2,0.6,0.6,0.2,0.4,
v113,0.9,0.2,0.7,0.0,0.2,0.0,0.1,0.0,0.5
v114,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v115,0.3,0.7,0.6,0.6,0.0,0.0,0.0,0.0,0.0
v116,0.4,0.4,0.0,0.8,0.8,0.4,0.4,0.8,0.8
v117,0.8,0.5,0.2,0.2,0.5,0.3,0.5,0.2,0.5
v118,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v119,0.9,0.2,0.2,0.5,0.5,0.4,0.3,0.5,0.5
v120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v121,0.3,0.3,0.1,0.4,0.4,0.2,0.3,0.4,0.4
v122,0.9,,0.2,,,0.5,0.8,0.8,
v123,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v124,0.6,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v125,0.5,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.3
v126,0.5,0.8,,,0.8,,,,
v127,0.4,0.5,0.2,0.2,0.2,0.3,,0.0,0.5
v128,0.7,0.0,0.0,0.3,0.2,0.2,0.2,1.0,0.5
v129,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2
v130,0.7,0.5,0.0,0.4,0.3,0.2,0.3,0.4,0.4
v131,0.5,0.3,0.0,0.3,0.3,0.1,0.1,0.1,0.1
v132,0.5,0.4,0.0,0.2,0.2,0.2,0.2,0.3,0.2
v133,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v134,0.6,0.8,0.0,0.7,0.5,0.2,0.7,0.3,0.8
v135,0.7,0.5,0.0,0.3,0.3,0.9,0.1,0.2,0.1
v136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v137,0.7,0.6,0.3,0.3,0.6,0.5,0.5,0.5,0.5
v138,0.8,0.3,0.0,0.2,0.3,0.3,0.0,0.5,0.5
v139,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v140,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5
v141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v143,0.5,0.0,0.0,,0.3,0.2,,0.3,
v144,0.9,0.4,0.0,0.5,0.6,0.6,0.4,0.5,0.5
v145,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.2
v146,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v147,0.7,0.7,0.2,0.6,0.7,0.7,0.6,0.7,0.6
v148,0.9,0.2,0.0,0.0,0.7,0.6,0.0,0.4,0.3
v149,0.8,0.2,0.0,0.0,0.3,0.0,0.1,0.3,0.1
v150,0.7,0.1,0.0,0.1,0.1,0.0,0.3,0.2,
v151,0.6,0.4,0.0,0.0,0.7,0.7,0.3,0.5,0.7
v152,0.6,0.3,0.0,0.5,0.6,0.3,0.5,0.5,0.6
v153,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v154,0.4,0.7,0.5,0.5,0.4,0.2,0.5,0.4,0.4
v155,0.3,0.0,0.0,0.0,0.5,1.0,0.0,0.2,0.0
v156,0.3,0.8,0.5,0.6,0.2,0.0,1.0,0.5,0.3
v157,0.9,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.3
v158,0.6,0.8,0.0,0.5,0.5,0.5,0.0,0.5,0.5
v159,0.4,0.4,0.5,0.4,0.5,0.3,0.5,0.4,0.5
v160,0.8,0.2,0.0,0.4,0.3,0.6,0.2,0.5,0.3
v161,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.1,0.1
v162,0.5,0.2,0.0,0.6,1.0,0.7,0.1,0.6,0.3
v163,0.1,0.5,1.0,0.8,0.1,0.0,0.5,0.5,0.5
v164,0.3,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1
v165,0.8,0.7,0.0,0.7,0.7,0.6,0.5,0.2,0.5
v166,0.9,0.4,0.0,0.2,0.6,0.3,0.1,0.3,0.2
v167,0.0,0.8,0.4,0.4,0.0,0.0,0.5,0.1,0.0
v168,0.7,0.8,0.5,,,,0.8,,
v169,0.5,0.9,0.2,0.7,0.5,0.3,,0.4,
v170,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v171,0.9,0.5,0.0,0.3,0.3,0.2,0.4,0.4,0.2
v172,0.6,0.4,0.3,0.4,0.7,0.4,0.5,0.8,0.6
v173,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
v175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v176,0.9,0.6,0.0,0.2,0.1,0.1,0.1,0.6,0.7
v177,0.3,0.9,0.0,0.0,0.1,0.2,0.2,0.0,0.0
v178,0.6,0.5,0.2,0.5,0.6,0.5,0.5,0.5,0.6
v179,0.8,0.5,0.7,,0.6,0.3,0.8,0.4,0.3
v180,1.0,0.0,0.0,0.2,0.2,0.2,0.2,,0.2
v181,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v182,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.0,0.8
v183,1.0,0.8,0.8,0.4,0.6,0.5,0.4,0.2,0.2
v184,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.1,0.1
v185,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0
v186,0.7,0.7,0.0,0.5,0.6,0.5,0.3,0.5,0.5
v187,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v188,0.2,0.2,0.0,0.3,0.2,0.2,0.1,0.1,0.1
v189,0.5,0.6,0.8,0.5,0.5,0.5,0.5,0.5,0.5
v190,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5
v191,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v192,0.6,0.6,0.7,,0.7,,,,
v193,0.7,0.5,0.1,0.6,0.4,0.2,0.2,0.4,0.4
v194,0.7,0.5,0.0,0.5,0.5,0.5,0.5,0.6,0.5
v195,0.9,0.2,0.0,0.2,0.5,0.5,0.2,0.6,0.5
v196,0.5,0.4,0.3,0.1,0.2,0.2,0.1,0.1,0.2
v197,0.7,0.7,0.1,,0.7,0.2,0.5,0.1,0.2
v198,0.8,0.6,0.2,0.5,0.5,0.5,0.5,0.5,0.4
v199,0.6,0.3,0.3,0.3,0.8,0.4,0.2,0.2,0.3
v200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v201,0.0,0.0,0.0,0.0,0.5,0.7,0.5,0.0,0.0
v202,0.9,0.3,0.0,0.5,0.5,0.5,0.2,0.5,0.3
v203,0.9,0.4,0.2,0.4,0.6,0.0,0.4,0.6,0.6
v204,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v205,0.7,0.4,0.2,0.5,0.6,0.4,0.5,0.4,0.5
v206,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v207,0.5,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.1
v208,0.6,0.3,0.0,0.1,0.4,0.3,0.1,0.1,0.3
v209,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v210,1.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1
v211,1.0,0.2,0.0,0.1,0.4,0.3,0.2,0.6,0.6
v212,0.8,0.2,0.2,0.6,0.3,0.5,0.6,0.4,0.3
v213,0.7,0.4,0.0,0.6,0.6,0.4,0.4,0.6,0.6
v214,0.1,0.8,0.9,0.9,0.0,0.0,0.9,0.1,0.9
v215,0.5,0.5,0.2,0.7,0.4,0.4,0.3,0.5,
v216,0.6,0.2,0.0,0.2,0.5,0.3,0.1,0.5,
v217,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
v218,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4
v219,0.7,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v220,0.8,0.4,0.0,0.5,0.3,0.3,0.2,0.5,0.5
v221,0.5,0.7,0.3,0.3,0.2,0.4,0.4,,0.2
v222,0.8,0.0,0.0,0.6,1.0,0.2,0.4,0.3,
v223,1.0,0.5,0.0,0.1,0.2,0.1,0.1,0.2,0.1
v224,0.6,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.4
v225,0.1,0.8,0.1,0.5,0.1,0.1,0.7,0.1,0.5
v226,0.9,0.7,0.0,0.5,0.6,0.5,0.6,0.5,0.5
v227,0.5,0.6,,,,,,,
v228,0.8,0.2,0.0,0.3,0.5,0.5,0.1,0.4,0.1
v229,0.7,0.0,0.0,0.0,0.6,0.6,0.0,0.6,
v230,0.5,0.5,0.2,0.4,0.5,0.5,0.5,0.4,0.4
v231,0.3,0.8,0.0,0.2,0.2,0.1,0.2,0.3,0.2
v232,0.3,0.8,0.1,0.8,0.5,0.5,0.3,0.1,0.5
v233,0.5,0.3,0.0,0.2,0.5,1.0,0.2,0.3,0.3
v234,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
v235,0.7,0.5,0.0,0.5,0.3,0.3,0.3,0.6,0.3
v236,0.4,0.7,0.0,0.5,0.5,0.0,0.7,0.6,0.4
v237,0.8,0.2,0.1,,0.4,0.3,0.5,0.5,0.5
v238,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v239,0.1,1.0,0.8,0.7,0.0,0.0,0.6,0.5,0.5
v240,0.8,0.0,0.5,,0.6,0.2,,,
v241,0.8,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v242,0.8,0.4,0.0,0.1,0.1,0.1,0.1,0.1,0.2
v243,0.9,0.6,0.0,0.0,0.4,0.3,0.3,0.0,0.0
v244,0.3,0.9,0.0,0.6,0.1,0.3,0.5,0.5,0.4
v245,0.7,0.6,0.6,0.4,0.3,0.5,0.4,0.5,0.4
v246,1.0,0.7,0.0,0.3,0.4,0.4,0.6,0.1,0.1
v247,,,0.0,,0.7,,,,
v248,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v249,0.5,0.6,0.1,0.3,0.6,0.5,0.3,0.7,0.5
v250,0.6,0.9,0.6,0.7,0.3,0.0,0.8,0.3,0.6
v251,1.0,0.2,0.0,0.4,0.6,0.5,0.0,0.5,0.5
v252,0.5,0.4,0.0,0.7,0.6,0.6,0.6,0.5,0.6
v253,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v254,0.5,0.6,1.0,0.9,0.0,0.0,0.4,0.6,0.5
v255,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
v256,0.6,0.7,0.5,0.7,0.5,0.5,0.5,0.4,0.5
v257,0.3,0.1,0.3,0.1,0.2,0.1,0.3,0.1,0.2
v258,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v259,1.0,0.0,0.0,0.0,0.7,0.7,0.0,0.5,0.5
v260,0.3,0.1,0.0,0.1,0.3,0.3,0.1,0.1,0.1
v261,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.0,0.5
v262,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v263,1.0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.3
v264,0.5,0.5,0.0,0.0,0.5,0.3,0.0,0.0,0.3
v265,0.2,0.8,0.4,0.4,0.3,0.3,0.5,0.0,0.2
v266,0.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
v267,0.9,0.3,0.1,,0.3,0.2,0.3,0.3,
v268,0.4,0.0,0.0,0.0,0.9,0.4,0.0,0.2,0.5
v269,0.5,0.3,0.2,0.4,0.4,0.4,0.3,0.4,0.3
v270,0.7,0.5,0.0,0.5,0.9,0.7,0.2,0.5,0.9
v271,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v272,1.0,0.4,0.0,0.3,0.6,0.8,0.2,0.4,0.1
v273,0.6,0.5,0.6,0.5,0.6,0.4,0.4,0.5,0.4
v274,0.6,0.0,0.1,0.5,0.7,0.7,0.0,0.5,0.5
v275,0.9,0.5,0.0,0.2,0.2,0.0,0.2,0.1,0.5
v276,0.6,0.7,0.8,0.7,0.6,0.5,0.6,0.6,0.5
v277,0.5,0.5,0.2,0.5,0.6,0.8,0.5,0.5,0.5
v278,0.5,0.8,0.0,,0.3,0.4,,,
v279,0.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
v280,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v281,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.2
v282,0.4,0.2,1.0,0.7,0.1,0.0,0.2,0.7,0.0
v283,0.6,0.7,1.0,0.8,0.3,0.2,0.9,0.4,0.6
v284,0.4,0.4,0.0,0.2,0.2,0.3,0.3,0.2,0.3
v285,0.4,0.3,0.2,0.3,0.7,0.1,0.2,0.2,0.5
v286,0.6,0.7,,,,,,,
v287,0.3,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.5
v288,0.6,0.4,0.1,0.3,0.5,0.3,0.4,0.8,0.5
v289,,0.8,0.1,0.6,0.3,0.3,0.5,,
v290,0.6,0.8,0.8,0.7,0.7,0.7,,0.7,0.9
v291,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v292,0.4,0.8,0.1,0.6,0.5,0.1,0.7,0.5,0.5
v293,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3
v294,0.7,0.7,,0.6,0.2,0.4,0.7,,
v295,0.5,0.8,1.0,0.9,0.3,0.0,1.0,0.5,
v296,0.8,0.5,0.0,0.1,0.3,0.3,0.4,0.3,0.1
v297,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.6
v298,0.2,0.5,0.4,0.8,0.2,0.1,0.2,0.2,0.2
v299,0.6,0.6,0.0,0.5,0.5,0.5,0.3,0.5,0.5
v300,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
v301,0.3,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v302,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v303,1.0,0.6,0.0,0.5,0.0,0.0,0.0,1.0,0.5
v304,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v305,0.8,0.5,0.0,0.2,0.6,0.5,0.0,0.8,0.7
v306,1.0,0.5,0.0,0.0,0.6,0.5,0.0,0.5,0.7
v307,0.6,0.3,0.0,0.5,0.4,0.6,0.3,0.5,0.4
v308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v309,0.5,0.9,1.0,0.3,0.0,0.0,1.0,0.0,0.0
v310,1.0,0.2,0.0,0.3,0.6,0.8,0.0,0.5,0.2
v311,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v312,0.4,0.3,0.9,0.2,0.2,0.2,0.3,0.2,0.1
v313,0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.1
v314,0.6,0.8,1.0,0.8,0.5,0.4,0.8,0.5,0.4
v315,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
v316,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v317,0.9,0.2,0.1,0.2,0.8,0.2,0.2,0.1,0.2
v318,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v319,0.9,0.5,0.2,,0.6,0.5,0.5,,
v320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v321,0.3,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5
v322,0.5,0.3,0.6,0.6,0.3,0.3,0.3,0.3,0.3
v323,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v324,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
v325,0.7,0.6,0.4,0.5,0.4,0.4,0.3,0.4,0.4
v326,0.8,0.5,0.0,0.5,0.5,0.3,0.6,0.5,0.5
v327,0.0,1.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
v328,0.4,0.2,0.8,0.0,0.0,0.2,0.2,0.0,0.0
v329,0.2,0.5,0.8,0.5,0.2,0.3,0.5,0.5,0.5
v330,0.1,0.7,0.0,0.1,0.1,0.1,0.1,0.0,0.1
v331,0.5,0.3,0.1,0.1,0.8,0.2,0.2,0.2,0.2
v332,0.1,0.5,0.0,0.1,0.6,0.1,,0.3,
v333,0.1,1.0,0.4,0.4,0.1,0.0,0.1,0.1,0.1
v334,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0
v335,0.6,0.4,0.1,0.5,0.6,0.2,0.4,0.6,0.5
v336,0.5,0.6,0.6,0.3,0.4,0.4,0.2,0.3,0.2
v337,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v338,1.0,0.6,0.6,0.4,0.2,0.5,0.2,0.2,0.5
v339,0.6,0.0,0.0,,0.0,0.0,0.0,,
v340,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v341,0.5,0.9,0.0,0.7,0.5,0.5,0.5,0.2,0.5
v342,0.4,0.3,0.4,0.5,0.4,0.6,0.9,0.2,0.5
v343,0.2,,0.0,,0.2,0.1,0.1,,
v344,0.8,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5
v345,0.5,0.7,0.6,0.2,0.2,0.2,0.8,0.3,0.2
v346,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v347,0.8,0.6,0.0,0.5,0.6,0.5,0.5,0.5,0.5
v348,0.7,0.2,0.0,0.1,0.0,0.1,0.5,0.3,0.1
v349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v350,0.8,0.6,0.0,0.2,0.5,0.3,0.1,0.5,0.5
v351,0.8,0.5,0.4,0.5,0.6,0.6,0.4,0.2,
v352,0.8,0.5,0.1,0.5,0.6,0.5,0.5,0.5,0.5
v353,0.9,0.6,0.6,0.7,0.8,0.7,0.5,0.7,0.5
v354,0.5,0.4,0.0,0.3,0.3,0.3,0.2,0.3,0.5
v355,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v356,0.5,0.4,0.2,0.2,0.3,0.4,0.4,0.3,0.3
v357,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1
v358,0.9,0.1,0.0,0.4,0.6,0.6,0.0,0.5,0.6
v359,0.6,0.4,0.6,0.4,0.3,0.3,0.3,0.5,0.5
v360,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v361,0.9,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2
v362,0.8,0.5,0.0,,0.3,0.3,0.5,0.3,
v363,0.0,0.8,1.0,0.8,0.0,0.0,0.8,0.0,0.0
v364,0.6,0.3,0.0,0.5,0.4,0.4,0.3,0.5,0.5
v365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v366,1.0,0.6,0.0,0.8,0.6,0.5,0.4,0.3,0.6
v367,1.0,0.0,0.0,0.5,0.4,0.2,0.0,0.2,0.5
v368,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
