,A,B,C,D,E,F,G,H
v49,0.9,0.7,0.3,0.1,0.2,0.3,0.2,0.1
v50,0.8,0.4,0.6,0.3,0.3,0.4,0.3,0.3
v51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v52,0.0,1.0,0.7,0.5,0.5,0.0,0.0,0.0
v53,0.0,1.0,0.7,0.6,0.5,0.0,0.0,0.5
v54,0.1,0.6,0.3,0.7,0.4,0.0,0.2,0.9
v55,0.5,0.1,0.5,0.1,0.5,0.9,,0.2
v56,0.7,0.4,0.7,0.7,0.7,0.7,0.6,0.4
v57,0.0,1.0,1.0,1.0,0.7,0.0,0.0,1.0
v58,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6
v59,0.9,0.1,0.1,0.3,0.5,0.6,0.6,0.2
v60,0.5,0.6,0.5,0.7,0.3,0.6,0.4,0.3
v61,0.8,0.4,0.5,0.7,0.5,0.7,0.7,0.5
v62,0.0,1.0,0.7,0.6,0.5,0.0,0.0,0.7
v63,0.9,0.4,0.4,0.4,0.5,0.3,0.2,0.3
v64,1.0,0.2,0.4,0.3,0.4,0.4,0.4,0.3
v65,0.8,0.3,0.3,0.1,0.5,0.6,0.7,0.1
v66,0.0,0.6,0.7,0.5,0.4,0.0,0.0,0.6
v67,1.0,0.1,0.8,0.1,0.4,0.8,0.7,0.0
v68,0.9,0.0,0.2,0.5,0.0,0.0,0.0,0.3
v69,0.7,0.1,0.1,0.3,0.3,0.3,,0.3
v70,0.0,0.9,0.8,0.8,0.4,0.0,0.0,0.7
v71,0.4,0.5,0.4,0.5,0.5,1.0,0.5,0.4
v72,0.0,0.5,0.9,0.4,0.6,0.6,0.5,0.5
v73,0.1,0.7,0.7,0.7,0.7,0.3,0.7,0.7
v74,0.1,0.7,0.6,0.5,0.2,0.2,0.1,0.6
v75,0.0,0.6,0.6,0.3,0.4,0.8,0.4,0.3
v76,0.1,0.5,0.5,0.0,0.5,0.8,0.3,0.5
v77,0.4,0.7,0.6,0.5,0.3,0.5,0.4,0.4
v78,0.0,1.0,0.8,0.9,0.5,0.0,0.5,0.9
v79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v80,0.8,0.2,0.5,0.6,0.2,0.5,0.5,0.2
v81,1.0,0.1,0.1,0.0,0.6,0.7,0.7,0.0
v82,0.9,0.1,0.3,0.2,0.5,0.3,0.7,0.1
v83,0.0,1.0,0.6,0.6,0.5,0.0,0.0,0.6
v84,1.0,0.0,0.5,0.6,0.5,0.7,0.5,0.4
v85,0.0,0.4,0.5,0.9,0.3,0.0,0.0,0.9
v86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v87,0.2,0.7,0.7,0.9,0.6,0.1,0.3,0.9
v88,0.7,0.8,0.8,0.5,0.8,0.8,0.8,0.8
v89,0.3,0.3,0.6,0.1,0.2,0.4,0.2,0.1
v90,0.0,0.9,0.7,0.9,0.5,0.0,0.5,0.9
v91,0.0,0.9,0.6,0.6,0.6,0.2,0.0,0.6
v92,0.0,0.9,0.6,0.4,0.3,0.1,0.2,0.4
v93,0.0,1.0,0.7,0.9,0.4,0.0,0.4,0.9
v94,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v95,1.0,0.4,0.3,0.4,0.3,0.2,0.3,0.5
v96,0.1,1.0,0.7,0.8,0.6,0.2,0.1,0.7
v97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v98,0.8,0.1,0.5,0.3,0.5,0.5,0.6,0.3
v99,0.2,0.5,0.5,0.2,0.5,0.1,0.2,0.4
v100,0.1,0.1,0.4,1.0,0.2,0.0,0.3,1.0
v101,0.6,0.4,0.4,0.5,0.5,0.7,0.6,0.5
v102,0.1,0.7,0.6,0.5,0.7,0.5,0.7,0.5
v103,0.0,1.0,0.7,0.7,0.4,0.0,0.1,0.6
v104,0.0,0.8,0.7,1.0,0.4,0.0,,0.9
v105,0.6,0.1,0.9,0.4,0.6,0.4,,
v106,0.2,0.8,0.5,0.5,0.4,0.2,0.1,0.3
v107,1.0,0.1,0.4,0.3,0.3,0.6,0.4,0.3
v108,0.0,1.0,0.9,0.7,0.6,0.1,0.3,0.9
v109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v110,0.4,0.6,0.7,0.7,0.7,0.3,0.2,0.6
v111,0.8,0.3,0.5,0.3,0.5,0.5,0.8,0.2
v112,0.3,0.6,0.6,0.5,0.5,0.0,0.1,0.4
v113,0.2,0.7,,,0.3,0.5,,
v114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v115,0.0,1.0,0.5,0.5,0.4,0.6,0.7,0.3
v116,0.1,0.5,0.6,1.0,0.3,0.0,0.1,0.7
v117,0.0,0.8,0.0,0.6,0.0,0.6,0.1,0.0
v118,0.6,0.0,0.1,0.2,0.1,1.0,0.3,0.0
v119,0.0,0.0,0.3,0.5,0.0,0.4,0.0,0.5
v120,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.2
v121,0.1,0.8,0.7,0.5,0.6,0.2,0.1,0.5
v122,0.0,1.0,0.5,0.4,0.3,0.2,,0.2
v123,0.0,0.7,1.0,0.5,0.7,0.5,0.2,0.6
v124,0.3,0.6,0.5,0.5,0.4,0.3,,0.6
v125,0.7,0.2,0.2,0.2,0.4,0.5,0.6,0.2
v126,0.0,0.7,0.6,0.3,,0.2,0.1,0.5
v127,0.7,0.5,0.5,0.5,0.5,,,0.5
v128,1.0,0.0,0.4,0.1,0.3,0.4,,0.1
v129,0.2,0.7,0.7,0.6,0.7,0.3,0.6,0.7
v130,0.8,0.7,0.8,0.7,0.8,0.7,0.8,0.7
v131,0.0,0.6,1.0,,0.5,0.0,,
v132,0.4,0.5,0.4,0.4,0.4,,0.4,0.4
v133,1.0,0.0,0.1,0.1,0.1,0.2,0.3,0.1
v134,0.7,0.1,0.1,0.2,0.4,0.2,0.5,0.2
v135,1.0,0.0,0.2,0.0,0.2,0.0,0.3,0.0
v136,0.3,0.5,0.5,0.5,0.9,0.5,,0.5
v137,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
v138,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
v139,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
v140,0.0,1.0,0.7,1.0,0.6,0.0,0.0,0.8
v141,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v142,0.1,0.8,0.6,0.6,0.5,0.0,0.0,0.6
v143,0.4,0.4,0.5,0.3,0.3,0.5,,0.5
v144,,0.5,0.4,0.6,,0.5,,
v145,0.6,0.6,0.7,0.4,,0.5,,
v146,0.9,0.2,0.3,0.1,0.4,0.5,0.8,0.0
v147,0.0,0.6,0.2,0.5,0.5,1.0,0.5,0.5
v148,0.6,0.8,0.6,0.6,0.6,0.7,0.5,0.7
v149,0.8,0.1,0.0,0.1,0.1,0.1,0.6,0.0
v150,0.7,0.7,0.6,0.5,0.5,0.6,0.7,0.5
v151,0.0,0.9,0.5,0.6,0.6,0.1,0.1,0.4
v152,0.7,0.2,0.1,0.1,0.4,0.2,0.6,0.2
v153,0.8,0.1,0.0,0.2,0.3,0.5,0.7,0.1
v154,0.6,0.1,0.5,0.0,0.5,0.5,0.5,0.4
v155,0.0,1.0,0.8,1.0,0.8,0.0,0.1,1.0
v156,0.0,0.5,0.9,,0.2,0.0,0.5,0.6
v157,0.2,0.3,0.5,,,,0.5,
v158,0.1,,,,0.4,,0.7,0.3
v159,0.1,0.7,0.5,0.7,0.7,0.3,0.3,0.7
v160,0.2,0.8,0.8,0.8,0.7,0.0,0.0,0.7
v161,0.6,0.2,0.4,0.1,0.6,0.6,0.7,0.3
v162,1.0,0.0,0.4,0.1,0.3,0.6,0.4,0.3
v163,0.0,0.7,0.8,,0.5,0.2,,0.5
v164,0.0,0.9,0.8,0.9,0.7,0.0,0.0,0.9
v165,0.4,0.6,0.5,0.4,0.5,0.4,0.3,0.4
v166,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v167,1.0,0.0,0.1,0.2,0.6,0.3,0.4,0.1
v168,0.1,0.3,0.6,0.2,0.3,0.6,0.4,0.3
v169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v170,0.1,0.6,0.5,0.8,0.7,0.2,0.2,0.7
v171,1.0,0.0,0.5,0.3,0.4,0.6,0.6,0.2
v172,0.3,0.2,0.6,0.3,0.4,0.4,0.3,0.1
v173,0.7,0.3,0.3,0.2,0.5,0.2,0.4,0.1
v174,0.2,0.5,0.5,0.3,0.4,,0.2,0.4
v175,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v177,1.0,0.1,0.1,0.1,0.1,0.7,0.6,0.1
v178,0.7,0.2,0.2,0.2,0.4,0.5,0.6,0.2
v179,0.0,1.0,0.1,0.1,0.1,0.2,0.0,0.1
v180,0.5,0.2,1.0,0.7,0.4,0.6,0.7,0.1
v181,0.1,0.8,0.7,,,,,
v182,0.0,0.8,0.7,0.7,0.5,,0.5,0.5
v183,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5
v184,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0
v185,1.0,0.3,0.3,0.0,0.5,0.8,0.9,0.0
v186,0.7,0.1,0.1,0.2,0.3,0.4,0.6,0.2
v187,0.2,0.7,1.0,0.7,0.6,0.0,0.0,0.8
v188,0.0,1.0,0.9,0.9,0.9,0.0,0.0,0.9
v189,0.4,0.3,0.4,0.3,0.5,0.3,0.2,0.3
v190,0.0,0.6,0.9,0.7,0.6,0.0,0.0,0.6
v191,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
v192,0.0,0.6,1.0,0.4,0.5,0.1,0.1,0.1
v193,0.0,1.0,0.7,0.5,0.4,0.0,0.3,0.5
v194,0.5,0.5,,,0.6,,,
v195,0.9,0.0,0.3,0.3,,0.5,0.5,0.3
v196,0.0,0.9,0.8,0.5,0.4,0.6,0.1,0.3
v197,0.6,0.4,0.3,0.1,0.2,0.1,0.2,0.2
v198,0.0,0.9,0.9,1.0,0.5,0.0,0.3,1.0
v199,0.1,0.6,0.5,0.3,0.0,0.1,0.2,0.1
v200,0.0,1.0,0.9,0.8,0.9,0.0,0.1,0.9
v201,0.2,0.4,0.8,0.7,0.6,0.5,0.6,0.4
v202,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v203,0.4,0.5,0.8,0.3,0.6,0.9,0.7,0.5
v204,0.0,0.7,0.7,0.9,0.7,0.0,0.0,0.9
v205,0.0,0.9,0.8,0.6,0.5,0.0,0.0,0.8
v206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v207,0.1,0.9,0.6,0.3,0.6,0.3,0.1,0.3
v208,0.5,0.1,0.3,0.3,0.1,0.1,0.5,0.2
v209,0.3,0.7,0.4,0.3,0.1,0.7,0.3,0.4
v210,0.0,0.7,0.8,1.0,0.7,0.0,0.0,0.8
v211,0.7,0.5,0.7,0.6,0.7,0.6,0.8,0.5
v212,0.6,0.2,,,,,,
v213,0.4,0.3,0.3,0.2,0.2,0.2,0.3,0.2
v214,0.0,0.4,0.9,1.0,0.7,0.0,0.0,0.5
v215,1.0,0.0,0.2,0.2,0.2,0.2,0.5,0.2
v216,1.0,0.1,0.2,0.0,0.6,0.7,0.7,0.0
v217,1.0,0.0,0.6,0.1,0.4,0.3,0.6,0.0
v218,0.8,0.0,0.0,0.0,0.1,0.2,0.3,0.0
v219,0.2,0.6,0.5,0.4,0.5,0.9,0.1,0.3
v220,1.0,0.1,0.1,0.1,0.5,0.6,0.8,0.1
v221,0.2,0.9,0.7,0.7,0.7,0.1,0.0,0.5
v222,0.2,0.7,0.9,0.3,0.7,0.6,0.1,0.5
v223,0.1,0.7,0.5,0.6,0.5,0.4,0.0,0.6
v224,0.5,0.4,0.3,0.5,0.6,0.4,0.6,0.5
v225,0.2,0.7,0.6,0.3,0.6,0.4,0.6,0.5
v226,0.6,0.2,0.2,0.3,0.2,0.7,0.4,0.2
v227,0.5,0.4,0.6,0.4,0.2,0.3,0.3,0.3
v228,0.0,1.0,0.5,0.5,0.6,0.0,0.0,0.4
v229,0.9,0.3,0.6,0.5,0.5,0.4,0.5,0.3
v230,0.0,0.6,0.9,0.9,0.4,0.0,0.1,0.9
v231,0.8,0.3,0.3,,,0.6,,
v232,0.1,0.3,0.3,0.9,0.3,0.1,0.1,0.9
v233,0.0,0.5,0.5,0.2,0.3,0.9,0.4,0.5
v234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v235,0.0,1.0,0.6,0.6,0.3,0.0,0.4,0.4
v236,0.9,0.2,0.3,0.2,0.5,0.3,,
v237,0.0,0.8,0.7,0.7,0.5,0.3,0.4,0.5
v238,0.8,0.8,0.5,0.7,0.5,0.6,1.0,0.7
v239,0.3,0.8,0.8,1.0,,0.0,0.0,1.0
v240,1.0,0.3,0.2,0.1,0.4,0.7,0.9,0.2
v241,0.9,0.2,0.6,0.2,0.5,0.4,0.5,0.3
v242,0.1,0.9,0.9,0.9,0.9,0.1,0.1,0.9
v243,,0.6,0.7,0.7,0.6,0.3,0.5,0.8
v244,0.0,0.9,0.7,0.9,0.5,0.0,0.4,0.9
v245,0.1,0.7,1.0,0.7,0.6,0.0,0.0,0.7
v246,0.0,1.0,0.9,0.9,0.4,0.0,0.5,0.9
v247,0.0,0.7,0.7,1.0,0.6,0.0,0.0,0.8
v248,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5
v249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v250,0.6,0.1,0.5,,,,,
v251,0.0,0.4,0.7,0.5,0.1,0.0,0.1,0.3
v252,0.5,0.5,0.6,,,0.5,,
v253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v254,0.1,0.0,1.0,0.1,0.3,0.2,0.1,0.2
v255,0.0,0.2,,,,0.4,,
v256,0.1,0.9,0.7,0.7,0.7,0.1,0.1,0.7
v257,0.0,1.0,0.6,0.6,0.6,0.0,0.0,0.6
v258,0.8,0.9,0.3,0.4,0.8,0.2,0.8,0.4
v259,0.9,0.2,0.5,0.3,0.3,0.3,0.3,0.2
v260,0.0,0.5,1.0,0.5,0.3,0.0,0.0,0.3
v261,0.6,0.4,0.4,0.3,0.7,0.5,0.2,0.3
v262,1.0,0.1,0.5,0.1,0.3,0.7,0.7,0.1
v263,0.7,0.8,0.6,0.5,0.7,0.8,0.5,0.8
v264,0.9,0.2,0.3,,0.4,0.5,0.9,
v265,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
v266,0.9,0.0,0.2,0.1,0.1,0.2,0.2,0.1
v267,0.0,1.0,1.0,1.0,0.9,0.0,0.0,1.0
v268,1.0,0.1,0.3,0.2,0.4,0.3,,0.1
v269,0.8,0.2,0.3,0.1,0.4,0.6,0.8,0.1
v270,0.0,0.9,0.5,0.5,0.5,0.0,0.0,0.5
v271,1.0,0.2,0.3,0.1,0.5,0.4,0.3,0.4
v272,0.0,0.9,0.7,0.7,0.5,0.0,0.0,0.4
v273,0.1,0.9,0.5,0.9,0.5,0.1,0.1,0.9
v274,0.0,0.9,0.3,1.0,0.3,0.5,0.0,0.9
v275,0.6,0.7,0.8,0.9,0.9,0.8,0.6,0.6
v276,0.1,0.7,1.0,0.8,0.9,0.0,0.1,0.7
v277,0.6,0.7,0.6,0.6,0.5,0.7,0.6,0.7
v278,1.0,0.0,0.1,0.1,0.4,0.4,0.9,0.1
v279,0.5,0.5,,,,0.5,,0.5
v280,0.0,0.8,0.6,0.8,0.4,0.0,,0.8
v281,0.0,1.0,0.6,0.3,0.4,0.0,0.0,1.0
v282,0.2,0.6,0.7,0.4,0.4,0.5,0.5,0.4
v283,1.0,0.0,0.5,0.3,0.5,0.6,0.3,0.6
v284,0.0,1.0,0.4,0.5,0.4,0.1,0.1,0.5
v285,0.8,0.0,0.1,0.0,0.1,0.0,0.1,0.0
v286,0.6,0.1,0.3,0.3,0.3,1.0,0.3,0.1
v287,0.0,0.8,0.6,1.0,0.5,0.0,0.0,0.8
v288,0.7,0.2,0.0,0.1,0.3,0.5,0.5,0.1
v289,0.0,0.2,0.1,1.0,0.2,0.1,0.0,0.9
v290,0.7,0.4,0.1,,,,,
v291,0.0,0.3,0.3,0.3,0.3,,0.0,0.3
v292,1.0,0.3,0.7,,0.4,0.5,0.6,
v293,0.6,0.7,0.6,0.7,0.6,0.6,0.4,0.5
v294,0.1,0.6,0.5,0.3,0.3,0.3,0.3,0.2
v295,0.1,0.4,0.4,0.2,,0.6,,0.7
v296,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v297,0.2,0.8,0.5,0.6,0.5,0.3,0.4,0.6
v298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
v299,0.0,0.9,0.8,0.6,0.6,0.5,0.7,0.7
v300,0.8,0.0,0.4,0.1,0.5,0.7,0.5,0.1
v301,0.2,0.2,0.8,0.8,0.6,0.6,0.8,0.8
v302,1.0,0.0,0.1,0.1,0.4,0.4,0.2,0.0
v303,0.4,0.2,0.8,1.0,0.5,0.6,0.4,0.0
v304,0.7,,,0.1,,,,0.1
v305,0.0,0.9,0.7,0.8,0.5,0.1,,0.9
v306,0.0,0.8,0.4,,0.3,0.7,0.7,0.5
v307,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.2
v308,0.2,0.6,0.7,0.6,1.0,0.2,,0.5
v309,0.4,0.3,0.6,0.4,0.6,1.0,0.3,0.7
v310,0.1,0.5,1.0,0.5,0.6,0.0,0.1,0.4
v311,0.0,1.0,0.9,0.9,0.8,0.0,0.0,0.8
v312,0.0,0.7,0.9,0.8,0.3,0.0,,0.9
v313,0.0,0.9,0.6,0.7,0.6,0.0,0.0,0.7
v314,0.3,0.7,0.8,0.8,0.8,0.0,0.0,0.9
v315,0.1,0.8,0.7,,,0.0,,
v316,0.7,0.8,0.7,0.8,0.8,0.9,0.6,0.8
v317,1.0,0.2,0.5,0.4,0.4,0.6,0.3,0.5
v318,0.2,0.7,0.6,0.6,0.6,0.2,0.1,0.6
v319,0.9,0.1,0.1,0.3,0.2,0.2,0.3,0.1
v320,0.0,0.9,0.7,1.0,0.6,0.0,0.0,1.0
v321,0.4,0.4,1.0,0.5,0.1,0.1,,0.1
v322,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0
v323,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
v324,0.8,0.3,0.4,0.6,0.3,0.5,0.2,0.2
v325,0.0,0.4,0.5,0.5,0.7,0.0,0.0,0.5
v326,0.2,0.7,0.9,0.7,0.7,0.1,0.2,0.7
v327,1.0,0.1,0.1,0.2,0.4,0.2,0.7,0.1
v328,0.7,0.6,0.5,0.4,0.5,0.6,0.8,0.7
v329,0.0,0.9,0.8,0.5,0.5,0.1,0.3,0.4
v330,0.0,1.0,0.8,1.0,0.8,0.0,0.0,1.0
v331,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
v332,1.0,0.0,0.5,0.4,0.3,0.3,0.2,0.4
v333,0.1,1.0,0.8,0.6,0.6,0.0,0.1,0.6
v334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v335,0.0,0.6,0.3,0.5,0.2,0.0,0.3,0.3
v336,0.7,0.3,0.5,0.5,0.3,0.4,,0.5
v337,0.1,0.5,0.6,0.5,0.4,0.5,0.3,0.6
v338,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v339,0.1,0.4,0.7,0.3,0.4,0.5,0.2,0.5
v340,0.0,0.8,0.9,0.8,0.6,0.0,,0.8
v341,0.9,0.9,0.6,0.1,0.4,0.3,0.8,0.1
v342,0.2,0.6,0.5,0.3,0.5,0.2,0.1,0.3
v343,0.7,0.2,0.4,0.3,0.5,0.1,0.3,0.2
v344,0.9,0.1,0.3,0.2,0.5,0.5,0.6,0.0
v345,1.0,0.0,0.3,0.0,0.4,0.4,0.2,0.0
v346,0.0,0.8,0.9,0.8,1.0,0.0,0.0,0.8
v347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v348,0.5,0.6,0.5,0.1,0.9,0.8,0.4,0.0
v349,0.6,,,,,,,
v350,0.0,0.8,1.0,0.4,0.4,0.0,0.5,0.3
v351,0.1,0.8,0.9,0.5,0.4,0.5,0.2,0.7
v352,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.6
v353,1.0,0.0,0.2,0.1,0.1,0.2,0.5,0.1
v354,0.8,0.0,0.2,0.0,0.5,0.6,0.5,0.0
v355,0.0,0.9,0.7,0.7,0.7,0.0,0.0,0.5
v356,0.9,0.2,0.1,0.2,0.1,0.6,0.6,0.1
v357,1.0,0.1,0.1,0.2,0.3,0.1,0.9,0.2
v358,0.3,0.5,0.3,0.1,0.2,0.1,0.0,0.0
v359,0.0,0.9,0.9,0.7,0.6,0.0,0.0,0.5
v360,0.0,1.0,0.8,0.8,0.8,0.0,0.0,0.8
v361,0.5,0.4,0.4,0.3,0.3,0.4,0.1,0.2
v362,0.2,0.8,1.0,0.8,0.6,0.0,0.0,0.8
v363,0.0,0.7,0.7,0.7,0.6,0.5,0.0,0.5
v364,0.0,0.8,1.0,0.8,0.7,0.0,0.0,0.8
v365,0.9,0.2,0.4,0.4,0.7,0.1,0.7,0.4
v366,1.0,0.3,0.3,0.2,0.4,0.3,0.9,0.2
v367,0.2,0.8,0.4,0.7,0.5,0.0,0.1,0.7
v368,0.0,1.0,0.7,0.6,0.7,0.4,0.0,0.3
v369,0.1,0.7,0.6,0.8,0.4,0.4,0.7,0.5
v370,0.1,0.1,0.1,0.1,0.1,0.1,,0.1
v371,0.0,0.8,0.2,0.4,0.3,0.0,0.5,0.4
v372,0.7,0.6,0.6,0.4,0.7,0.6,0.7,0.3
v373,0.0,0.6,0.6,0.9,0.6,0.2,0.0,0.8
v374,0.1,0.7,1.0,0.4,0.4,0.5,0.6,0.4
v375,0.1,0.7,1.0,0.5,0.5,0.3,0.1,0.5
v376,0.8,0.2,0.5,0.2,0.4,0.3,0.2,0.2
v377,0.1,1.0,0.9,0.0,0.7,0.0,0.0,0.0
v378,0.1,0.6,0.8,0.5,0.5,0.2,0.3,0.4
v379,0.0,1.0,1.0,0.9,0.5,0.0,0.8,0.9
v380,0.2,0.5,0.4,,,0.7,,
v381,0.0,0.9,0.6,0.6,0.6,0.3,0.2,0.7
v382,0.9,0.0,0.5,0.1,0.3,0.6,0.6,0.1
v383,0.5,0.0,0.0,0.3,0.3,0.4,,0.3
v384,0.0,0.8,0.7,0.7,0.7,0.1,0.6,0.8
v385,0.0,1.0,0.8,0.7,0.8,0.1,0.0,0.6
v386,0.0,1.0,0.6,0.6,0.6,0.0,0.0,0.6
v387,0.4,1.0,0.8,0.9,0.5,0.1,0.0,0.7
v388,0.0,0.5,0.8,0.4,0.4,0.1,0.3,0.5
v389,0.6,0.1,0.5,0.1,0.0,0.4,0.2,0.2
v390,1.0,0.5,0.2,0.5,0.2,0.4,0.7,0.3
v391,0.3,0.0,0.0,0.0,0.0,1.0,0.5,0.0
v392,0.2,0.2,0.3,1.0,0.0,0.0,0.0,1.0
v393,0.0,1.0,0.8,0.8,0.7,0.5,0.6,0.9
v394,0.2,1.0,0.8,0.7,0.7,0.6,0.4,0.8
v395,0.1,0.8,0.6,0.7,0.6,0.0,0.0,0.6
v396,0.9,0.1,,,0.2,,,
v397,1.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0
v398,0.9,0.1,0.1,0.2,0.5,0.5,0.2,0.2
v399,0.2,0.6,1.0,,0.7,,,
v400,0.0,0.2,1.0,0.3,0.4,0.4,0.3,0.2
v401,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2
v402,1.0,0.0,0.0,0.2,0.1,0.5,0.8,0.1
v403,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
v404,0.8,0.0,0.0,0.1,0.2,0.2,0.8,0.1
v405,1.0,0.1,0.1,0.0,0.1,0.1,0.8,0.2
v406,0.3,0.5,0.7,0.4,0.4,0.5,0.4,0.4
v407,0.1,0.7,0.2,0.3,0.4,0.3,0.2,0.4
v408,0.1,0.8,0.7,0.4,0.7,0.5,0.0,0.4
v409,0.3,0.8,0.5,0.5,0.5,0.3,0.2,0.5
v410,1.0,0.0,0.2,0.0,0.3,0.5,0.5,0.1
v411,0.0,0.3,0.3,1.0,0.1,0.0,0.0,1.0
