,A,B,C,D,E,F,G
v121,0.3,0.7,0.7,0.2,0.5,0.5,0.2
v122,0.2,0.8,0.8,0.1,0.2,0.7,
v123,0.0,0.6,0.6,0.0,0.0,0.3,
v124,0.8,0.0,0.0,0.4,0.5,0.0,
v125,0.4,0.9,,,,,
v126,0.5,0.7,0.6,,,,
v127,0.6,0.6,0.2,0.1,0.1,0.2,0.2
v128,0.5,0.7,0.7,0.3,0.2,0.7,0.2
v129,0.8,0.4,0.1,0.7,0.4,0.4,0.5
v130,0.7,0.0,0.0,0.7,0.5,,
v131,0.8,0.3,0.0,1.0,0.6,0.0,0.2
v132,0.8,0.6,0.6,0.6,0.5,0.4,0.5
v133,0.0,1.0,0.0,0.0,0.0,1.0,0.0
v134,0.4,0.8,1.0,0.0,0.1,1.0,0.7
v135,0.0,0.5,0.0,0.0,0.5,0.5,0.3
v136,0.2,1.0,0.9,0.0,0.0,0.7,0.0
v137,0.3,0.6,0.9,0.0,0.1,0.8,0.7
v138,0.5,0.5,0.5,0.5,0.5,,
v139,0.7,0.4,0.3,0.6,0.0,0.4,0.0
v140,0.0,0.7,0.5,0.0,0.0,0.9,
v141,1.0,0.0,0.0,0.7,0.0,0.0,0.0
v142,0.7,0.8,0.7,0.2,0.4,0.6,0.5
v143,1.0,0.0,0.3,0.9,0.9,0.0,0.0
v144,0.5,0.5,,,,,
v145,0.8,0.1,0.4,0.7,,0.2,
v146,0.7,0.5,0.5,0.4,0.3,,0.0
v147,0.1,1.0,0.9,0.3,0.0,,
v148,0.6,0.7,0.6,0.4,0.0,0.6,
v149,0.8,0.3,0.3,0.8,0.5,0.3,0.2
v150,0.8,0.9,0.6,0.6,0.6,0.6,0.5
v151,0.7,0.7,0.8,0.7,0.6,1.0,0.3
v152,0.8,0.1,0.0,0.3,0.8,0.0,0.0
v153,1.0,0.7,0.8,0.8,0.7,0.7,0.2
v154,0.4,0.8,0.7,0.2,0.6,0.4,
v155,0.0,0.4,0.5,0.0,0.0,1.0,0.5
v156,1.0,0.0,0.0,1.0,0.0,0.0,0.0
v157,0.6,0.6,0.6,0.6,0.0,0.6,1.0
v158,0.8,0.5,0.3,0.6,0.6,0.1,0.1
v159,0.5,0.3,0.8,0.6,0.1,0.6,0.5
v160,1.0,0.3,0.4,0.8,0.8,0.3,
v161,0.2,0.6,1.0,0.0,0.0,1.0,0.4
v162,0.4,0.9,0.6,0.5,0.6,0.2,0.0
v163,1.0,0.0,0.3,0.8,0.6,0.0,0.5
v164,0.8,0.5,0.1,0.2,0.1,0.5,0.2
v165,0.3,0.5,0.2,0.5,0.1,0.1,0.1
v166,0.4,0.9,0.9,0.0,0.0,0.9,0.6
v167,0.8,0.3,,0.6,0.2,,
v168,0.9,0.3,0.4,0.5,0.6,0.1,
v169,0.7,0.3,0.1,0.6,0.5,0.2,
v170,0.3,0.7,0.9,0.2,0.2,0.7,0.6
v171,0.8,0.4,0.5,0.5,0.6,,
v172,0.5,1.0,0.5,0.5,0.5,0.5,0.1
v173,0.0,0.5,0.7,0.0,0.5,0.5,0.7
v174,0.1,0.8,0.9,0.1,0.1,0.8,
v175,0.8,0.6,,0.0,0.7,0.0,0.0
v176,0.9,0.0,0.0,0.9,0.7,0.0,0.0
v177,0.0,1.0,0.8,0.3,0.6,,
v178,0.5,0.2,0.5,0.6,0.6,0.5,
v179,1.0,0.3,0.2,0.8,0.8,0.2,0.4
v180,0.5,0.5,0.5,0.5,0.5,0.5,
v181,0.5,0.8,0.8,0.5,0.5,1.0,0.8
v182,0.2,0.5,0.4,0.0,0.5,0.8,0.7
v183,0.5,0.5,0.1,0.1,0.1,0.0,0.0
v184,0.3,0.6,0.4,0.0,0.0,0.2,0.0
v185,0.6,0.2,0.4,,,0.2,
v186,1.0,0.0,0.1,1.0,0.3,0.0,0.0
v187,0.5,0.0,0.5,0.5,0.0,0.0,
v188,0.7,0.7,0.4,0.5,0.8,0.5,
v189,0.4,0.9,0.5,0.4,0.1,0.5,0.5
v190,0.6,0.8,0.9,0.3,0.3,0.7,
v191,1.0,0.0,0.0,0.5,0.4,0.0,0.0
v192,0.6,0.4,0.1,0.4,1.0,0.5,0.7
v193,1.0,0.2,0.2,0.7,0.5,0.0,0.0
v194,0.8,0.1,0.0,0.8,0.2,0.1,0.3
v195,0.7,0.2,0.0,0.2,0.5,0.0,
v196,0.6,0.6,0.2,0.5,0.6,0.0,
v197,0.3,0.8,1.0,0.1,0.1,0.8,0.5
v198,0.6,0.3,0.2,0.6,0.0,0.0,0.2
v199,0.8,0.3,,0.7,0.6,0.0,0.0
v200,0.3,0.7,0.5,0.5,0.5,0.5,0.5
v201,1.0,0.0,0.0,0.9,0.0,0.0,0.0
v202,0.6,0.5,0.6,0.6,0.3,0.5,1.0
v203,0.4,0.5,0.9,0.0,0.0,0.9,0.7
v204,0.4,0.8,0.7,0.0,0.3,0.5,1.0
v205,1.0,0.5,0.0,0.6,0.9,0.1,0.2
v206,0.4,0.7,0.6,0.3,0.3,0.6,0.3
v207,0.6,0.3,0.5,0.5,0.5,0.3,0.3
v208,1.0,0.8,0.1,0.5,0.7,0.0,0.0
v209,1.0,0.0,0.0,0.8,0.7,0.0,0.0
v210,0.8,0.0,0.0,0.7,0.3,0.0,0.2
v211,0.4,0.6,0.9,0.7,0.9,0.5,0.5
v212,0.9,0.6,0.6,0.8,0.6,0.6,0.6
v213,0.3,0.8,0.4,0.3,0.2,0.4,0.1
v214,0.0,0.8,0.8,0.0,0.0,0.5,0.0
v215,0.2,0.6,0.7,0.0,0.0,0.7,0.4
v216,0.6,0.8,0.9,0.0,0.0,0.8,0.0
v217,0.5,0.5,1.0,0.0,0.0,1.0,0.8
v218,0.4,0.3,0.3,0.3,0.2,0.3,0.1
v219,0.5,0.8,0.5,0.4,0.0,0.1,
v220,0.7,0.3,0.0,0.6,0.3,0.1,
v221,0.6,0.0,0.0,0.7,0.8,0.5,
v222,0.5,0.0,0.0,0.4,0.6,0.0,
v223,0.0,0.0,0.0,0.0,0.5,1.0,
v224,0.7,0.6,0.5,0.5,0.5,0.5,0.4
v225,0.8,0.5,0.0,0.7,0.4,,
v226,0.3,0.7,0.5,0.2,0.3,0.9,0.6
v227,0.5,0.5,0.2,0.2,0.2,0.2,0.2
v228,0.6,0.3,0.3,,,,
v229,0.5,0.5,,,,,
v230,0.9,0.5,0.5,0.5,0.6,,
v231,0.6,0.6,0.0,0.5,0.3,0.4,0.5
v232,0.9,0.0,0.2,0.9,0.1,0.0,0.3
v233,0.7,0.3,0.3,0.7,0.0,0.0,0.0
v234,0.7,0.0,0.0,0.5,0.6,0.0,0.2
v235,0.5,0.2,0.1,0.2,0.1,0.0,0.4
v236,0.0,1.0,0.0,0.0,0.0,0.3,0.0
v237,0.7,0.8,0.8,0.4,0.3,0.4,0.0
v238,0.9,0.0,0.6,0.8,0.1,0.0,0.0
v239,0.3,0.3,0.3,0.5,0.6,,
v240,0.6,0.2,0.0,0.7,0.3,0.1,0.0
v241,0.2,0.7,0.1,0.2,0.0,0.0,0.0
v242,0.7,0.4,,,,,
v243,0.0,1.0,0.0,0.0,0.0,1.0,0.5
v244,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v245,0.7,0.6,0.4,0.5,0.3,0.3,0.3
v246,0.7,0.0,0.0,0.9,0.3,0.0,0.1
v247,0.0,1.0,0.9,0.0,0.0,0.8,0.0
v248,0.3,0.8,0.6,0.1,0.5,0.5,0.0
v249,0.9,0.2,0.1,0.9,0.6,0.1,
v250,0.0,0.9,0.9,0.0,0.1,0.8,0.8
v251,0.7,0.7,0.7,0.3,0.3,0.7,0.7
v252,0.9,0.3,0.4,0.7,0.4,0.2,0.0
v253,0.6,0.7,0.9,0.3,0.2,0.4,
v254,0.1,0.7,0.8,0.0,0.2,0.6,0.1
v255,0.8,0.2,0.2,0.8,0.7,0.0,
v256,0.7,0.3,0.7,0.5,0.1,0.1,0.0
v257,1.0,0.0,0.0,1.0,0.5,0.0,0.0
v258,0.3,0.7,0.7,0.3,0.7,,
v259,0.7,0.4,0.2,0.5,0.5,0.1,0.2
v260,0.8,0.6,0.5,1.0,0.0,0.5,0.3
v261,0.3,0.7,0.7,0.1,0.0,0.6,0.7
v262,0.1,0.7,1.0,0.0,0.3,1.0,0.7
v263,0.1,0.8,1.0,0.0,0.3,0.8,
v264,0.9,0.1,0.0,0.0,0.0,0.0,0.0
v265,0.5,0.8,1.0,0.4,,,
v266,0.1,0.5,0.8,0.0,0.1,1.0,
v267,1.0,0.3,0.0,0.4,0.2,0.0,0.0
v268,0.7,0.6,0.6,0.7,0.6,0.6,
v269,0.8,0.0,0.0,0.7,1.0,0.0,0.5
v270,1.0,0.0,0.0,1.0,0.0,0.0,0.5
v271,0.8,0.6,0.0,0.8,0.7,0.1,0.4
v272,0.0,0.8,0.9,0.0,0.0,,0.5
v273,0.9,0.5,0.6,0.9,0.7,0.3,
v274,0.2,0.7,1.0,0.0,0.0,0.4,
v275,0.1,0.5,0.8,0.0,0.0,0.4,0.8
v276,0.6,0.5,0.1,0.7,0.6,0.0,
v277,0.3,0.5,,,1.0,,
v278,0.5,0.6,0.4,0.3,0.3,0.4,0.4
v279,0.1,1.0,0.9,0.0,0.0,0.8,0.0
v280,0.7,0.4,0.4,0.5,0.4,0.4,0.2
v281,0.5,1.0,0.9,0.9,1.0,,
v282,0.0,0.2,1.0,0.0,0.0,1.0,0.0
v283,0.0,0.9,0.6,0.0,0.0,0.6,0.3
v284,0.5,0.3,0.1,0.4,0.4,0.1,0.0
v285,0.8,0.0,0.0,0.6,0.6,0.0,0.0
v286,0.5,0.5,0.1,0.2,0.2,0.3,
v287,0.1,0.8,0.9,0.0,0.2,0.5,0.4
v288,0.5,0.1,0.3,0.2,,,
v289,0.1,0.5,0.4,0.2,0.0,0.0,0.0
v290,0.5,0.5,0.5,,0.5,0.4,
v291,0.8,0.4,0.2,0.5,0.2,,
v292,0.7,0.6,0.3,0.6,0.4,0.1,
v293,0.5,0.3,0.4,0.3,0.1,0.0,0.1
v294,0.9,0.9,0.7,0.2,0.0,,
v295,0.1,0.5,0.5,0.3,0.1,,0.5
v296,0.1,0.9,0.9,0.2,0.5,0.5,0.2
v297,0.0,0.5,1.0,0.0,0.0,0.9,1.0
v298,0.1,0.7,0.7,0.0,0.0,,0.4
v299,1.0,0.3,0.6,0.8,0.4,,
v300,0.1,0.8,0.5,0.0,0.0,0.2,0.1
v301,0.7,0.9,0.8,0.3,0.2,0.8,
v302,0.2,0.6,0.9,0.1,0.2,0.4,0.9
v303,0.5,0.4,0.4,0.7,0.5,1.0,0.6
v304,0.2,0.6,0.9,0.0,0.0,0.8,0.5
v305,0.5,0.8,0.6,0.2,0.0,0.4,0.1
v306,0.5,0.4,0.6,0.5,0.4,0.5,
v307,0.5,0.5,0.1,0.1,0.1,0.1,0.1
v308,0.8,0.6,0.2,0.4,0.2,0.0,0.0
v309,0.9,0.6,0.4,0.6,0.4,0.1,0.1
v310,0.5,0.5,0.4,0.4,0.4,0.1,
v311,0.4,0.9,0.6,0.0,0.6,0.0,0.0
v312,0.6,0.5,0.7,0.7,0.6,0.7,1.0
v313,0.7,0.2,0.1,0.4,0.4,,
v314,0.3,0.8,0.9,0.0,0.3,0.6,0.6
v315,0.5,0.5,0.9,0.5,0.3,,
v316,0.7,0.7,0.5,0.6,0.3,,
v317,0.8,0.0,0.0,0.9,0.9,0.0,
v318,0.7,0.6,0.4,0.4,0.4,0.3,0.4
v319,0.0,0.6,0.8,0.0,0.0,0.0,0.0
v320,1.0,0.3,0.0,0.3,0.2,,
v321,0.5,0.4,0.5,0.5,0.5,0.4,0.5
v322,0.8,1.0,0.5,0.9,0.8,0.6,0.6
v323,0.6,0.7,0.4,0.6,0.0,0.2,0.2
v324,0.0,0.0,0.0,0.8,0.7,0.0,
v325,0.7,0.5,0.0,0.6,0.0,0.5,
v326,0.3,0.3,0.7,0.5,0.5,0.7,0.8
v327,0.0,0.9,1.0,0.0,0.0,1.0,0.0
v328,0.4,0.5,0.2,0.2,0.2,,
v329,0.7,0.5,0.5,0.5,0.0,,
v330,0.7,0.3,0.2,0.7,0.8,0.6,0.8
v331,1.0,0.0,0.0,0.7,0.3,0.0,0.7
v332,0.6,0.3,0.5,0.1,0.0,0.1,0.1
v333,0.0,0.6,0.8,0.0,0.0,1.0,0.0
v334,0.9,0.0,0.0,0.7,0.0,0.0,
v335,1.0,0.2,0.0,0.8,0.5,0.0,0.0
v336,0.5,0.5,0.3,0.4,0.1,0.1,0.0
v337,0.5,0.7,0.5,0.4,0.4,0.2,0.8
v338,0.6,0.6,0.4,0.2,0.2,0.4,0.1
v339,1.0,0.0,0.0,1.0,0.0,0.0,0.0
v340,0.4,0.8,0.8,0.0,0.1,0.6,0.6
v341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v342,0.9,0.3,0.2,0.5,0.7,0.1,0.1
v343,1.0,0.1,0.0,1.0,0.2,0.0,0.0
v344,0.7,0.9,0.9,0.5,0.0,0.7,
v345,0.3,0.4,0.4,0.0,0.0,0.7,1.0
v346,0.3,0.4,0.6,,0.4,,
v347,0.2,0.7,0.7,0.1,0.2,0.6,
v348,0.5,0.8,0.8,0.4,0.3,0.5,0.6
v349,0.6,0.2,0.0,0.7,0.5,0.0,0.0
v350,0.3,0.8,0.5,0.1,0.3,,
v351,1.0,0.0,0.5,1.0,0.0,0.3,0.5
v352,0.4,0.9,0.8,0.2,,,
v353,0.5,0.5,0.1,0.0,0.1,0.0,0.0
v354,0.9,0.3,0.6,0.7,0.7,0.4,
v355,0.9,0.1,0.5,0.6,0.1,0.3,0.5
v356,1.0,0.3,0.4,0.7,,,
v357,0.4,0.0,0.1,0.0,0.3,0.0,0.0
v358,1.0,0.0,,,,,
v359,0.0,0.6,0.9,0.0,0.1,0.5,0.5
v360,0.9,0.3,0.2,0.9,0.3,0.3,0.0
v361,0.8,0.6,0.4,0.5,0.3,0.1,0.1
v362,0.8,0.3,0.3,0.8,0.7,0.4,0.5
v363,1.0,0.0,0.3,0.7,0.7,0.0,0.0
v364,0.6,0.5,0.5,0.5,0.5,0.5,0.5
v365,0.4,0.9,0.7,0.1,0.0,0.5,
v366,0.5,0.9,0.5,0.5,0.6,0.6,
v367,0.7,0.5,0.4,0.9,0.5,0.3,
v368,0.4,0.6,0.8,0.1,0.3,0.6,0.6
v369,0.7,0.3,0.3,0.5,0.1,,
v370,0.3,0.3,0.3,0.3,0.8,0.3,0.3
v371,0.0,1.0,1.0,0.0,0.5,0.5,0.5
v372,0.1,0.8,0.6,0.0,0.1,0.2,0.0
v373,0.7,0.1,0.4,0.5,0.3,0.2,
v374,0.7,0.5,0.4,0.5,0.5,0.3,0.1
v375,0.7,0.0,0.0,1.0,0.7,0.0,0.6
v376,0.0,1.0,1.0,0.0,0.0,1.0,
v377,0.6,0.3,0.0,0.0,0.0,0.1,0.0
v378,0.6,0.4,0.7,0.6,0.3,0.2,0.1
v379,0.0,1.0,1.0,0.0,0.0,1.0,
v380,0.5,1.0,0.7,0.0,0.5,0.8,
v381,1.0,0.6,0.6,0.8,0.7,0.5,0.5
v382,0.5,0.8,0.8,0.0,0.8,0.8,0.7
v383,1.0,0.8,0.5,0.8,0.6,0.5,0.0
v384,0.8,0.0,0.0,0.6,0.0,0.0,0.0
v385,0.5,0.9,0.9,0.5,0.9,0.3,0.2
v386,0.4,0.8,0.7,0.0,0.5,0.4,
v387,0.3,1.0,1.0,0.0,1.0,0.0,
v388,0.1,0.7,0.8,0.0,0.2,0.5,1.0
v389,0.2,0.7,0.2,0.0,0.3,0.0,
v390,0.0,0.7,1.0,0.0,0.0,0.7,0.7
v391,0.7,0.1,0.1,0.4,0.5,0.0,0.0
v392,0.8,0.2,0.0,0.5,0.6,0.0,0.0
v393,0.6,0.6,0.8,0.0,0.2,0.6,0.5
v394,,0.0,0.0,0.6,0.2,0.0,0.0
v395,0.2,0.6,0.9,0.1,0.1,0.7,0.7
v396,0.7,0.2,0.1,0.7,0.7,0.0,0.1
v397,1.0,0.5,0.0,1.0,0.1,0.1,0.4
v398,0.2,0.6,0.2,0.2,0.2,,
v399,0.2,0.9,1.0,0.0,0.0,0.7,0.8
v400,0.5,0.5,0.5,0.5,0.5,0.5,
v401,0.2,0.2,0.1,0.1,0.0,0.0,0.0
v402,1.0,0.0,0.4,0.8,0.5,0.5,
v403,0.2,1.0,0.7,0.0,0.0,0.5,0.5
v404,0.0,0.8,0.8,0.0,0.0,0.0,0.0
v405,0.5,0.5,0.5,0.5,0.5,,
v406,0.7,0.5,0.0,0.5,0.3,0.0,0.0
v407,0.1,0.6,0.6,0.1,0.1,0.5,0.7
v408,0.4,1.0,1.0,0.0,0.2,0.8,0.8
v409,0.5,0.5,0.1,0.5,0.5,0.5,0.1
v410,0.4,0.4,0.4,0.4,0.4,,
v411,0.7,0.2,0.2,0.5,0.5,0.1,0.1
v412,0.5,0.6,0.5,0.5,0.5,0.1,0.1
v413,0.0,0.9,0.9,0.0,0.1,0.6,
v414,0.4,0.1,0.1,0.1,0.4,0.0,0.5
v415,0.5,0.5,0.1,0.5,0.5,,
v416,0.3,0.8,0.8,0.1,0.3,0.6,0.7
v417,0.1,0.7,0.9,0.0,0.0,0.8,0.3
v418,0.7,0.5,0.4,0.5,0.4,0.4,
v419,0.5,0.5,0.7,0.2,0.2,0.3,0.0
v420,0.5,0.5,0.5,0.3,0.2,0.5,0.5
v421,0.0,0.0,0.0,0.0,0.0,0.2,0.2
v422,0.7,0.6,0.3,0.7,0.6,,
v423,0.0,0.9,0.6,0.0,0.3,1.0,
v424,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v425,1.0,0.0,0.5,0.6,0.6,,
v426,0.0,0.6,1.0,0.0,0.0,1.0,
v427,0.6,0.6,0.8,0.4,0.1,0.7,0.5
v428,0.4,0.5,0.6,0.5,0.3,0.6,
v429,0.4,0.7,0.8,0.3,0.3,0.7,
v430,0.0,1.0,0.5,0.2,0.3,0.5,0.0
v431,0.8,0.5,0.5,0.7,0.6,0.3,
v432,0.1,0.8,0.8,0.0,0.0,,1.0
v433,0.8,0.3,0.3,0.7,0.6,0.2,
v434,0.3,0.5,0.6,0.1,0.0,0.3,
v435,0.0,0.6,0.8,0.0,0.0,0.7,0.7
v436,0.0,1.0,0.8,0.0,0.1,0.4,
v437,0.3,0.7,0.8,0.1,0.4,0.5,0.7
v438,1.0,0.0,0.0,,,0.0,0.0
v439,0.2,0.8,0.8,0.0,0.0,,0.0
v440,0.1,1.0,0.8,0.0,0.0,0.5,0.0
v441,0.7,0.3,0.4,0.5,0.3,0.2,0.2
v442,0.2,0.7,0.7,0.0,0.0,0.6,0.4
v443,0.9,0.3,0.0,0.9,0.0,0.0,0.3
v444,0.3,0.6,0.3,0.1,0.4,0.1,0.0
v445,0.4,0.6,0.5,0.4,0.5,0.1,0.6
v446,1.0,0.0,0.0,1.0,0.7,0.0,0.0
v447,0.7,0.2,0.1,0.8,0.3,0.2,0.7
v448,0.3,0.7,1.0,0.1,0.1,0.9,0.6
v449,0.5,0.5,0.4,0.7,0.4,0.3,0.3
v450,0.7,0.4,0.0,0.3,0.3,0.0,0.0
v451,0.4,0.4,0.1,0.4,0.4,0.1,0.1
v452,0.5,0.6,0.8,0.3,0.3,0.6,
v453,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v454,0.0,1.0,0.4,0.6,0.9,0.0,0.0
v455,,0.7,,,0.7,,
v456,0.5,0.6,0.5,0.5,,,
v457,0.5,0.8,0.6,,,,
v458,0.2,0.8,0.6,0.1,0.1,0.2,
v459,0.7,0.3,0.3,0.5,1.0,0.3,0.7
v460,0.2,0.5,0.9,0.1,0.2,,0.3
v461,0.6,0.3,0.2,0.8,0.5,0.2,0.6
v462,0.2,0.6,0.5,0.5,0.5,0.5,0.5
v463,0.3,0.8,0.8,0.0,0.3,0.8,
v464,1.0,0.5,0.3,0.3,0.7,0.0,
v465,0.6,0.6,0.0,0.5,0.7,0.1,0.5
v466,0.7,0.6,0.3,0.4,0.2,0.1,0.1
v467,0.7,0.3,0.1,0.7,0.1,0.6,0.1
v468,0.8,0.4,0.2,0.6,0.6,0.0,0.4
v469,0.8,0.8,0.7,0.9,,,
v470,0.6,0.0,0.0,0.7,0.8,0.0,0.5
v471,0.3,0.9,0.9,0.0,,0.7,
v472,0.1,0.5,0.5,0.0,0.0,0.6,0.0
v473,1.0,0.0,0.0,0.9,0.1,0.0,
v474,0.5,0.0,0.0,0.6,0.7,0.0,0.5
v475,0.4,0.1,0.1,0.4,0.2,0.0,0.0
v476,0.6,0.7,0.5,0.4,0.3,0.4,
v477,0.6,0.3,0.5,0.5,0.0,0.0,0.0
v478,0.4,0.7,0.7,0.5,0.7,0.3,0.5
v479,0.0,0.8,0.8,0.0,0.0,0.8,0.8
v480,0.8,0.7,0.5,0.8,0.0,0.4,0.7
