,A,B
v146,0.1,0.7
v147,0.8,0.2
v148,0.5,0.5
v149,0.5,0.5
v150,0.0,0.8
v151,0.7,0.4
v152,0.4,0.6
v153,0.6,0.5
v154,0.7,0.2
v155,0.7,0.3
v156,0.9,0.0
v157,0.5,0.5
v158,0.8,0.1
v159,0.6,0.2
v160,0.0,1.0
v161,0.1,0.7
v162,1.0,0.1
v163,0.2,0.1
v164,0.7,0.3
v165,0.3,0.1
v166,0.7,0.0
v167,0.1,1.0
v168,0.0,0.8
v169,0.1,0.9
v170,0.4,0.8
v171,0.7,0.7
v172,0.3,0.8
v173,0.5,0.5
v174,0.7,0.1
v175,0.1,0.8
v176,1.0,0.0
v177,0.3,0.6
v178,0.5,0.5
v179,0.8,0.6
v180,0.3,0.1
v181,0.3,0.7
v182,0.4,0.7
v183,0.0,0.8
v184,0.8,0.3
v185,0.8,0.4
v186,0.6,0.4
v187,0.8,0.0
v188,0.9,0.1
v189,0.2,0.7
v190,0.7,0.3
v191,0.5,0.7
v192,1.0,0.0
v193,0.9,0.0
v194,0.7,0.0
v195,0.1,1.0
v196,0.8,0.1
v197,0.0,1.0
v198,1.0,0.5
v199,0.0,0.6
v200,0.0,0.6
v201,0.8,0.0
v202,0.0,1.0
v203,0.7,0.5
v204,0.2,0.1
v205,0.2,1.0
v206,0.4,0.7
v207,0.8,0.2
v208,0.0,0.8
v209,0.3,0.8
v210,1.0,0.1
v211,0.9,0.1
v212,0.1,0.8
v213,0.4,0.4
v214,1.0,0.0
v215,0.4,0.7
v216,0.0,0.5
v217,0.0,0.8
v218,1.0,0.0
v219,0.0,0.0
v220,0.8,0.0
v221,0.7,0.7
v222,0.1,0.8
v223,1.0,0.0
v224,0.2,0.9
v225,0.7,0.2
v226,1.0,0.0
v227,0.0,0.9
v228,0.7,0.4
v229,0.3,0.1
v230,1.0,1.0
v231,0.1,1.0
v232,0.7,0.8
v233,0.8,0.2
v234,0.1,0.6
v235,0.3,0.8
v236,0.9,0.1
v237,0.7,0.6
v238,0.0,0.9
v239,0.0,1.0
v240,0.1,0.8
v241,0.1,0.9
v242,0.0,0.7
v243,0.0,0.7
v244,0.9,0.0
v245,0.8,0.3
v246,0.8,0.2
v247,0.8,0.2
v248,0.2,0.8
v249,0.0,0.0
v250,0.0,0.5
v251,0.8,0.0
v252,0.2,0.7
v253,0.8,0.3
v254,0.8,0.0
v255,1.0,0.2
v256,0.1,0.6
v257,0.2,0.8
v258,0.7,0.4
v259,0.2,1.0
v260,0.2,0.7
v261,0.2,0.7
v262,0.8,0.0
v263,0.0,1.0
v264,0.5,0.5
v265,1.0,0.0
v266,0.5,0.6
v267,0.3,0.8
v268,0.0,0.0
v269,0.3,0.7
v270,0.7,0.6
v271,1.0,0.0
v272,0.8,0.0
v273,0.9,0.4
v274,0.1,0.8
v275,0.7,0.3
v276,0.0,0.6
v277,0.7,0.4
v278,0.5,0.6
v279,0.8,0.0
v280,0.4,0.8
v281,0.7,0.3
v282,0.1,0.9
v283,0.0,1.0
v284,0.5,0.5
v285,0.0,0.8
v286,0.5,0.5
v287,0.7,0.3
v288,0.6,0.4
v289,0.5,0.8
v290,1.0,0.0
v291,0.5,0.5
v292,0.0,0.0
v293,0.2,0.9
v294,0.0,0.7
v295,1.0,0.4
v296,0.9,0.0
v297,0.2,0.0
v298,0.2,0.7
v299,0.0,1.0
v300,0.1,0.7
v301,0.3,0.7
v302,0.8,0.1
v303,0.0,0.5
v304,0.0,1.0
v305,1.0,0.0
v306,0.8,0.6
v307,0.7,0.5
v308,0.1,0.1
v309,0.8,0.4
v310,0.4,0.8
v311,0.2,0.8
v312,0.5,0.5
v313,0.0,0.4
v314,0.3,0.9
v315,0.4,0.0
v316,0.0,0.2
v317,0.5,0.5
v318,0.0,0.8
v319,0.1,0.9
v320,0.5,0.5
v321,1.0,0.0
v322,0.1,0.6
v323,0.8,0.0
v324,0.4,0.6
v325,0.5,0.5
v326,0.8,0.0
v327,0.2,0.2
v328,0.7,0.7
v329,0.6,0.1
v330,0.9,0.2
v331,0.9,0.1
v332,1.0,1.0
v333,0.3,0.8
v334,0.4,0.9
v335,0.4,0.7
v336,0.3,0.2
v337,0.6,0.8
v338,0.3,0.6
v339,0.3,0.5
v340,0.5,0.5
v341,0.1,0.7
v342,1.0,0.0
v343,0.2,0.0
v344,0.0,0.9
v345,0.0,0.4
v346,1.0,0.0
v347,0.8,0.2
v348,0.0,0.0
v349,0.5,0.8
v350,1.0,0.0
v351,1.0,0.0
v352,0.1,0.8
v353,0.0,0.0
v354,1.0,0.0
v355,1.0,0.2
v356,0.3,1.0
v357,1.0,0.2
v358,0.0,1.0
v359,0.8,0.2
v360,0.4,0.7
v361,0.1,0.8
v362,0.3,0.8
v363,0.4,0.5
v364,0.0,1.0
v365,1.0,0.0
v366,0.9,0.0
v367,0.6,0.3
v368,1.0,0.0
v369,0.1,1.0
v370,0.0,0.4
v371,1.0,0.0
v372,0.7,0.1
v373,0.8,0.0
v374,0.4,0.8
v375,0.0,1.0
v376,0.8,0.0
v377,0.0,
v378,0.9,0.1
v379,0.9,0.0
v380,1.0,0.0
v381,0.8,0.1
v382,0.8,0.3
v383,0.8,0.2
v384,0.0,1.0
v385,0.0,1.0
v386,0.3,0.8
v387,0.8,1.0
v388,0.2,0.6
v389,0.8,0.5
v390,0.4,0.4
v391,0.0,0.8
v392,1.0,0.3
v393,0.8,0.4
v394,0.1,0.1
v395,0.0,0.8
v396,0.9,0.1
v397,0.7,0.5
v398,0.1,0.8
v399,0.9,0.1
v400,0.8,0.2
v401,0.5,0.5
v402,0.8,0.5
v403,1.0,0.8
v404,0.3,0.8
v405,0.8,0.2
v406,0.8,0.1
v407,0.8,0.3
v408,1.0,0.0
v409,0.5,0.5
v410,1.0,0.0
v411,0.2,0.2
v412,0.7,0.3
v413,0.5,0.5
v414,0.8,0.3
v415,0.5,0.2
v416,0.1,0.8
v417,0.2,0.2
v418,0.9,0.8
v419,0.3,1.0
v420,0.4,0.0
v421,0.1,0.8
v422,0.0,0.7
v423,0.4,0.8
v424,0.0,1.0
v425,0.2,0.5
v426,0.0,0.0
v427,0.2,0.7
v428,1.0,0.0
v429,0.0,0.8
v430,0.8,0.4
v431,0.0,0.8
v432,1.0,0.0
v433,0.5,0.2
v434,0.7,0.0
v435,0.8,0.2
v436,0.3,0.7
v437,0.0,0.0
v438,0.0,0.5
v439,0.6,0.7
v440,0.9,0.2
v441,0.2,0.7
v442,1.0,1.0
v443,0.6,0.5
v444,0.2,0.8
v445,0.2,1.0
v446,0.0,0.9
v447,0.0,1.0
v448,0.5,0.5
v449,0.5,0.5
v450,0.0,0.9
v451,0.1,1.0
v452,0.5,1.0
v453,0.2,0.8
v454,1.0,0.7
v455,0.3,0.9
v456,0.5,0.1
v457,0.6,0.0
v458,0.8,0.1
v459,1.0,1.0
v460,0.5,0.8
v461,0.8,0.0
v462,0.4,0.7
v463,0.0,1.0
v464,0.2,0.6
v465,0.4,0.6
v466,0.2,0.8
v467,0.0,0.3
v468,0.8,0.2
v469,0.9,0.0
v470,0.2,0.1
v471,0.5,0.5
v472,0.0,1.0
v473,0.0,0.8
v474,0.9,0.0
v475,0.9,0.0
v476,0.5,0.7
v477,0.9,0.0
v478,0.4,0.4
v479,0.9,1.0
v480,0.9,0.2
v481,0.8,0.0
v482,0.0,0.5
v483,0.0,1.0
v484,0.0,1.0
v485,1.0,0.0
v486,0.1,0.7
v487,0.8,0.3
v488,0.0,0.3
v489,0.7,0.3
v490,1.0,0.0
v491,0.0,0.7
v492,0.1,0.7
v493,0.0,1.0
v494,0.8,0.0
v495,1.0,0.0
v496,0.0,1.0
v497,0.8,0.4
v498,0.3,0.7
v499,0.9,0.2
v500,0.0,0.1
v501,1.0,0.0
v502,0.8,0.1
v503,0.4,0.8
v504,0.0,0.5
v505,0.1,1.0
v506,1.0,0.0
v507,0.4,1.0
v508,0.2,0.4
v509,0.0,0.0
v510,0.1,0.6
v511,0.9,0.0
v512,0.9,0.2
v513,0.8,0.6
v514,0.0,0.9
v515,1.0,1.0
v516,0.7,0.0
v517,0.6,0.0
v518,0.3,0.9
v519,1.0,0.0
v520,0.3,0.6
v521,0.2,1.0
v522,0.3,0.8
v523,1.0,0.0
v524,0.7,0.1
v525,0.3,0.9
v526,0.4,0.4
v527,0.0,1.0
v528,0.2,0.8
v529,0.6,0.4
v530,0.6,0.6
v531,0.0,0.0
v532,0.9,0.0
v533,0.2,0.8
v534,0.8,0.0
v535,0.0,0.7
v536,0.5,0.5
v537,0.0,1.0
v538,0.0,1.0
v539,0.5,0.6
v540,0.8,0.3
v541,0.8,0.0
v542,0.1,0.7
v543,0.8,0.1
v544,0.9,0.3
v545,0.6,0.4
v546,0.5,0.8
v547,0.9,0.2
v548,0.9,0.0
v549,0.1,0.6
v550,0.9,0.1
v551,0.5,0.5
v552,0.9,0.1
v553,0.5,0.1
v554,0.9,0.0
v555,0.5,0.8
v556,0.1,0.7
v557,0.0,1.0
v558,0.5,0.5
v559,0.0,0.9
v560,0.1,0.8
v561,0.7,0.5
v562,0.4,0.7
v563,0.6,0.7
v564,0.0,0.9
v565,0.8,0.7
v566,0.0,1.0
v567,0.0,0.8
v568,0.4,0.5
v569,0.2,0.2
v570,0.5,0.7
v571,0.9,0.0
v572,0.0,0.9
v573,0.9,0.1
v574,1.0,0.0
v575,1.0,0.0
v576,0.7,0.0
v577,0.5,1.0
v578,0.3,1.0
v579,0.5,0.5
v580,0.0,1.0
v581,0.2,1.0
v582,0.3,0.0
v583,0.2,0.4
v584,0.8,0.8
v585,0.6,1.0
v586,0.1,1.0
v587,0.6,0.6
v588,0.6,0.5
v589,0.0,0.1
v590,0.8,0.3
v591,0.9,0.1
v592,0.0,0.8
v593,0.2,0.7
v594,1.0,0.0
v595,0.4,0.8
v596,0.7,0.0
v597,0.0,1.0
v598,0.0,1.0
v599,0.5,0.5
v600,0.2,0.8
v601,0.0,0.5
v602,0.1,0.7
v603,0.9,0.0
v604,1.0,0.0
v605,0.2,0.6
v606,0.3,0.7
v607,0.8,0.2
v608,0.0,0.8
v609,1.0,0.1
v610,0.0,0.0
v611,0.1,0.1
v612,0.0,1.0
v613,0.7,0.2
v614,0.3,0.8
v615,0.5,0.0
v616,0.7,0.3
v617,0.6,0.9
v618,0.4,0.8
v619,0.0,1.0
v620,0.1,0.2
v621,0.0,0.8
v622,0.8,0.0
v623,0.6,0.3
v624,1.0,0.0
v625,0.8,0.0
v626,1.0,0.0
v627,0.1,1.0
v628,0.1,0.8
v629,1.0,0.0
v630,0.5,0.5
v631,0.4,0.9
v632,0.2,0.9
v633,0.0,0.9
v634,0.8,0.5
v635,0.8,0.3
v636,0.8,0.2
v637,0.8,0.0
v638,0.7,0.0
v639,0.0,0.4
v640,0.5,0.3
v641,0.0,0.3
v642,0.0,0.5
v643,0.6,0.7
v644,0.0,0.7
v645,0.9,0.0
v646,0.0,0.7
v647,0.0,0.9
v648,0.1,0.3
v649,0.7,0.3
v650,0.5,0.0
v651,0.3,0.3
v652,0.1,0.5
v653,1.0,0.0
v654,0.1,0.7
v655,0.5,0.5
v656,0.8,0.4
v657,0.0,1.0
v658,0.9,0.0
v659,0.2,0.9
v660,0.3,0.5
v661,0.3,0.9
v662,0.5,0.5
v663,0.2,0.8
v664,0.2,0.7
v665,0.2,0.5
v666,0.7,0.3
v667,0.2,0.8
v668,0.9,0.0
v669,0.7,0.3
v670,0.8,0.0
v671,0.8,0.3
v672,0.5,0.5
v673,0.5,0.5
v674,0.5,0.5
v675,0.8,0.4
v676,0.5,0.7
v677,0.7,0.0
v678,0.3,1.0
v679,0.2,0.8
v680,0.7,0.4
v681,0.6,0.5
v682,0.0,1.0
v683,0.7,0.0
v684,0.0,1.0
v685,0.4,0.4
v686,1.0,0.8
v687,0.0,0.0
v688,0.0,1.0
v689,0.2,0.8
v690,0.1,0.5
v691,0.3,0.9
v692,0.7,0.5
v693,0.4,0.6
v694,0.5,0.6
v695,0.2,1.0
v696,0.1,0.8
v697,0.8,0.5
v698,1.0,1.0
v699,0.9,0.0
v700,0.5,0.5
v701,0.8,0.0
v702,0.3,0.3
v703,0.6,0.5
v704,1.0,0.0
v705,0.1,0.8
v706,0.2,0.1
v707,0.9,0.0
v708,0.4,0.9
v709,0.0,1.0
v710,0.3,0.3
v711,0.0,0.7
v712,0.7,0.1
v713,0.7,0.5
v714,1.0,0.0
v715,0.3,0.9
v716,0.2,0.8
v717,0.1,0.5
v718,0.5,1.0
v719,0.6,0.3
v720,0.0,0.8
v721,0.2,0.2
v722,0.5,0.7
v723,0.1,1.0
v724,0.7,0.5
v725,0.7,0.3
v726,0.3,0.8
v727,0.5,0.7
v728,0.0,0.5
v729,0.9,0.1
v730,0.0,0.2
v731,0.0,1.0
v732,0.0,0.7
v733,1.0,0.0
v734,0.0,1.0
v735,0.7,0.6
v736,1.0,0.0
v737,0.7,0.0
v738,0.0,1.0
v739,0.2,0.8
v740,0.2,0.3
v741,0.1,0.8
v742,0.0,0.9
v743,0.5,0.5
v744,0.4,0.5
v745,0.8,0.3
v746,0.7,0.2
v747,0.0,0.7
v748,0.8,0.3
v749,0.2,0.0
v750,1.0,0.0
v751,0.2,0.8
v752,0.0,1.0
v753,1.0,0.3
v754,0.0,0.8
v755,0.2,0.6
v756,0.6,0.2
v757,0.2,0.8
v758,0.7,0.0
v759,0.2,0.7
v760,0.7,0.7
v761,0.9,0.1
v762,0.1,0.9
v763,0.1,1.0
v764,0.5,0.0
v765,0.4,0.6
v766,0.0,0.6
v767,0.2,0.8
v768,0.3,0.4
v769,0.6,0.3
v770,0.8,0.4
v771,0.9,0.3
v772,0.2,0.8
v773,0.9,0.6
v774,0.9,0.1
v775,0.7,0.0
v776,0.5,0.5
v777,0.0,1.0
v778,0.9,0.0
v779,0.0,0.5
v780,0.0,0.5
v781,0.6,0.1
v782,0.5,0.5
v783,0.3,0.7
v784,0.5,0.3
v785,0.1,0.9
v786,1.0,0.0
v787,0.8,0.3
v788,0.0,0.7
v789,0.5,0.3
v790,0.3,1.0
v791,0.3,0.5
v792,0.8,0.3
v793,0.6,0.0
v794,0.6,0.4
v795,0.0,0.5
v796,0.6,0.0
v797,0.2,1.0
v798,0.0,0.8
v799,0.3,0.8
v800,0.2,0.1
v801,0.0,0.6
v802,0.5,0.5
v803,0.8,0.0
v804,0.2,0.6
v805,0.3,0.7
v806,0.1,0.5
v807,0.0,0.6
v808,0.0,1.0
v809,0.0,1.0
v810,1.0,0.0
v811,0.8,0.7
v812,0.5,0.5
v813,0.0,1.0
v814,1.0,0.3
v815,0.4,0.2
v816,0.4,1.0
v817,0.2,0.6
v818,0.7,0.8
v819,1.0,0.0
v820,0.8,0.2
v821,0.2,0.8
v822,0.5,0.8
v823,0.8,0.2
v824,0.9,0.0
v825,0.6,0.5
v826,0.7,0.0
v827,0.2,0.8
v828,0.8,0.3
v829,1.0,0.0
v830,0.0,0.7
v831,0.6,0.5
v832,0.0,1.0
v833,1.0,0.0
v834,1.0,0.5
v835,0.9,0.0
v836,0.0,1.0
v837,0.0,1.0
v838,0.6,0.0
v839,0.2,0.6
v840,1.0,0.0
v841,0.6,0.0
v842,0.8,0.1
v843,0.9,0.4
v844,0.1,0.9
v845,0.8,0.5
v846,0.8,0.5
v847,0.8,0.0
v848,0.9,0.3
v849,0.0,0.7
v850,0.9,0.0
v851,0.8,0.4
v852,0.0,0.8
v853,0.7,0.0
v854,0.4,0.4
v855,0.6,0.7
v856,1.0,0.0
v857,0.6,0.3
v858,0.5,0.5
v859,0.1,0.7
v860,1.0,0.2
v861,1.0,0.0
v862,0.1,0.8
v863,0.6,0.0
v864,0.3,0.8
v865,0.7,0.4
v866,0.0,1.0
v867,0.3,1.0
v868,0.4,0.9
v869,0.9,0.0
v870,0.6,0.0
v871,0.4,0.7
v872,0.1,0.7
v873,0.5,0.6
v874,0.1,0.7
v875,0.3,0.8
v876,0.0,1.0
v877,0.8,0.0
v878,1.0,0.0
v879,1.0,0.0
v880,0.0,1.0
v881,0.6,0.4
v882,0.0,0.7
v883,0.1,0.7
v884,0.0,0.7
v885,0.1,0.9
v886,0.0,0.8
v887,0.0,0.9
v888,0.6,0.7
v889,0.0,0.5
v890,1.0,0.5
v891,0.8,0.2
v892,0.8,0.2
v893,0.7,0.2
v894,1.0,0.0
v895,0.6,0.6
v896,0.6,0.3
v897,1.0,0.0
v898,0.0,0.9
v899,1.0,0.0
v900,0.9,0.0
v901,0.3,0.9
v902,0.7,0.0
v903,0.5,0.2
v904,0.7,0.2
v905,0.0,1.0
v906,0.5,0.5
v907,1.0,0.6
v908,0.0,0.8
v909,0.2,0.8
v910,0.6,0.0
v911,0.5,1.0
v912,0.3,0.8
v913,1.0,0.2
v914,0.4,0.7
v915,0.9,0.4
v916,0.1,1.0
v917,0.7,0.7
v918,0.1,0.6
v919,0.2,0.7
v920,0.1,0.9
v921,0.0,1.0
v922,0.4,1.0
v923,0.4,0.6
v924,0.2,0.8
v925,0.0,0.8
v926,0.7,0.5
v927,0.8,0.6
v928,0.4,0.2
v929,0.5,0.6
v930,0.2,0.9
v931,0.5,0.5
v932,0.7,0.3
v933,0.0,1.0
v934,0.6,0.3
v935,1.0,1.0
v936,0.8,0.1
v937,0.6,0.0
v938,0.0,1.0
v939,0.2,1.0
v940,0.7,0.4
v941,0.7,0.6
v942,0.7,0.6
v943,0.0,1.0
v944,0.0,0.9
v945,0.6,0.3
v946,0.6,0.5
v947,0.2,0.6
v948,0.0,1.0
v949,0.3,0.8
v950,0.2,0.9
v951,0.0,0.8
v952,0.5,0.5
v953,0.2,0.7
v954,0.2,0.8
v955,0.7,0.3
v956,0.7,0.5
v957,0.7,0.9
v958,0.4,0.5
v959,0.7,0.5
v960,0.7,0.3
v961,0.0,0.0
v962,0.4,0.7
v963,1.0,0.0
v964,0.7,0.3
v965,0.6,0.3
v966,0.3,1.0
v967,0.8,0.0
v968,0.9,0.7
v969,0.0,0.9
v970,0.0,0.8
v971,0.9,0.2
v972,0.3,0.8
v973,0.0,1.0
v974,0.3,0.8
v975,0.1,0.8
v976,0.0,1.0
v977,0.4,0.8
v978,0.7,0.2
v979,0.8,0.5
v980,0.8,0.3
v981,0.9,0.1
v982,0.8,0.1
v983,0.5,0.5
v984,0.9,0.5
v985,0.1,0.1
v986,0.8,0.2
v987,0.0,0.0
v988,0.0,1.0
v989,0.3,0.6
v990,0.4,1.0
v991,0.9,0.0
v992,0.6,0.3
v993,0.9,0.1
v994,0.7,0.4
v995,0.5,0.5
v996,1.0,0.0
v997,1.0,0.0
v998,0.2,0.1
v999,0.3,0.7
v1000,0.0,0.6
v1001,0.7,0.0
v1002,0.8,0.2
v1003,0.9,0.4
v1004,0.6,0.2
v1005,0.2,0.3
v1006,0.6,0.8
v1007,0.6,0.4
v1008,0.2,0.8
v1009,0.8,0.3
v1010,0.9,0.0
v1011,0.5,0.0
v1012,0.0,0.0
v1013,0.0,0.2
v1014,0.5,0.1
v1015,0.0,0.9
v1016,0.2,0.7
v1017,0.2,0.8
v1018,0.0,0.8
v1019,0.8,0.0
v1020,0.8,0.1
v1021,0.6,0.6
v1022,0.1,0.6
v1023,0.1,0.5
v1024,0.2,0.6
v1025,0.9,0.3
v1026,0.3,0.8
v1027,0.7,0.1
v1028,0.8,0.3
v1029,0.0,0.8
v1030,0.5,0.5
v1031,0.5,0.4
v1032,0.8,0.3
v1033,0.1,1.0
v1034,0.6,0.7
v1035,0.8,0.0
v1036,0.5,0.5
v1037,0.6,0.6
v1038,0.1,0.8
v1039,0.5,0.6
v1040,0.2,0.8
v1041,0.6,0.8
v1042,0.2,0.8
v1043,0.5,0.3
v1044,0.6,0.0
v1045,0.0,0.9
v1046,0.2,0.6
v1047,0.3,0.7
v1048,0.0,0.8
v1049,0.6,0.2
v1050,0.5,0.6
v1051,0.0,0.0
v1052,0.0,0.3
v1053,0.2,0.6
v1054,0.0,1.0
v1055,1.0,0.0
v1056,0.2,0.7
v1057,0.5,0.5
v1058,0.5,0.5
v1059,0.9,0.1
v1060,0.5,0.5
v1061,0.1,0.8
v1062,0.5,0.5
v1063,0.4,0.6
v1064,0.4,0.8
v1065,0.7,0.9
v1066,0.9,0.0
v1067,0.2,1.0
v1068,0.1,0.7
v1069,0.0,0.4
v1070,0.0,0.7
v1071,0.0,0.9
v1072,0.4,0.4
v1073,0.9,0.6
v1074,0.5,1.0
v1075,0.3,0.5
v1076,0.5,0.0
v1077,1.0,0.0
v1078,0.1,0.7
v1079,0.5,0.3
v1080,0.6,0.2
v1081,0.0,0.8
v1082,1.0,0.0
v1083,0.2,0.7
v1084,0.5,0.5
v1085,1.0,0.1
v1086,0.8,0.2
v1087,0.3,0.4
v1088,0.8,0.0
v1089,0.0,1.0
v1090,0.7,1.0
v1091,0.4,0.6
v1092,0.6,0.1
v1093,0.8,0.1
v1094,0.7,0.2
v1095,0.1,0.5
v1096,0.0,0.9
v1097,0.1,0.6
v1098,0.1,0.8
v1099,0.7,0.5
v1100,0.3,0.7
v1101,0.8,0.2
v1102,0.4,0.9
v1103,0.0,1.0
v1104,0.0,0.9
v1105,0.8,0.2
v1106,0.0,0.8
v1107,0.4,0.8
v1108,0.8,0.3
v1109,0.8,0.1
v1110,0.0,0.8
v1111,0.5,1.0
v1112,0.8,0.0
v1113,1.0,0.0
v1114,1.0,0.1
v1115,0.9,0.1
v1116,0.6,0.0
v1117,0.8,0.3
v1118,0.4,0.7
v1119,0.8,0.0
v1120,0.8,0.3
v1121,0.3,0.8
v1122,0.9,0.1
v1123,0.4,0.3
v1124,0.0,0.8
v1125,0.8,0.2
v1126,0.0,0.6
v1127,0.0,0.9
v1128,0.0,1.0
v1129,0.5,0.5
v1130,0.8,0.0
v1131,0.0,1.0
v1132,0.9,0.2
v1133,0.3,0.3
v1134,0.2,0.7
v1135,0.0,0.9
v1136,0.8,0.3
v1137,0.5,0.5
v1138,0.7,0.7
v1139,0.7,0.2
v1140,0.5,0.5
v1141,0.8,0.3
v1142,0.5,0.5
v1143,0.0,0.7
v1144,1.0,0.0
v1145,0.7,0.4
v1146,0.2,1.0
v1147,0.6,0.6
v1148,0.2,0.8
v1149,0.8,0.4
v1150,0.1,0.9
v1151,0.2,0.8
v1152,0.7,0.0
v1153,0.3,0.6
v1154,0.5,0.5
v1155,0.0,0.0
v1156,0.0,0.8
v1157,0.0,0.8
v1158,0.7,0.5
v1159,0.4,0.7
v1160,1.0,0.0
v1161,0.3,0.8
v1162,0.7,0.3
v1163,0.2,0.8
v1164,0.2,0.5
v1165,0.0,0.7
v1166,0.7,0.2
v1167,0.0,1.0
v1168,0.0,0.8
v1169,0.2,0.9
v1170,1.0,0.0
v1171,0.8,0.0
v1172,0.9,0.1
v1173,0.7,0.0
v1174,0.2,0.9
v1175,0.1,0.6
v1176,0.4,0.9
v1177,0.1,0.7
v1178,0.1,0.8
v1179,0.9,
v1180,0.1,0.2
v1181,0.3,0.5
v1182,0.5,0.9
v1183,0.8,0.0
v1184,0.0,0.6
v1185,0.7,0.0
v1186,0.8,0.0
v1187,0.8,0.2
v1188,0.8,0.6
v1189,0.9,0.7
v1190,0.0,0.0
v1191,0.0,0.8
v1192,1.0,0.7
v1193,0.0,1.0
v1194,0.0,0.7
v1195,1.0,1.0
v1196,1.0,0.0
v1197,0.5,0.8
v1198,0.9,0.2
v1199,0.0,0.9
v1200,1.0,0.0
v1201,0.0,0.9
v1202,0.0,0.8
v1203,0.2,0.8
v1204,0.1,0.7
v1205,0.7,0.3
v1206,0.5,0.5
v1207,1.0,0.2
v1208,1.0,1.0
v1209,1.0,0.1
v1210,0.7,0.4
v1211,0.5,0.0
v1212,0.7,0.1
v1213,0.0,1.0
v1214,0.8,0.2
v1215,0.8,0.7
v1216,0.0,0.5
v1217,0.8,0.2
v1218,1.0,0.6
v1219,0.7,0.6
v1220,0.0,1.0
v1221,0.1,0.7
v1222,0.2,0.8
v1223,0.2,0.4
v1224,0.5,0.5
v1225,1.0,0.0
v1226,0.2,0.9
v1227,1.0,0.0
v1228,0.0,1.0
v1229,0.2,0.9
v1230,0.9,0.1
v1231,0.5,0.8
v1232,0.5,0.5
v1233,0.0,0.6
v1234,0.5,0.0
v1235,0.0,0.7
v1236,0.5,0.5
v1237,0.4,0.1
v1238,0.0,0.7
v1239,1.0,0.3
v1240,0.8,0.2
v1241,0.0,0.9
v1242,0.0,0.6
v1243,0.6,0.5
v1244,0.2,0.8
v1245,0.2,0.8
v1246,0.9,0.1
v1247,0.4,0.8
v1248,0.8,0.1
v1249,0.3,1.0
