"","cand_A","cand_B","cand_C","cand_D"
"57221",3,9,7,7
"57222",8,0,0,0
"57223",3,7,4,4
"57224",5,5,10,5
"57225",7,4,5,6
"57226",7,4,1,1
"57227",4,7,3,1
"57228",10,0,0,0
"57229",5,0,0,8
"57230",4,5,6,0
"57231",3,9,7,6
"57232",10,3,1,0
"57233",4,9,6,3
"57234",5,5,3,1
"57235",8,7,0,5
"57236",5,5,5,5
"57237",8,8,0,0
"57238",1,7,5,5
"57239",5,6,3,1
"57240",0,10,8,6
"57241",8,0,0,0
"57242",0,8,3,5
"57243",0,0,0,0
"57244",1,8,7,5
"57245",9,4,4,0
"57246",10,8,8,0
"57248",10,0,0,5
"57249",8,5,1,1
"57250",0,10,7,6
"57251",0,10,10,0
"57252",7,10,7,7
"57254",10,0,0,0
"57255",10,0,0,0
"57256",10,0,0,0
"57257",0,10,3,6
"57258",10,0,0,0
"57259",7,0,0,0
"57260",7,5,7,3
"57261",7,0,0,0
"57262",6,2,1,1
"57263",6,8,7,2
"57264",0,0,0,0
"57265",10,0,0,0
"57266",3,3,6,1
"57267",5,5,8,3
"57268",9,0,10,5
"57269",0,10,8,9
"57270",5,8,0,0
"57271",5,4,4,2
"57272",5,5,5,5
"57273",0,2,2,2
"57274",0,4,8,3
"57275",10,0,0,0
"57276",3,10,10,8
"57277",9,5,5,5
"57278",8,0,0,0
"57279",4,6,8,4
"57280",10,3,3,0
"57281",4,3,3,1
"57282",5,4,4,0
"57283",0,8,4,6
"57284",8,3,4,2
"57285",3,5,5,5
"57286",4,10,7,8
"57287",10,0,0,0
"57288",7,7,5,3
"57289",6,6,6,0
"57291",0,8,6,7
"57292",7,0,3,0
"57293",8,0,0,0
"57294",10,0,0,0
"57295",2,8,5,4
"57296",1,8,5,5
"57297",5,6,7,6
"57298",2,10,9,5
"57299",8,3,0,0
"57300",1,9,7,9
"57301",0,7,7,7
"57302",0,10,0,8
"57303",6,8,9,4
"57304",3,10,4,5
"57305",8,6,6,3
"57306",2,2,7,8
"57307",5,9,3,9
"57308",0,7,7,2
"57309",10,0,0,0
"57310",8,2,4,0
"57311",10,2,0,3
"57312",7,5,3,8
"57313",0,10,0,0
"57314",3,3,3,3
"57315",8,7,3,5
"57316",4,5,5,6
"57317",0,9,5,5
"57318",10,0,3,0
"57319",4,8,10,6
"57320",8,3,2,1
"57321",10,0,0,0
"57322",5,5,4,0
"57323",7,5,7,3
"57324",9,6,5,5
"57325",3,5,5,2
"57326",0,8,10,4
"57327",10,8,4,0
"57328",5,5,5,5
"57329",5,7,8,3
"57330",1,9,6,7
"57331",0,10,10,10
"57332",4,6,5,0
"57333",0,10,5,8
"57334",10,0,0,0
"57335",8,0,0,0
"57336",7,4,2,1
"57337",0,10,10,10
"57338",10,0,0,0
"57339",3,10,8,7
"57340",3,10,10,5
"57341",3,5,4,0
"57342",8,1,2,0
"57343",5,5,3,3
"57344",3,8,6,4
"57345",5,3,3,7
"57346",0,8,8,10
"57347",0,10,6,0
"57348",9,8,2,2
"57349",5,8,5,3
"57350",7,7,7,7
"57351",0,10,3,10
"57352",4,7,3,6
"57353",10,0,0,0
"57354",9,6,1,1
"57355",10,0,0,0
"57356",10,1,1,0
"57357",8,5,3,0
"57359",6,4,0,2
"57360",0,10,0,0
"57361",5,3,5,0
"57362",0,8,0,5
"57363",7,7,0,0
"57364",10,5,5,0
"57365",3,5,4,0
"57366",0,8,5,2
"57367",6,4,10,8
"57368",5,0,0,0
"57369",10,0,0,0
"57370",5,5,0,0
"57371",6,9,7,1
"57372",10,0,2,0
"57373",0,6,0,0
"57374",0,10,7,0
"57375",6,8,4,5
"57376",0,7,7,3
"57377",3,4,3,4
"57378",8,4,2,0
"57379",5,0,0,0
"57380",0,10,8,8
"57381",8,3,3,0
"57382",8,10,10,5
"57383",8,4,3,1
"57384",5,8,4,6
"57385",0,10,5,5
"57386",10,6,4,1
"57387",5,3,3,0
"57388",0,9,6,9
"57389",7,2,5,0
"57390",9,2,0,0
"57392",3,5,1,1
"57393",8,0,0,0
"57394",10,0,0,0
"57395",6,0,0,0
"57396",7,0,0,0
"57397",8,2,3,0
"57398",0,10,5,9
"57399",7,4,6,1
"57400",3,8,8,7
"57401",0,10,5,4
"57402",0,7,7,7
"57403",3,5,8,3
"57404",9,4,5,1
"57405",5,8,5,5
"57406",9,10,5,5
"57407",8,10,9,3
"57408",0,5,5,5
"57409",0,7,0,0
"57410",9,10,7,0
"57411",6,0,0,0
"57412",2,7,7,3
"57413",2,4,3,2
"57414",0,8,5,8
"57415",0,10,0,0
"57418",0,5,5,5
"57419",4,8,6,7
"57420",0,8,8,2
"57421",5,7,6,4
"57422",8,3,3,0
"57423",0,9,7,4
"57424",7,6,4,1
"57425",5,8,5,5
"57427",8,2,1,0
"57428",10,10,3,0
"57429",6,0,0,0
"57430",0,9,7,3
"57431",10,5,1,0
"57432",5,5,5,5
"57433",10,2,5,0
"57434",5,5,10,0
"57435",3,6,6,3
"57436",5,0,0,0
"57437",0,9,9,8
"57438",10,0,4,0
"57439",2,7,7,7
"57440",3,8,6,5
"57441",10,0,0,0
"57442",5,5,3,3
"57443",10,0,0,0
"57444",8,1,4,0
"57445",7,1,5,0
"57446",10,0,0,0
"57447",0,0,0,0
"57449",5,0,0,0
"57450",10,0,0,0
"57452",4,6,4,0
"57453",2,7,6,6
"57454",6,5,5,3
"57455",10,0,0,0
"57456",5,8,5,0
"57457",0,10,10,10
"57459",3,9,7,7
"57460",6,8,6,5
"57461",10,0,0,0
"57462",9,5,5,0
"57463",0,10,8,9
"57464",10,0,0,0
"57465",10,0,0,0
"57466",10,2,0,5
"57467",7,3,3,0
"57468",6,8,10,1
"57469",4,7,10,4
"57470",8,1,4,8
"57471",4,10,5,4
"57472",5,9,4,8
"57473",6,5,0,0
"57474",0,0,10,9
"57475",6,6,7,9
"57476",10,8,0,2
"57477",9,0,0,0
"57478",10,3,5,0
"57479",8,3,2,1
"57480",4,3,4,0
"57481",10,0,0,0
"57482",5,9,7,4
"57483",10,0,0,10
"57484",8,7,5,3
"57485",0,9,6,10
"57486",0,10,10,0
"57487",0,10,10,9
"57488",0,6,2,1
"57489",5,10,8,8
"57490",9,6,3,1
"57491",3,5,5,1
"57492",0,10,9,9
"57493",9,0,9,0
"57494",5,0,8,0
"57496",10,0,0,0
"57497",0,4,0,7
"57498",2,0,1,0
"57499",0,5,0,10
"57500",9,5,5,1
"57501",7,5,5,0
"57502",6,7,8,2
"57503",3,10,1,1
"57504",9,1,6,4
"57505",0,10,10,10
"57506",0,0,0,0
"57507",9,3,0,0
"57508",10,0,0,0
"57509",7,9,6,0
"57510",0,7,10,3
"57511",9,0,0,0
"57512",0,0,0,0
"57513",10,6,0,0
"57514",8,9,6,7
"57515",3,7,2,8
"57516",10,0,1,0
"57517",5,2,1,0
"57518",0,10,8,0
"57519",10,6,3,0
"57520",10,3,0,0
"57521",3,9,8,8
"57522",9,0,0,0
"57523",10,0,5,7
"57524",3,10,6,8
"57525",0,10,10,10
"57526",0,10,7,7
"57527",10,0,0,0
"57528",9,4,4,2
"57529",5,8,5,4
"57530",8,5,2,5
"57531",10,0,0,0
"57532",3,6,6,1
"57533",5,5,5,5
"57534",9,4,3,5
"57535",7,7,4,5
"57536",0,8,9,10
"57537",2,3,6,7
"57538",6,4,4,2
"57539",10,0,2,1
"57540",9,0,0,0
"57541",3,8,5,4
"57542",0,10,5,5
"57543",4,8,5,5
"57544",0,0,0,0
"57545",0,0,0,0
"57546",5,8,6,7
"57547",1,9,3,9
"57548",10,5,7,0
"57549",4,8,5,0
"57551",5,5,2,1
"57552",9,2,4,0
"57553",0,6,0,6
"57554",10,0,0,0
"57555",10,0,0,6
"57556",6,4,4,4
"57557",0,8,7,8
"57558",2,10,5,6
"57559",0,9,9,8
"57560",2,10,0,0
"57562",3,9,6,8
"57563",9,0,3,0
"57564",7,8,9,6
"57565",3,5,8,8
"57566",0,10,4,5
"57567",2,9,6,10
"57568",1,10,9,6
"57569",1,6,0,10
"57570",0,10,7,4
"57571",10,0,0,0
"57572",10,0,0,0
"57573",9,5,3,3
"57574",2,6,7,6
"57576",10,5,0,2
"57577",7,0,2,0
"57578",7,8,8,5
"57579",7,10,5,0
"57580",8,6,4,10
"57582",0,10,10,4
"57583",10,6,1,3
"57584",10,0,0,0
"57585",4,3,3,0
"57586",10,0,2,0
"57587",0,7,10,0
"57588",6,7,7,7
"57589",0,8,4,4
"57590",0,9,10,5
"57591",5,5,0,0
"57592",8,4,6,2
"57593",8,7,6,5
"57594",10,0,0,7
"57595",8,0,3,5
"57596",8,5,2,0
"57597",10,0,5,0
"57598",7,5,3,1
"57599",10,2,2,0
"57600",8,3,7,0
"57601",10,5,0,0
"57602",10,0,0,0
"57603",8,0,0,0
"57604",2,4,4,5
"57605",5,0,2,0
"57606",7,2,1,1
"57607",3,5,5,3
"57608",1,8,6,8
"57609",7,6,8,5
"57610",1,9,8,0
"57611",3,9,10,6
"57612",8,9,3,6
"57613",10,0,3,0
"57615",4,6,7,7
"57616",3,10,7,2
"57617",10,5,3,0
"57618",5,3,0,0
"57619",3,1,4,3
"57620",7,2,5,0
"57621",0,10,8,9
"57622",0,10,5,10
"57623",9,3,2,3
"57624",0,8,3,0
"57625",8,4,3,0
"57626",8,0,9,1
"57627",5,5,5,5
"57628",9,3,7,0
"57629",10,0,0,0
"57630",10,8,6,0
"57631",0,10,8,9
"57632",8,5,3,0
"57633",10,0,0,0
"57634",10,1,3,1
"57635",8,4,0,3
"57636",0,5,10,9
"57638",5,6,6,3
"57639",0,10,10,10
"57640",10,1,1,0
"57641",3,7,0,10
"57643",2,8,10,3
"57644",3,5,1,2
"57645",6,5,5,4
"57646",9,1,3,0
"57647",5,0,0,0
"57648",5,7,4,0
"57649",3,6,5,7
"57650",5,3,3,1
"57651",8,0,0,0
"57652",0,6,5,4
"57653",1,9,6,5
"57654",5,8,4,4
"57655",10,0,0,0
"57656",8,5,0,0
"57657",0,8,8,7
"57658",5,6,10,0
"57659",0,5,5,0
"57660",7,5,6,1
"57661",0,7,0,3
"57662",2,10,6,9
"57663",0,10,4,0
"57664",3,10,5,9
"57665",2,0,0,0
"57666",2,9,8,7
"57667",10,2,5,0
"57668",5,1,1,0
"57669",5,9,6,3
"57670",0,10,8,8
"57671",3,4,3,0
"57672",7,10,5,7
"57673",10,0,0,0
"57674",1,7,9,10
"57675",0,10,7,6
"57676",8,0,0,0
"57677",0,0,0,0
"57678",7,8,3,5
"57679",2,7,5,7
"57680",10,0,0,0
"57681",4,4,4,4
"57682",2,10,4,6
"57683",10,0,0,0
"57684",10,4,3,5
"57685",8,7,0,0
"57686",10,5,4,10
"57687",4,10,4,0
"57688",8,0,0,0
"57689",0,10,8,2
"57690",9,2,1,0
"57691",8,6,4,1
"57692",5,8,5,8
"57693",0,0,0,0
"57694",7,1,4,3
"57696",3,6,5,4
"57697",0,0,8,5
"57698",10,0,0,0
