,A,B,C,D,E,F,G,H
v169,0.9,0.5,0.7,0.7,0.8,0.6,0.8,0.7
v170,0.9,0.0,0.2,0.2,0.5,0.2,0.7,0.5
v171,0.8,0.0,0.3,0.3,1.0,0.1,0.3,0.6
v172,0.5,0.0,0.6,0.5,0.6,0.8,0.6,0.6
v173,0.9,0.0,0.5,0.4,0.9,0.3,0.7,0.6
v174,0.9,0.0,0.2,0.2,0.5,0.1,0.8,0.2
v175,0.8,0.0,0.6,0.2,0.8,0.4,0.2,0.8
v176,0.3,0.0,0.9,0.0,0.6,0.3,0.3,0.5
v177,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0
v178,0.8,0.0,,1.0,0.5,0.1,0.9,0.1
v179,0.9,0.0,0.2,0.9,0.8,0.0,0.9,0.8
v180,0.6,0.5,0.8,0.0,0.5,0.4,0.2,0.9
v181,0.8,0.0,0.2,0.6,0.4,0.1,0.5,0.4
v182,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6
v183,0.8,0.0,0.2,0.9,0.7,0.0,0.8,0.3
v184,0.9,0.0,0.1,0.6,0.4,0.0,0.6,0.1
v185,1.0,0.0,0.3,0.8,0.8,0.1,0.8,0.3
v186,0.2,0.7,1.0,0.1,0.8,1.0,0.1,0.9
v187,0.2,0.6,0.6,0.0,0.1,0.6,0.0,0.6
v188,0.7,0.0,0.8,0.0,0.5,0.8,,0.6
v189,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
v190,0.3,1.0,0.7,0.0,0.0,0.8,0.0,0.3
v191,0.4,0.5,0.9,0.2,0.5,0.8,0.3,0.9
v192,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
v193,0.8,0.2,0.2,0.6,0.4,0.1,0.1,0.4
v194,1.0,0.0,0.0,0.8,0.8,0.0,0.7,0.0
v195,0.9,0.0,0.3,0.4,0.8,0.0,0.6,0.7
v196,0.7,0.0,0.9,0.2,0.7,0.5,0.4,0.8
v197,0.4,0.0,0.5,0.3,0.5,0.3,0.3,0.8
v198,0.3,0.9,0.8,0.0,0.0,0.6,0.0,0.4
v199,0.7,0.0,0.2,0.4,0.6,0.2,0.3,0.7
v200,0.0,,0.8,0.8,0.8,1.0,0.6,
v201,1.0,0.0,0.5,1.0,0.2,0.2,0.2,0.1
v202,0.9,0.6,0.8,0.1,0.1,0.7,0.0,0.3
v203,0.8,0.0,0.6,0.7,0.5,0.4,0.5,0.6
v204,1.0,0.0,0.5,0.7,0.5,0.0,0.7,0.3
v205,0.2,0.9,0.9,0.0,0.0,0.9,0.0,0.5
v206,0.7,0.7,0.9,0.5,0.7,0.5,0.5,0.2
v207,1.0,0.0,0.2,0.2,0.8,0.2,0.1,0.2
v208,0.9,0.0,,,0.7,0.0,0.9,0.1
v209,,1.0,,,,,,
v210,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v211,0.6,0.5,0.9,0.0,0.3,0.8,0.0,0.6
v212,0.7,0.0,0.8,0.5,0.5,0.1,0.1,0.4
v213,0.7,0.5,0.8,0.0,0.5,0.8,0.3,0.5
v214,0.8,0.0,0.4,0.5,0.9,0.1,0.6,0.4
v215,0.0,0.2,,0.1,0.0,0.2,0.0,0.1
v216,1.0,0.0,0.5,1.0,0.9,0.0,1.0,0.3
v217,0.6,0.1,0.8,0.1,0.8,0.7,0.2,0.9
v218,1.0,0.0,0.0,1.0,0.5,0.0,0.7,0.2
v219,0.5,0.7,0.7,0.0,0.6,0.9,0.0,1.0
v220,0.7,0.0,0.4,0.2,0.2,0.4,0.5,0.3
v221,0.2,0.5,0.8,0.0,0.3,0.6,0.2,0.5
v222,0.4,1.0,0.4,0.4,0.4,0.4,0.4,0.4
v223,1.0,0.0,0.3,0.9,0.7,0.1,0.9,0.5
v224,1.0,0.0,0.0,1.0,0.9,0.0,0.7,0.6
v225,0.1,0.8,1.0,0.6,0.6,0.7,0.1,0.4
v226,0.5,0.6,1.0,0.0,0.6,1.0,0.1,0.8
v227,0.8,0.0,0.3,0.2,1.0,0.0,1.0,0.5
v228,0.6,1.0,1.0,0.0,0.0,1.0,0.0,0.8
v229,0.8,0.0,0.7,0.5,0.8,0.5,0.5,0.5
v230,0.9,0.0,0.3,0.7,0.6,0.2,0.5,0.3
v231,0.9,0.0,0.0,0.4,0.8,0.0,0.9,0.4
v232,1.0,0.0,0.4,0.8,0.8,0.0,0.8,0.6
v233,0.4,0.0,0.5,0.0,0.8,0.2,0.1,0.6
v234,0.8,0.0,0.4,0.3,0.8,0.0,0.9,0.3
v235,0.7,0.0,0.0,1.0,0.2,0.0,0.7,0.2
v236,0.8,0.0,0.1,0.9,0.5,0.1,0.9,0.5
v237,0.7,0.2,0.9,0.1,0.5,0.7,0.2,0.5
v238,0.8,0.0,0.1,1.0,0.3,0.0,0.8,0.1
v239,0.8,0.0,0.2,0.6,0.6,0.1,0.6,0.4
v240,1.0,0.0,0.5,0.5,0.5,0.2,0.5,0.5
v241,0.5,0.6,1.0,0.2,0.5,0.7,0.5,0.7
v242,0.7,0.0,0.6,0.3,0.8,0.3,0.5,0.5
v243,0.9,0.0,0.2,0.4,0.3,0.3,0.5,0.1
v244,1.0,0.0,0.4,0.3,0.6,0.0,0.6,0.4
v245,0.7,0.0,0.6,0.2,0.7,0.6,0.6,0.4
v246,0.0,1.0,0.7,0.0,0.0,0.6,0.0,0.0
v247,0.3,0.9,1.0,0.0,0.1,0.6,0.0,0.2
v248,1.0,0.0,0.0,0.5,0.4,0.0,1.0,0.6
v249,0.5,0.0,0.3,0.2,0.6,0.0,0.8,0.0
v250,0.9,0.0,0.6,0.4,0.9,0.1,0.7,0.8
v251,1.0,0.0,0.5,0.7,0.5,0.5,0.8,0.6
v252,0.9,0.1,0.5,0.1,0.7,0.2,0.8,0.5
v253,0.9,0.0,0.2,0.5,0.7,0.0,0.9,0.3
v254,0.3,1.0,,0.2,0.1,0.3,0.3,
v255,0.1,0.0,0.6,0.1,0.5,0.5,0.0,0.4
v256,0.1,0.8,0.8,0.1,0.6,0.8,0.1,0.6
v257,0.4,0.4,0.9,0.2,0.1,0.8,0.0,0.8
v258,0.5,0.0,0.5,0.5,0.5,0.6,0.5,0.5
v259,0.8,0.0,0.2,0.6,0.8,0.0,0.9,0.5
v260,0.6,0.0,0.2,0.3,0.7,0.1,0.6,0.4
v261,0.7,0.5,1.0,0.0,0.2,0.6,0.0,0.8
v262,0.8,0.0,0.8,0.6,0.8,0.6,0.5,1.0
v263,0.3,0.1,0.8,0.0,0.5,0.9,0.2,0.7
v264,0.8,0.0,0.2,0.7,0.5,0.0,0.4,0.5
v265,0.0,0.7,0.8,0.2,0.2,0.8,0.0,0.5
v266,0.8,0.0,0.4,0.9,0.6,0.0,0.5,0.3
v267,0.5,0.0,0.2,0.5,0.7,0.0,0.8,0.4
v268,1.0,0.0,0.2,0.9,0.7,0.0,0.8,0.2
v269,0.0,1.0,0.9,0.0,0.1,0.9,0.1,0.1
v270,0.2,0.5,1.0,0.0,0.5,0.8,0.1,0.5
v271,1.0,0.0,0.0,0.6,0.6,0.0,0.7,0.0
v272,0.6,0.0,0.9,0.2,0.7,0.7,0.6,1.0
v273,0.9,0.0,0.1,0.9,0.5,0.1,1.0,0.6
v274,0.7,0.0,0.0,1.0,0.5,0.0,1.0,0.1
v275,1.0,0.7,0.0,0.7,0.5,0.0,0.2,0.5
v276,1.0,0.1,0.0,0.6,0.2,0.0,0.6,0.2
v277,0.6,0.4,0.9,0.0,0.2,0.9,0.1,0.7
v278,1.0,0.8,0.2,0.1,0.8,0.4,0.0,0.0
v279,0.7,0.0,0.1,,,0.0,0.7,
v280,0.5,0.8,1.0,0.0,0.0,0.8,,0.3
v281,0.0,0.1,0.9,0.0,0.3,0.5,0.0,0.2
v282,0.6,0.5,0.7,0.4,0.3,0.8,0.0,0.5
v283,1.0,0.6,0.6,0.6,0.6,0.9,0.1,0.6
v284,0.3,0.9,0.9,0.2,0.0,1.0,0.0,0.1
v285,0.1,1.0,0.8,0.0,0.0,0.5,0.0,0.4
v286,0.9,0.0,0.1,0.1,0.7,0.0,0.3,0.4
v287,0.5,1.0,0.8,0.1,0.0,0.9,0.0,0.6
v288,1.0,0.6,0.1,0.7,0.2,0.6,0.9,0.3
v289,0.0,1.0,0.7,0.0,0.0,0.4,0.0,0.2
v290,0.3,0.9,0.9,0.0,0.0,0.6,0.0,0.5
v291,0.6,0.0,0.0,0.8,0.3,0.0,0.8,0.2
v292,0.9,0.0,0.7,0.5,0.5,0.3,0.5,0.5
v293,0.4,0.0,0.9,0.0,0.5,0.8,0.1,0.8
v294,0.7,0.0,1.0,0.0,0.8,0.9,0.0,0.9
v295,0.6,0.0,0.2,0.6,0.8,0.2,1.0,0.5
v296,0.2,1.0,0.7,0.0,0.0,0.7,0.0,0.4
v297,0.8,0.1,0.5,0.4,0.7,0.4,0.8,0.8
v298,0.8,0.7,0.3,0.0,0.7,0.1,0.0,0.8
v299,0.2,0.8,0.7,0.1,0.2,0.6,0.0,0.5
v300,0.6,0.0,0.0,0.7,0.0,0.0,0.0,0.0
v301,0.5,0.4,1.0,0.4,0.7,0.9,0.4,0.8
v302,0.8,0.5,0.8,0.1,0.4,0.2,0.0,0.2
v303,0.1,1.0,0.8,0.0,0.0,0.8,0.0,0.5
v304,0.3,0.0,0.2,0.2,0.9,0.1,0.3,0.3
v305,0.7,0.0,0.3,0.5,0.5,0.2,0.5,0.5
v306,0.9,0.0,0.5,0.5,0.7,0.5,0.9,0.5
v307,0.5,0.5,1.0,0.1,0.5,0.8,0.5,0.5
v308,0.4,1.0,0.9,0.5,0.2,0.7,0.1,0.6
v309,0.9,0.0,0.3,0.5,0.6,0.1,0.6,0.3
v310,0.9,0.0,0.1,0.9,0.6,0.1,0.9,0.1
v311,1.0,0.0,0.2,0.8,0.5,0.1,0.8,0.5
v312,0.7,0.0,0.0,1.0,0.4,0.0,0.8,0.0
v313,0.3,0.7,1.0,0.0,0.0,0.9,0.0,0.6
v314,0.9,0.0,0.4,0.8,0.7,0.1,0.7,0.3
v315,0.3,0.0,0.3,0.0,0.5,0.0,0.2,0.5
v316,0.7,0.7,0.7,,,,,
v317,0.3,0.8,0.8,0.1,0.3,0.2,0.0,0.3
v318,0.0,0.9,0.9,0.0,0.0,0.9,0.0,0.5
v319,0.5,0.4,0.8,0.3,0.4,0.5,0.3,0.6
v320,0.8,0.0,0.5,0.3,0.7,0.1,0.2,0.8
v321,0.7,0.9,0.9,0.8,0.0,0.9,0.0,0.8
v322,0.7,0.0,0.0,0.7,0.7,0.1,0.8,0.0
v323,0.6,0.0,0.5,0.5,0.7,0.5,0.8,0.8
v324,0.2,0.4,0.2,0.5,0.2,0.5,0.2,0.4
v325,0.9,0.0,0.3,0.5,0.7,0.0,0.9,0.7
v326,0.6,0.7,0.9,0.0,0.6,0.8,0.3,0.5
v327,0.8,1.0,0.9,0.5,0.4,0.3,0.3,0.5
v328,0.7,0.0,0.1,0.9,0.3,0.0,0.8,0.1
v329,,1.0,,,,,,
v330,0.1,0.6,0.8,0.2,0.1,0.8,0.0,0.4
v331,0.9,0.0,0.6,0.5,0.6,0.1,0.2,0.5
v332,0.8,0.0,0.6,0.5,0.8,0.0,0.3,0.5
v333,0.8,0.2,0.3,0.0,0.3,0.5,0.3,0.3
v334,0.7,0.0,0.1,1.0,0.8,0.0,0.7,0.1
v335,0.5,0.6,0.5,0.3,0.2,,,0.2
v336,0.3,0.8,0.7,0.1,0.2,0.7,0.0,0.5
v337,0.7,0.7,0.7,0.5,0.7,0.6,0.6,0.7
v338,0.7,0.1,0.5,0.2,0.6,0.1,0.3,0.7
v339,0.0,0.4,0.9,0.0,0.7,0.7,0.7,0.2
v340,0.9,0.0,0.1,0.9,0.3,0.0,0.7,0.3
v341,0.6,0.1,0.7,0.4,0.6,0.4,0.6,0.7
v342,0.4,0.0,0.0,0.6,0.4,0.0,0.5,0.3
v343,0.7,0.3,0.2,0.3,0.5,0.3,0.7,0.2
v344,0.1,0.0,0.4,0.0,0.4,0.1,0.0,0.3
v345,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v346,0.0,0.8,0.9,0.0,0.3,1.0,0.0,0.5
v347,0.3,,0.9,0.1,0.4,0.5,0.5,
v348,0.9,0.0,0.1,0.7,0.3,0.0,0.4,0.5
v349,0.5,0.6,0.4,0.6,0.2,0.5,0.5,0.4
v350,0.8,0.2,0.7,0.3,0.8,0.2,0.7,0.4
v351,0.7,0.0,0.8,0.6,0.4,0.0,0.0,0.6
v352,0.0,1.0,0.8,0.0,0.0,0.9,0.0,0.8
v353,0.6,0.1,0.8,0.5,0.6,0.0,0.5,0.6
v354,0.7,0.1,0.5,0.3,0.5,0.3,0.2,0.6
v355,0.9,0.0,0.4,0.6,0.8,0.0,0.7,0.0
v356,0.5,0.1,0.5,0.5,0.5,0.1,0.5,0.5
v357,0.1,0.6,0.8,0.3,0.1,0.8,0.0,0.6
v358,0.5,0.6,0.9,0.1,0.5,0.5,0.0,0.6
v359,0.5,1.0,0.7,0.6,0.0,0.7,0.0,0.1
v360,0.9,0.0,0.1,0.8,0.8,0.0,0.9,0.2
v361,1.0,0.5,,,0.8,0.5,1.0,0.6
v362,0.7,0.8,0.8,0.0,0.2,0.5,0.0,0.5
v363,0.6,0.0,0.6,0.1,1.0,0.4,0.1,0.8
v364,0.2,0.8,1.0,0.0,0.2,0.8,0.0,0.2
v365,0.3,0.0,0.1,0.9,0.5,0.0,0.8,0.3
v366,0.9,0.2,0.5,0.4,0.6,0.4,0.8,0.3
v367,0.0,0.9,0.9,0.0,0.2,0.6,0.0,0.0
v368,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
v369,0.2,1.0,1.0,0.5,0.0,0.8,0.0,0.6
v370,1.0,0.0,0.1,0.5,0.8,0.1,0.8,0.6
v371,1.0,0.1,0.7,0.8,0.8,0.5,0.9,0.6
v372,0.7,0.9,0.9,0.7,0.5,0.8,0.1,0.8
v373,0.9,0.0,0.7,0.1,0.9,0.6,0.6,0.9
v374,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v375,0.1,0.1,1.0,0.0,0.9,0.7,0.0,0.9
v376,0.7,0.2,0.6,0.5,0.0,0.0,0.1,0.6
v377,1.0,0.0,0.8,0.8,0.8,0.0,0.8,0.8
v378,0.5,0.0,0.0,0.5,0.9,0.0,0.0,0.0
v379,0.8,0.4,0.7,0.7,0.7,0.5,0.7,0.7
v380,0.9,0.2,0.7,0.7,1.0,0.9,0.7,0.9
v381,1.0,0.7,0.7,0.5,0.6,0.6,0.7,0.6
v382,0.9,0.1,0.6,0.8,0.8,0.4,0.9,0.8
v383,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
v384,0.0,0.9,1.0,0.0,0.2,1.0,0.0,0.4
v385,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v386,0.5,0.7,0.8,0.0,0.2,0.9,0.0,0.7
v387,0.8,0.0,0.3,0.9,0.7,0.0,1.0,0.2
v388,0.9,0.0,0.6,0.0,0.5,0.0,0.0,0.2
v389,1.0,0.0,0.1,0.8,0.6,0.0,0.9,0.3
v390,0.5,0.1,0.1,0.1,0.2,0.2,0.0,0.3
v391,0.3,0.5,1.0,0.6,0.0,1.0,0.0,0.7
v392,1.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0
v393,1.0,0.0,0.3,0.5,0.8,0.0,0.4,0.5
v394,0.2,0.8,0.8,0.3,0.0,1.0,0.0,0.6
v395,0.3,0.6,1.0,0.1,0.5,0.7,0.0,0.5
v396,0.8,0.0,0.8,0.0,0.9,0.8,0.7,0.9
v397,0.9,0.0,0.8,0.6,1.0,0.5,0.9,0.7
v398,0.9,0.5,0.3,0.5,0.7,0.6,0.6,0.6
v399,0.5,0.4,1.0,0.0,0.3,0.9,0.0,0.6
v400,0.9,0.0,0.5,0.6,0.5,0.1,0.3,0.5
v401,0.7,0.0,0.7,0.1,0.8,0.4,0.3,0.7
v402,0.8,0.1,0.3,0.4,1.0,0.1,0.4,0.4
v403,0.8,0.7,0.5,0.8,0.5,0.5,0.7,0.5
v404,0.5,0.7,1.0,0.5,0.5,0.5,0.0,0.5
v405,0.7,0.0,0.5,0.5,0.7,0.7,0.8,0.6
