,A,B,C,D,E,F,H,I
v127,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
v128,0.3,0.2,0.2,0.5,0.2,0.2,0.8,
v129,0.8,0.2,0.7,0.8,0.8,0.7,0.7,0.3
v130,0.8,0.0,0.5,0.5,0.8,0.7,,0.5
v131,0.7,0.0,0.0,0.4,0.3,0.5,0.9,0.3
v132,0.8,0.3,0.2,0.8,0.5,0.5,0.8,0.2
v133,0.8,0.0,0.4,0.8,0.8,0.7,0.7,
v134,0.5,0.3,0.6,0.4,0.0,,,
v135,0.9,,,,,,,
v136,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
v137,0.6,0.6,0.6,0.4,0.0,0.0,0.0,0.0
v138,0.1,0.1,0.1,0.1,0.0,0.1,,0.0
v139,0.3,0.4,0.0,,0.0,0.0,0.0,0.0
v140,1.0,0.0,0.3,0.5,0.4,0.3,0.0,0.3
v141,0.5,0.0,0.0,0.8,0.9,0.5,0.0,0.5
v142,,0.9,0.6,0.4,0.3,0.4,,0.2
v143,0.6,0.1,0.0,0.7,1.0,0.8,0.3,0.8
v144,0.3,,0.3,0.3,0.4,0.2,,0.3
v145,0.7,0.1,,1.0,,,0.3,0.6
v146,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
v147,0.2,0.8,0.7,0.5,0.1,0.2,0.1,0.2
v148,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
v149,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
v150,0.5,0.0,0.3,0.5,0.2,,,0.3
v151,0.8,0.6,0.2,0.6,0.1,0.2,,0.0
v152,0.8,0.0,0.0,0.6,0.9,0.4,0.0,0.4
v153,1.0,0.0,0.0,0.9,0.5,0.9,0.1,0.9
v154,0.9,0.0,0.1,0.2,0.7,0.0,0.2,0.2
v155,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0
v156,0.0,0.8,0.9,0.0,0.0,0.1,0.1,0.0
v157,0.4,0.0,0.0,0.7,0.7,,0.0,0.4
v158,1.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0
v159,0.0,0.9,,0.0,0.0,0.0,0.0,0.0
v160,0.5,0.0,0.0,0.3,0.3,0.3,0.0,0.2
v161,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
v162,0.5,,,,,,,
v163,0.9,0.4,,0.7,0.5,0.6,,0.5
v164,0.5,0.0,0.0,0.5,0.3,0.5,,0.3
v165,0.4,0.0,0.4,0.5,0.0,0.1,0.0,0.8
v166,0.5,0.0,0.0,0.1,0.0,0.4,0.8,0.0
v167,0.0,0.9,0.6,0.1,0.0,0.0,,0.0
v168,0.5,0.0,0.0,0.8,0.5,0.7,,0.2
v169,0.7,0.0,0.0,0.0,0.8,0.0,,0.0
v170,0.9,0.0,0.0,0.9,0.8,0.8,0.4,0.7
v171,1.0,0.0,0.2,0.7,1.0,0.7,0.5,0.7
v172,0.6,0.7,0.1,0.4,0.3,0.2,0.1,0.0
v173,0.3,1.0,,0.3,0.1,0.2,0.4,0.2
v174,0.9,0.0,0.1,0.9,0.8,0.6,0.7,
v175,0.5,0.2,0.3,0.8,0.3,0.5,0.4,0.4
v176,0.9,,,,,,,0.9
v177,0.5,0.0,0.1,0.7,0.6,0.5,0.3,0.3
v178,0.2,0.6,0.5,0.8,0.0,0.4,0.1,0.0
v179,0.8,0.0,0.0,0.4,1.0,0.4,,0.4
v180,0.5,0.3,0.4,0.6,0.0,0.9,,0.7
v181,0.8,0.0,0.2,0.7,0.6,0.7,0.0,0.7
v182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v183,0.0,1.0,0.8,0.0,0.0,0.0,,0.0
v184,0.8,0.5,0.6,0.8,0.7,0.6,0.6,0.6
v185,0.4,0.0,0.2,0.7,0.5,0.4,,0.5
v186,1.0,0.3,,0.3,0.9,0.6,,
v187,0.6,0.1,0.4,0.6,0.2,0.7,0.0,0.5
v188,0.5,0.0,0.0,0.4,0.9,0.5,0.0,0.4
v189,0.5,0.1,0.3,0.5,0.2,0.5,0.2,0.2
v190,1.0,0.0,0.0,0.8,0.6,0.0,,0.0
v191,0.2,0.6,0.2,0.0,0.0,0.3,0.2,0.0
v192,,,,0.0,1.0,0.0,,
v193,0.8,0.0,0.2,0.5,0.0,0.3,,0.0
v194,1.0,0.0,0.0,0.6,0.7,0.6,,0.3
v195,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
v196,0.3,0.0,0.0,0.8,0.3,0.6,0.0,
v197,0.8,0.0,0.0,0.6,0.8,0.5,0.0,
v198,0.9,0.4,0.8,0.6,0.7,0.6,0.3,0.5
v199,0.3,0.0,,0.3,0.3,,0.7,
v200,0.8,0.6,0.6,0.8,0.7,0.5,0.5,0.8
v201,,0.0,0.0,0.4,0.9,0.7,0.0,0.5
v202,0.7,0.5,0.4,0.6,0.4,0.3,0.3,0.2
v203,,0.0,0.0,,,,,
v204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v205,0.8,0.1,0.3,0.7,0.1,0.2,0.3,0.3
v206,0.4,0.3,0.8,0.4,0.2,0.0,,0.0
v207,0.4,0.7,0.7,0.4,0.2,0.2,0.1,0.2
v208,0.2,1.0,0.2,0.1,0.0,0.0,0.3,0.0
v209,0.4,0.3,0.1,0.3,0.3,0.2,0.2,0.1
v210,0.8,0.0,0.0,0.6,0.1,0.4,0.3,0.7
v211,1.0,,0.4,,,,,
v212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v213,0.5,0.0,0.0,0.5,0.8,,0.8,0.3
v214,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v215,0.9,1.0,0.0,0.6,0.0,0.6,0.0,0.0
v216,0.7,0.6,0.2,0.4,0.2,0.4,0.0,0.3
v217,0.5,0.0,,0.0,0.2,0.0,0.0,0.0
v218,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
v219,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
v220,0.3,0.6,0.5,0.5,0.1,0.1,0.1,0.1
v221,1.0,0.5,0.6,0.4,0.5,0.4,1.0,0.6
v222,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4
v223,0.9,0.0,0.8,1.0,0.4,0.6,0.0,0.8
v224,0.8,0.5,0.0,0.5,0.1,0.1,0.2,0.1
v225,0.2,0.2,0.1,0.3,0.2,0.2,,0.1
v226,1.0,0.1,0.3,0.7,0.8,0.4,0.5,0.2
v227,0.5,0.6,1.0,0.5,0.5,0.5,0.5,0.5
v228,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
v229,0.3,0.4,0.2,0.6,0.5,0.9,,0.2
v230,0.0,0.7,0.3,0.0,0.0,0.0,0.2,0.0
v231,,0.7,,,0.0,,,
v232,0.2,0.9,0.6,0.3,0.0,0.0,,0.1
v233,0.7,0.2,0.8,0.5,0.2,0.5,0.5,0.2
v234,0.5,0.1,0.9,0.7,0.0,0.1,0.0,0.0
v235,0.0,0.0,0.1,0.6,0.1,0.0,0.1,0.0
v236,0.5,0.2,0.2,0.5,0.6,0.8,0.3,0.5
v237,0.0,1.0,,,0.0,0.2,0.0,0.0
v238,1.0,0.0,0.2,0.4,0.9,0.8,0.1,0.5
v239,0.0,0.9,0.9,,0.3,0.0,,0.0
v240,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0
v241,0.7,0.2,0.1,0.7,0.5,0.5,,0.4
v242,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
v243,0.9,0.0,0.4,0.8,0.8,,0.0,0.8
v244,0.1,0.5,0.2,0.4,0.3,0.0,,
v245,0.6,0.0,0.0,0.2,0.2,0.1,0.0,0.0
v246,0.2,0.7,0.7,0.0,0.0,0.0,0.0,0.0
v247,0.7,0.3,0.2,1.0,0.4,0.6,,0.5
v248,0.2,0.2,0.0,,0.3,0.5,,0.5
v249,1.0,0.0,0.5,0.6,0.7,0.4,,0.6
v250,0.9,0.1,0.5,0.7,0.7,0.6,0.4,0.7
v251,0.5,0.0,0.0,1.0,0.9,0.0,0.0,0.0
v252,1.0,0.0,0.3,1.0,0.2,0.0,0.0,0.2
v253,0.9,0.0,,,0.3,,,
v254,0.5,0.2,0.3,0.2,0.4,0.4,0.1,0.2
v255,0.5,0.5,0.3,,0.3,,0.6,
v256,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0
v257,0.8,0.0,0.0,0.6,0.4,0.5,0.0,0.0
v258,0.6,0.2,,,0.9,0.8,0.6,0.5
v259,0.6,0.2,0.3,0.4,0.3,,,0.2
v260,0.9,0.0,0.1,0.8,0.7,0.8,,0.5
v261,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
v262,0.0,1.0,1.0,0.2,0.0,0.2,,
v263,0.7,0.0,0.0,0.4,0.1,0.4,0.0,0.3
v264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v265,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
v266,1.0,0.0,0.0,0.4,0.3,0.5,0.0,0.1
v267,0.8,0.0,0.0,0.7,0.6,0.4,,0.4
v268,0.8,0.0,0.0,0.8,0.0,0.6,0.0,0.0
v269,0.5,0.5,,0.2,0.3,0.0,,0.0
v270,0.9,0.4,0.5,0.6,0.6,0.6,0.8,0.7
v271,0.4,0.1,0.1,0.4,0.1,0.1,0.4,0.1
v272,0.6,0.0,0.0,0.7,0.7,,0.0,0.6
v273,,1.0,0.0,0.0,0.5,0.0,0.0,0.0
v274,0.0,0.7,0.6,0.6,0.0,0.0,0.0,0.0
v275,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0
v276,0.0,1.0,0.5,0.2,0.0,0.0,,0.3
v277,0.7,0.0,0.2,0.3,0.2,0.0,0.0,0.0
v278,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0
v279,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v280,0.6,0.0,0.1,0.3,0.4,0.3,0.0,0.2
v281,0.4,,,,,,,
v282,0.6,0.0,0.1,0.9,1.0,,0.0,
v283,0.9,0.1,0.2,0.9,0.9,0.8,0.3,0.8
v284,0.9,0.0,0.0,1.0,0.9,1.0,0.6,0.4
v285,0.3,0.7,0.8,0.5,0.3,0.0,0.0,0.0
v286,0.9,0.1,0.6,0.7,0.8,0.5,,0.9
v287,1.0,,,0.6,,,,
v288,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
v289,0.5,0.0,0.0,0.5,0.3,0.0,0.0,0.5
v290,0.5,0.5,0.6,0.5,0.0,0.1,,0.0
v291,0.9,0.5,0.0,1.0,0.0,0.7,0.0,0.6
v292,0.3,1.0,0.4,0.0,0.2,0.0,0.0,
v293,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0
v294,1.0,0.0,0.1,1.0,0.8,0.9,,0.7
v295,0.0,0.7,0.6,0.0,0.0,0.0,,0.0
v296,0.5,0.4,0.7,0.2,0.2,0.0,0.4,0.0
v297,0.9,0.0,0.4,0.7,0.8,0.8,0.4,0.7
v298,0.5,0.8,0.7,0.0,0.0,0.0,0.0,0.0
v299,,,0.0,,,,,
v300,0.6,0.8,0.6,0.7,0.4,0.5,0.7,0.3
v301,0.7,0.0,,,,0.6,0.8,
v302,0.8,0.3,0.7,0.2,0.0,0.5,,0.2
v303,0.5,0.5,0.5,0.5,0.2,0.5,,0.2
v304,,0.0,,,,,,
v305,0.4,0.0,0.3,0.6,0.3,0.2,0.0,0.0
v306,0.4,0.6,0.4,0.7,0.2,0.0,0.4,0.0
v307,,0.0,0.1,0.4,0.6,0.5,0.0,0.4
v308,,,,,,,0.7,
v309,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
v310,0.1,0.2,0.5,0.2,0.1,0.1,0.1,0.1
v311,0.5,0.3,0.0,,0.3,0.6,,0.0
v312,0.7,0.0,0.0,0.6,0.9,0.4,0.0,0.4
v313,0.9,0.5,0.5,0.5,0.5,0.5,0.3,0.5
v314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v315,0.1,0.5,0.1,0.5,0.0,0.5,,0.1
v316,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
v317,0.5,0.0,0.3,0.5,0.8,0.5,,0.6
v318,0.0,0.4,1.0,0.1,0.0,0.0,0.6,0.1
v319,0.6,0.8,0.0,0.3,0.0,0.0,0.0,0.0
v320,1.0,0.0,0.1,0.4,0.2,0.3,0.1,0.1
v321,0.8,0.3,0.4,0.8,0.3,,,0.6
v322,1.0,0.0,0.2,,0.6,0.5,,0.5
v323,0.4,0.3,0.2,0.5,0.3,0.0,0.3,0.0
v324,1.0,0.0,0.0,0.5,0.8,0.5,0.0,0.5
v325,0.9,0.2,0.0,0.6,0.3,,,
v326,0.8,0.0,0.5,0.4,0.7,0.3,0.4,0.5
v327,0.3,0.3,0.4,0.2,0.0,0.3,,0.0
v328,0.6,0.1,,0.6,0.4,0.3,0.0,0.0
v329,0.3,0.4,0.3,0.3,0.2,0.5,0.3,0.4
v330,0.6,0.3,0.6,0.6,0.3,0.6,0.4,0.0
v331,1.0,0.0,0.1,0.9,0.7,0.8,0.3,0.2
v332,0.2,0.6,0.3,0.1,0.0,0.2,0.1,0.1
v333,0.0,1.0,0.5,0.1,0.0,0.0,0.1,0.0
v334,0.5,0.8,,0.5,0.5,,,
v335,0.1,0.3,0.4,0.2,0.0,0.1,0.0,0.1
v336,0.6,0.5,0.2,0.2,0.5,0.5,,0.2
v337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v338,0.0,1.0,1.0,0.0,0.0,,0.0,0.0
v339,0.3,0.3,0.1,0.1,0.2,0.2,0.5,0.0
v340,0.8,0.3,0.2,0.7,0.3,0.5,0.1,0.5
v341,0.2,0.7,0.8,0.1,0.0,0.0,0.5,0.1
v342,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
v343,,,0.0,,,,0.0,
v344,0.9,0.0,0.0,0.2,0.8,0.1,0.0,0.3
v345,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
v346,0.5,0.6,0.0,0.7,0.0,0.0,0.0,0.0
v347,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0
v348,0.4,0.0,0.3,0.5,0.3,0.4,0.0,0.4
v349,0.9,0.0,0.4,0.5,0.5,0.3,,0.7
v350,0.0,1.0,0.6,0.0,0.0,0.1,0.0,0.0
v351,0.0,0.8,0.5,0.3,0.0,0.0,0.0,0.0
v352,0.4,0.4,0.4,0.7,0.5,0.5,0.4,0.4
v353,0.1,0.1,0.5,0.5,0.2,,,0.1
v354,0.2,0.1,0.7,0.1,0.0,0.1,1.0,0.1
v355,1.0,0.0,0.0,,1.0,0.5,,0.0
v356,0.8,0.1,0.6,0.8,0.5,0.4,0.5,0.7
v357,0.8,0.5,0.2,0.5,0.6,0.6,0.4,0.5
v358,1.0,0.0,0.1,0.6,0.7,0.7,0.4,0.6
v359,0.8,0.1,0.1,0.9,0.9,0.5,0.0,0.7
v360,0.5,0.0,0.4,0.3,0.7,0.9,0.5,0.7
v361,0.9,0.0,0.5,0.7,0.6,0.5,,0.4
v362,0.1,0.0,0.1,0.1,0.1,0.1,,0.1
v363,0.5,0.0,0.0,0.8,0.4,0.3,0.0,0.3
v364,0.5,0.0,0.0,0.8,1.0,0.5,0.0,0.6
v365,1.0,0.1,0.5,0.8,0.7,0.9,,0.4
v366,0.5,0.0,0.0,0.5,0.3,0.1,0.0,0.3
v367,0.9,0.0,0.2,0.9,0.6,0.7,0.6,0.5
v368,0.7,0.1,0.4,0.8,0.5,0.4,0.0,0.3
v369,0.5,0.1,0.5,0.8,0.0,0.5,0.0,0.9
v370,0.1,1.0,0.7,0.1,0.3,0.1,0.1,0.1
v371,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
v372,0.8,0.0,0.0,0.4,0.3,0.4,,0.4
v373,0.8,0.0,0.0,0.4,0.5,0.3,0.0,0.5
v374,,0.5,,,,,,
v375,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0
v376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v377,0.9,0.0,0.0,0.8,0.5,0.2,0.0,0.0
v378,0.4,0.0,0.1,0.3,0.3,0.5,,0.2
v379,0.5,0.0,0.0,0.5,0.0,0.0,,0.5
v380,,0.0,0.0,0.0,0.0,0.3,0.0,1.0
v381,1.0,0.0,0.2,0.7,1.0,0.8,0.4,0.8
v382,0.4,0.0,0.1,0.7,0.2,0.6,0.5,0.3
v383,,0.5,0.3,,,,,
v384,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0
v385,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
v386,0.9,,,,0.8,,,
v387,0.0,1.0,0.4,0.0,0.0,,0.4,0.5
v388,0.8,0.0,0.2,0.7,0.6,0.4,,0.5
v389,0.7,0.0,0.4,0.8,0.6,0.8,0.3,0.3
v390,0.6,0.4,0.5,0.6,0.1,0.4,0.1,0.4
v391,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0
v392,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v393,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
v394,,0.4,,0.4,,,,
v395,0.9,0.0,0.4,0.9,0.5,0.7,0.0,0.7
v396,0.5,,,,,,,
v397,0.8,0.0,0.3,0.4,0.3,0.4,0.3,0.4
v398,1.0,0.0,0.2,1.0,0.8,0.9,,0.7
v399,0.4,1.0,1.0,0.0,0.3,0.3,,0.2
v400,0.0,0.6,0.0,0.6,0.0,0.0,0.3,0.0
v401,1.0,0.3,0.0,0.1,,0.1,0.0,0.0
v402,0.7,0.0,0.2,0.6,0.7,0.5,,
v403,1.0,0.0,0.0,0.8,0.8,0.8,0.0,0.8
v404,0.6,0.0,0.2,0.2,0.3,0.3,0.5,0.2
v405,0.7,0.0,0.0,0.4,0.8,0.0,0.3,0.0
v406,0.8,0.0,0.0,0.8,0.9,0.8,,
v407,0.5,0.1,0.3,0.5,0.3,0.2,0.2,0.3
v408,0.5,0.0,0.0,0.8,0.6,0.0,0.5,0.0
v409,1.0,0.0,0.0,0.6,0.8,0.7,0.8,0.5
v410,0.7,0.0,0.0,0.8,0.4,0.3,0.2,0.3
v411,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0
v412,0.3,0.0,0.0,0.1,0.1,0.1,0.0,0.1
v413,0.4,0.9,1.0,0.1,0.0,0.3,0.0,0.0
v414,,,,0.0,0.0,0.0,0.0,0.0
v415,1.0,0.0,0.4,0.7,0.5,0.8,0.2,0.5
v416,0.3,0.0,,0.3,0.5,0.9,0.6,
v417,0.2,0.0,0.0,0.1,0.1,0.1,0.0,0.0
v418,0.2,0.0,,,0.4,,0.0,0.1
v419,0.4,0.7,0.9,0.7,0.0,0.0,,0.2
v420,0.0,0.9,0.6,0.3,0.0,0.0,,0.0
v421,0.9,0.0,0.4,0.8,0.4,0.5,0.4,0.5
v422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v423,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
v424,,,,,,0.0,,1.0
v425,0.9,0.0,0.1,0.8,0.7,0.8,0.3,0.8
v426,,0.0,0.0,0.0,0.3,,,0.3
v427,1.0,0.0,0.8,0.4,0.2,0.2,0.2,0.2
v428,,1.0,,0.0,,,,
v429,0.7,0.0,0.0,0.2,0.8,0.3,0.0,0.2
v430,0.9,0.2,0.3,0.8,0.5,0.9,0.5,0.3
v431,0.8,0.0,0.3,0.7,0.0,0.5,0.1,0.0
v432,0.8,0.0,,0.8,0.8,,,0.0
v433,0.8,0.0,0.0,0.8,0.5,0.6,,0.4
