"","cand_A","cand_B","cand_C","cand_D"
"32881",10,0,4,4
"32882",8,6,6,6
"32883",0,0,0,0
"32884",7,5,4,5
"32885",0,5,3,4
"32886",7,5,5,5
"32887",3,3,3,3
"32888",7,3,4,4
"32889",5,5,7,5
"32890",6,5,4,5
"32891",5,6,6,5
"32892",6,5,5,6
"32893",8,3,2,2
"32894",5,7,7,6
"32895",5,7,5,4
"32896",5,4,7,4
"32897",5,8,7,6
"32898",7,5,6,5
"32899",3,7,8,6
"32900",4,7,8,5
"32901",3,8,7,6
"32902",3,8,7,6
"32903",4,7,6,5
"32904",3,6,8,5
"32905",5,8,7,5
"32906",5,8,7,6
"32907",3,8,7,7
"32908",7,6,5,4
"32909",4,7,8,6
"32910",8,7,6,5
"32911",8,6,6,6
"32912",7,6,5,5
"32913",2,8,7,6
"32914",4,4,4,4
"32915",3,2,1,1
"32916",4,6,4,5
"32917",2,5,5,5
"32918",2,7,6,6
"32919",1,6,5,5
"32920",2,7,8,7
"32921",4,6,6,6
"32922",3,6,5,5
"32923",3,7,7,6
"32924",7,3,4,3
"32925",8,4,3,2
"32926",4,6,6,6
"32927",6,8,6,6
"32928",7,4,4,3
"32929",2,2,2,2
"32930",2,6,5,5
"32931",6,4,4,3
"32932",4,3,4,3
"32933",4,6,5,4
"32934",4,5,4,4
"32935",4,7,6,7
"32936",3,3,4,3
"32937",4,6,5,5
"32938",4,5,6,4
"32939",4,4,4,3
"32940",7,3,4,3
"32941",7,4,5,3
"32942",8,5,4,3
"32943",7,5,4,4
"32944",3,5,4,4
"32945",4,5,4,4
"32946",5,4,4,4
"32947",3,6,5,5
"32948",7,3,6,4
"32949",5,4,4,4
"32950",8,7,5,5
"32952",3,7,3,5
"32953",0,10,6,6
"32954",4,8,6,6
"32955",2,10,6,5
"32956",0,2,5,5
"32957",8,5,4,4
"32958",3,7,5,6
"32959",7,4,5,5
"32960",5,5,5,4
"32961",6,3,4,3
"32962",5,5,5,4
"32963",2,7,5,5
"32964",6,3,4,3
"32965",2,8,6,5
"32966",9,2,7,2
"32967",2,8,6,5
"32968",7,7,6,3
"32969",8,2,6,2
"32970",10,2,5,3
"32971",10,2,5,3
"32972",10,1,7,1
"32973",2,9,7,5
"32974",4,5,6,7
"32975",6,7,6,6
"32976",4,6,4,4
"32977",4,7,5,5
"32978",6,7,7,4
"32979",3,3,4,3
"32980",7,5,5,5
"32981",7,5,4,3
"32982",4,3,6,4
"32983",5,5,8,5
"32984",4,5,3,3
"32985",7,4,3,2
"32986",9,2,5,1
"32987",6,5,5,2
"32988",8,2,3,1
"32990",3,7,5,4
"32992",4,4,3,2
"32993",4,4,4,4
"32994",5,7,6,5
"32995",5,5,5,5
"32996",6,4,5,3
"32997",6,6,5,3
"32998",8,3,6,0
"32999",5,6,4,3
"33000",5,5,5,1
"33001",3,7,7,7
"33002",8,3,3,2
"33004",1,8,9,5
"33005",1,5,5,5
"33006",1,8,5,3
"33007",5,7,7,5
"33008",2,5,5,5
"33009",5,7,7,6
"33010",4,5,5,6
"33012",3,8,5,4
"33013",7,5,5,5
"33014",3,7,4,4
"33015",4,5,5,5
"33016",7,6,6,4
"33017",10,1,1,1
"33018",8,4,4,1
"33019",4,5,6,3
"33020",6,4,5,4
"33021",5,5,6,3
"33022",6,5,5,3
"33023",4,4,8,4
"33024",7,4,5,4
"33025",4,4,5,4
"33026",7,5,4,4
"33027",7,4,4,4
"33028",5,4,5,4
"33029",6,4,5,4
"33030",7,4,4,4
"33031",6,4,4,4
"33032",5,5,6,4
"33033",7,5,4,4
"33034",5,6,5,5
"33035",6,5,4,5
"33036",7,6,7,2
"33037",3,8,3,3
"33038",5,6,5,5
"33039",3,2,2,2
"33040",6,4,5,5
"33041",6,5,5,1
"33042",4,7,5,5
"33043",7,6,6,5
"33044",8,6,5,5
"33045",7,4,5,4
"33046",9,4,2,2
"33047",8,6,5,5
"33048",9,2,3,3
"33049",6,6,4,4
"33050",3,3,4,4
"33051",8,2,2,2
"33052",3,8,7,6
"33053",4,4,4,4
"33054",4,7,5,5
"33055",4,6,5,5
"33056",7,5,5,5
"33057",1,2,3,2
"33058",7,4,4,4
"33059",7,6,6,5
"33060",7,6,6,6
"33061",6,5,5,5
"33062",7,6,5,5
"33063",8,6,5,5
"33064",4,5,4,5
"33065",1,1,1,1
"33066",2,7,7,5
"33067",7,6,5,4
"33068",4,4,4,4
"33069",4,8,6,6
"33070",4,3,3,3
"33071",2,1,2,2
"33072",5,4,4,4
"33073",7,4,5,5
"33074",6,5,4,4
"33075",7,6,5,6
"33076",8,6,6,5
"33077",6,5,4,4
"33078",1,1,1,1
"33079",5,2,2,2
"33080",6,3,2,2
"33081",8,6,4,4
"33082",8,6,2,2
"33083",8,5,3,5
"33084",4,5,5,5
"33085",3,4,4,3
"33086",3,2,5,3
"33087",6,4,5,5
"33088",8,5,4,3
"33089",8,5,5,5
"33090",8,6,5,6
"33091",8,5,5,4
"33092",9,1,1,2
"33093",2,5,8,6
"33094",3,5,8,4
"33095",3,5,8,3
"33096",3,5,8,3
"33097",4,6,8,5
"33098",4,7,5,3
"33099",4,5,8,3
"33100",3,5,8,5
"33101",8,5,5,3
"33102",8,5,5,2
"33103",4,5,8,4
"33104",7,5,4,2
"33105",9,5,5,2
"33106",8,4,5,3
"33107",8,4,5,2
"33108",7,4,6,2
"33109",2,7,8,5
"33110",2,6,6,5
"33111",4,8,6,3
"33112",4,6,7,3
"33113",8,4,8,6
"33114",4,6,9,6
"33115",8,8,7,9
"33116",8,4,5,1
"33117",4,7,8,4
"33118",8,4,3,2
"33119",8,4,5,2
"33120",9,4,5,5
"33121",8,5,3,2
"33122",9,4,3,2
"33123",0,6,9,7
"33124",1,5,7,5
"33125",2,8,8,7
"33126",1,5,5,5
"33127",7,5,4,1
"33128",2,8,8,7
"33129",3,5,5,8
"33130",5,6,6,4
"33131",2,4,3,2
"33132",2,8,7,6
"33133",8,2,2,1
"33134",8,2,2,1
"33135",2,8,7,1
"33136",3,8,7,1
"33137",5,7,8,4
"33138",1,7,9,5
"33139",2,5,7,5
"33140",3,5,6,3
"33141",3,5,8,4
"33142",8,4,5,3
"33143",3,7,8,3
"33144",3,5,7,6
"33145",5,6,6,3
"33146",8,5,4,2
"33147",3,8,7,2
"33148",8,4,4,2
"33149",8,4,4,2
"33150",3,8,6,3
"33151",5,7,8,4
"33152",4,8,6,4
"33153",2,4,8,5
"33154",3,4,7,6
"33155",3,5,7,6
"33156",2,4,5,4
"33157",3,5,7,4
"33158",4,6,7,4
"33159",3,6,5,5
"33160",3,5,5,4
"33161",4,6,7,5
"33162",3,8,6,5
"33163",5,5,6,5
"33164",3,8,6,5
"33165",3,6,5,5
"33166",5,6,7,5
"33167",6,8,7,5
"33168",2,5,8,5
"33169",4,5,7,5
"33170",3,5,8,5
"33171",2,7,8,5
"33172",3,8,7,6
"33173",3,5,7,5
"33174",2,5,8,5
"33175",2,8,7,6
"33176",3,7,8,5
"33177",2,6,8,5
"33178",2,5,8,6
"33179",3,5,8,5
"33180",4,6,7,4
"33181",2,7,8,6
"33182",2,5,7,4
"33184",5,6,6,4
"33185",3,6,5,4
"33186",6,4,4,3
"33187",7,6,6,3
"33188",0,8,3,0
"33189",0,10,1,5
"33190",4,8,5,5
"33191",7,4,4,4
"33192",10,3,3,2
"33193",4,4,6,3
"33194",10,3,5,0
"33195",10,1,2,0
"33196",4,5,6,4
"33197",7,4,3,3
"33198",2,9,9,7
"33199",3,2,8,7
"33200",0,1,3,2
"33201",3,6,9,7
"33202",2,2,6,1
"33203",7,2,4,1
"33204",3,4,7,5
"33205",3,7,7,5
"33206",8,1,3,2
"33207",2,5,5,6
"33208",10,2,4,2
"33209",2,8,5,9
"33210",3,4,8,5
"33211",8,5,5,3
"33212",9,1,5,3
"33213",4,5,5,4
"33214",5,6,5,6
"33215",0,5,5,5
"33216",4,6,6,5
"33217",5,6,6,6
"33218",0,6,5,7
"33219",3,3,3,2
"33220",1,7,6,2
"33221",7,5,5,3
"33222",3,5,5,2
"33223",5,5,6,5
"33224",3,9,5,5
"33225",2,5,5,7
"33226",5,4,4,4
"33227",8,5,4,2
"33228",2,2,5,0
"33229",4,5,5,5
"33230",5,5,5,5
"33231",4,6,5,4
"33232",5,5,5,5
"33233",0,5,10,10
"33234",4,6,4,4
"33235",4,7,5,0
"33236",7,4,4,3
"33237",6,7,7,2
"33239",7,5,4,5
"33240",7,6,5,4
"33241",6,5,5,5
"33242",5,5,5,7
"33243",4,5,5,5
"33244",3,6,6,5
"33245",3,6,8,5
"33246",8,7,6,5
"33247",8,5,3,3
"33248",8,5,3,3
"33249",4,6,9,5
"33250",3,7,2,6
"33251",2,8,2,5
"33253",7,5,4,3
"33254",7,6,5,5
"33255",7,4,3,3
"33256",7,5,4,3
"33257",7,6,5,4
"33258",5,6,8,3
"33259",4,6,6,5
"33260",4,6,6,5
"33261",5,8,6,5
"33262",6,7,6,6
"33263",8,6,5,5
"33264",6,6,6,5
"33265",8,5,3,3
"33266",7,6,6,4
"33267",6,7,6,5
"33268",5,6,7,5
"33269",5,8,6,4
"33270",6,6,6,6
"33271",7,5,5,5
"33272",8,6,6,5
"33273",4,5,6,7
"33274",4,7,7,6
"33275",4,5,7,6
"33276",5,6,7,6
"33277",5,8,6,6
"33278",4,7,6,5
"33279",5,6,4,5
"33280",6,7,6,5
"33281",4,7,5,5
"33282",6,5,4,4
"33283",4,8,8,7
"33284",7,6,5,5
"33285",7,2,4,3
"33286",8,6,5,5
"33287",7,6,4,4
"33288",4,4,5,6
"33289",6,5,8,5
"33290",4,6,6,5
"33291",5,5,6,5
"33292",4,5,6,5
"33293",3,8,6,5
"33294",5,5,4,4
"33295",7,4,5,4
"33296",7,5,5,4
"33297",7,5,6,5
"33298",8,6,5,5
"33299",4,8,6,5
"33300",8,4,4,3
"33301",4,7,5,5
"33302",8,3,4,3
"33303",2,3,5,2
"33304",4,4,6,4
"33305",2,4,4,3
"33306",5,4,7,4
"33307",5,6,6,6
"33308",6,5,5,5
"33309",7,4,5,3
"33310",7,4,5,3
"33311",1,3,2,1
"33312",5,5,4,4
"33313",5,7,5,4
"33314",3,1,2,1
"33315",4,2,3,3
"33316",2,7,6,5
"33317",7,1,1,1
"33318",6,4,8,4
"33319",7,6,5,4
"33320",4,7,6,6
"33321",5,7,8,6
"33322",5,6,8,6
"33323",4,6,6,5
"33324",4,6,8,5
"33325",6,6,5,5
"33326",5,8,7,5
"33327",8,3,3,2
"33328",6,8,7,6
"33329",8,2,3,4
"33330",8,2,3,2
"33331",6,7,6,5
"33332",7,1,5,1
"33333",5,5,5,4
"33334",5,5,8,6
"33335",7,7,7,6
"33336",4,5,5,5
"33337",3,7,5,4
"33338",4,7,6,3
"33339",5,5,5,4
"33340",5,8,6,5
"33341",4,7,5,5
"33342",7,5,6,4
"33343",6,6,5,5
"33344",4,8,6,5
"33345",5,8,6,4
"33346",4,6,5,5
"33347",8,4,4,3
"33348",4,5,5,4
"33349",4,4,5,5
"33350",5,5,4,4
"33351",6,7,7,5
"33352",5,7,7,6
"33353",5,5,6,4
"33354",7,5,5,5
"33355",5,6,7,6
"33356",2,2,1,1
"33357",2,6,3,2
"33358",7,4,4,2
"33359",6,8,7,4
"33360",7,3,3,2
"33361",5,5,6,4
"33362",7,6,5,5
"33363",3,6,8,4
"33364",5,5,5,5
"33365",4,4,5,4
"33366",6,5,5,5
"33367",5,5,5,4
"33368",6,6,5,5
"33369",8,6,5,4
"33370",4,6,7,5
"33371",7,6,5,5
"33372",4,5,5,5
"33373",8,6,5,4
"33374",7,4,3,2
"33375",6,7,7,5
"33376",7,5,5,5
"33378",5,5,5,5
"33379",5,6,7,5
"33380",4,8,7,4
"33381",7,4,4,4
"33382",6,5,5,5
"33383",4,8,2,7
"33384",7,5,5,5
"33385",4,8,6,6
"33386",8,5,6,5
"33387",7,6,5,4
"33388",4,7,6,6
"33389",7,5,5,5
"33390",8,7,6,6
"33391",7,6,5,4
"33392",6,8,6,6
"33393",4,6,8,3
"33394",4,8,7,2
"33395",5,7,8,5
"33396",5,8,6,4
"33397",5,8,6,4
"33398",4,7,5,4
"33399",6,5,4,4
"33400",5,7,9,4
"33401",7,6,5,4
"33402",8,3,4,2
"33403",7,5,4,3
"33404",7,5,4,3
"33405",7,6,6,6
"33406",6,8,5,5
"33407",6,8,5,4
"33408",5,6,8,3
"33409",4,8,7,3
"33410",5,7,7,5
"33411",7,6,5,6
"33412",4,6,9,5
"33413",4,7,6,5
"33414",5,7,8,5
"33415",7,6,5,5
"33416",6,6,8,4
"33417",4,8,7,3
"33418",5,8,6,4
"33419",6,8,5,4
"33420",7,7,6,7
"33421",8,6,6,5
"33422",6,8,5,5
"33423",7,6,4,2
"33424",7,8,6,5
"33425",6,6,5,3
"33426",6,4,4,3
"33427",6,6,5,4
"33428",7,6,5,4
"33429",6,7,5,4
"33430",6,6,7,4
"33431",7,5,4,3
"33432",6,8,6,5
"33433",7,4,9,4
"33434",7,5,6,4
"33435",7,6,5,4
"33436",6,7,6,4
"33437",6,7,5,4
"33438",3,4,8,7
"33439",5,6,5,5
"33440",3,5,7,5
"33441",4,4,7,7
"33442",5,8,3,2
"33443",6,8,8,5
"33444",7,5,4,3
"33445",7,5,5,5
"33446",6,6,8,4
"33447",6,3,5,3
"33448",8,5,2,2
"33449",9,1,5,1
"33450",9,0,5,5
"33451",8,1,4,3
"33452",8,5,5,5
"33453",3,6,5,5
"33454",7,6,6,6
"33455",8,7,7,7
"33456",2,7,6,6
"33457",6,7,6,6
"33458",2,7,6,9
"33459",4,8,6,7
"33460",5,5,8,5
"33461",5,7,7,7
"33462",4,6,10,3
"33463",9,5,5,1
"33464",4,4,7,4
"33465",6,4,5,1
"33466",9,5,5,1
"33467",7,6,6,7
"33468",5,8,7,7
"33469",8,6,5,5
"33470",8,7,6,6
"33471",6,8,5,5
"33472",8,5,5,5
"33473",3,8,7,7
"33474",8,5,5,3
"33475",7,5,4,4
"33476",6,8,5,5
"33477",3,8,7,7
"33478",8,6,5,5
"33479",9,7,5,4
"33480",2,8,7,8
"33481",8,5,4,5
"33482",8,7,5,5
"33483",1,6,4,5
"33484",1,5,5,4
"33485",4,6,5,5
"33486",1,4,2,5
"33487",1,3,3,3
"33488",2,8,6,5
"33489",1,8,6,6
"33490",1,6,7,8
"33491",3,3,2,2
"33492",3,5,5,4
"33493",8,3,5,4
"33494",1,3,9,3
"33495",7,3,4,4
"33496",7,4,4,5
"33497",1,9,7,6
"33498",4,5,5,6
"33499",3,6,6,5
"33500",4,5,6,5
"33501",6,5,4,4
"33502",3,8,6,5
"33503",4,6,6,5
"33504",3,3,3,3
"33505",4,7,6,5
"33506",3,9,3,8
"33507",4,8,5,7
"33508",3,4,3,3
"33509",3,5,4,4
"33510",7,4,4,3
"33511",8,4,5,3
"33513",7,8,6,4
"33514",9,2,4,5
"33515",8,5,6,5
"33516",8,5,5,6
"33517",6,5,4,4
"33518",5,8,7,6
"33519",5,4,4,4
"33520",5,4,4,3
"33521",6,5,4,4
"33522",7,4,4,5
"33523",5,4,5,4
"33524",9,6,5,5
"33525",9,5,5,4
"33526",7,5,5,4
"33527",8,4,4,4
"33529",2,2,2,2
"33530",1,1,1,1
"33531",5,5,5,5
"33532",9,1,1,0
"33533",2,5,3,3
"33534",4,4,3,1
"33535",3,3,8,3
"33536",0,5,5,10
"33537",5,5,5,5
"33538",5,4,2,2
"33539",7,9,9,9
"33540",10,0,10,10
"33541",3,1,8,3
"33542",2,3,3,3
"33543",7,7,5,5
"33544",4,7,6,7
"33545",2,6,6,6
"33546",8,3,5,2
"33547",4,5,4,4
"33548",4,4,6,2
"33549",4,5,5,6
"33550",4,4,3,1
"33551",5,5,5,5
"33552",3,2,8,1
"33553",4,4,4,4
"33554",7,4,3,2
"33555",5,4,4,2
"33556",4,4,4,4
"33557",8,5,5,1
"33558",5,5,5,5
"33559",3,5,4,5
"33560",3,4,8,3
"33561",5,5,5,5
"33562",5,3,3,1
"33563",7,1,7,1
"33564",0,3,3,3
"33565",4,4,5,4
"33566",3,5,3,7
"33567",5,3,1,5
"33568",10,6,6,6
"33569",6,10,10,8
"33570",7,6,7,6
"33571",0,8,2,2
"33572",10,5,7,0
"33573",1,9,3,8
"33574",3,9,7,8
"33575",2,3,8,4
"33576",6,2,7,4
"33577",4,2,3,1
"33578",3,7,7,9
"33579",6,7,6,6
"33580",2,4,1,1
"33581",2,8,5,6
"33582",4,3,7,4
"33583",6,5,2,1
"33584",4,2,7,2
"33585",3,7,5,2
"33586",6,6,7,6
"33587",8,2,1,3
"33588",8,0,2,0
"33589",3,7,3,5
"33590",5,5,4,4
"33591",7,3,5,1
"33592",6,2,7,0
"33593",3,2,7,1
"33594",9,2,2,1
"33595",8,1,3,3
"33596",9,2,9,3
"33597",9,3,4,1
"33598",9,3,2,2
"33599",9,1,3,3
"33600",7,2,4,0
"33601",8,3,6,5
"33602",8,4,5,3
"33603",7,1,2,0
"33604",4,10,7,8
"33605",5,7,5,2
"33606",7,1,3,1
"33607",1,4,1,8
"33608",1,8,6,4
"33609",9,6,7,5
"33610",9,1,6,2
"33611",7,0,1,0
"33612",10,5,5,5
"33613",8,6,4,7
"33614",6,2,2,1
"33615",4,2,3,1
"33616",8,1,3,2
"33617",10,0,2,2
"33618",4,6,8,6
"33619",6,7,7,4
"33620",6,6,6,4
"33621",1,7,8,9
"33622",1,9,9,4
"33623",1,7,6,6
"33624",7,4,6,3
"33625",5,7,5,5
"33626",10,0,0,0
"33627",3,7,7,6
"33628",0,10,7,1
"33629",6,2,5,1
"33630",8,3,4,2
"33631",8,3,6,3
"33632",10,4,5,4
"33633",4,6,7,4
"33635",3,5,7,5
"33636",4,6,8,4
"33637",10,3,7,4
"33638",1,1,5,5
"33640",8,3,4,4
"33641",10,3,5,3
"33642",10,2,7,1
"33643",4,7,4,3
"33644",9,5,5,5
"33645",6,5,5,3
"33646",9,5,5,5
"33647",9,5,5,4
"33648",3,7,6,6
"33649",6,6,6,4
"33650",2,9,4,4
"33651",6,7,8,6
"33652",9,3,3,3
"33653",2,7,2,2
"33654",2,5,6,0
"33655",9,1,4,0
"33656",10,0,0,0
"33657",10,3,2,0
"33658",5,6,3,1
"33659",5,6,0,0
"33660",10,0,0,0
"33661",7,6,4,1
"33662",7,3,6,0
"33663",4,6,5,5
"33664",4,6,5,5
"33665",2,3,8,4
"33666",1,6,4,4
"33667",2,8,5,5
"33668",1,4,3,3
"33669",4,5,7,4
"33670",3,7,5,5
"33671",5,8,6,6
"33672",2,4,8,5
"33673",1,7,5,5
"33674",9,1,1,1
"33675",2,2,6,8
"33676",4,9,6,6
"33677",4,7,5,5
"33678",5,6,7,5
"33679",4,8,6,5
"33680",3,7,7,5
"33681",4,5,7,5
"33682",7,8,6,5
"33683",4,5,7,5
"33684",4,6,6,5
"33685",4,8,6,5
"33686",3,5,8,4
"33687",3,7,8,5
"33688",3,7,6,4
"33689",4,8,6,5
"33690",4,5,7,5
"33691",4,8,6,5
"33692",4,6,5,5
"33693",3,6,7,4
"33695",3,5,7,4
"33697",5,5,4,6
"33698",3,6,4,4
"33699",4,6,7,5
"33700",3,9,5,5
"33701",3,6,8,5
"33702",3,8,5,5
"33703",4,6,7,5
"33704",3,8,7,4
"33705",4,6,7,6
"33706",4,8,6,5
"33707",4,6,5,5
"33708",4,4,4,4
"33709",4,8,8,6
"33710",5,7,7,7
"33711",4,7,8,6
"33712",4,8,8,6
"33713",4,6,8,8
"33714",5,7,8,8
"33715",4,7,8,6
"33716",4,6,6,6
"33717",4,7,7,6
"33718",4,8,8,6
"33719",5,5,6,6
"33720",3,6,8,5
"33721",5,7,8,6
"33722",3,4,5,5
"33723",3,3,5,4
"33724",4,4,4,4
"33725",2,2,2,3
"33726",2,2,4,3
"33727",1,3,8,3
"33728",1,8,4,4
"33729",1,8,7,3
"33730",2,3,6,4
"33731",2,6,4,3
"33732",3,3,7,4
"33733",1,7,5,4
"33734",1,4,6,3
"33735",0,8,4,3
"33736",3,4,4,2
"33737",2,5,4,4
"33738",4,6,7,7
"33739",4,5,5,5
"33740",4,5,8,6
"33741",4,6,6,5
"33742",3,3,3,3
"33743",2,4,6,6
"33744",4,7,5,5
"33745",2,4,4,4
"33746",1,3,5,5
"33747",5,5,5,5
"33748",3,6,5,5
"33749",1,2,4,4
"33750",2,4,6,3
"33751",3,5,6,2
"33753",5,6,5,5
"33754",6,4,2,2
"33757",8,4,3,3
"33758",4,8,7,3
"33759",4,4,3,2
"33760",4,2,2,2
"33761",4,3,5,1
"33762",4,4,5,2
"33763",8,4,2,3
"33764",7,2,3,1
"33765",10,1,1,1
"33766",6,3,2,2
"33767",7,3,4,3
"33770",5,5,5,5
"33771",1,2,3,3
"33772",6,3,3,3
"33773",8,3,2,3
"33774",5,5,6,5
"33775",2,3,5,3
"33776",1,9,9,9
"33777",0,0,0,0
"33778",3,2,2,2
"33779",9,1,1,1
"33781",7,3,3,3
"33783",5,5,5,5
"33784",6,2,4,4
"33785",2,2,2,2
"33786",1,1,1,1
"33787",7,6,2,1
"33788",7,6,3,3
"33789",3,5,5,5
"33790",5,5,5,5
"33791",8,3,4,1
"33792",1,2,4,9
"33793",1,1,9,1
"33794",10,6,4,2
"33795",4,5,5,5
"33798",3,6,7,8
"33799",3,7,5,8
"33800",3,8,6,5
"33801",2,4,1,1
"33802",2,2,10,1
"33803",5,7,5,1
"33804",2,5,7,5
"33806",3,5,8,5
"33807",8,3,3,3
"33808",9,7,5,5
"33809",3,8,4,2
"33810",10,0,0,0
"33811",2,8,5,5
"33812",5,2,1,5
"33813",3,2,6,3
"33814",6,3,6,3
"33815",7,5,6,4
"33816",2,4,7,3
"33817",5,3,7,2
"33818",6,2,7,2
"33819",6,4,8,4
"33820",7,3,5,2
"33821",7,2,6,2
"33822",6,3,7,3
"33823",4,4,6,3
"33824",4,7,5,4
"33825",8,4,3,4
"33826",7,3,6,1
"33827",8,2,6,1
"33828",5,5,7,5
"33829",5,4,4,4
"33830",5,4,5,4
"33831",3,8,5,10
"33832",3,8,5,8
"33833",6,5,5,4
"33834",5,4,4,4
"33835",4,5,4,4
"33836",5,3,4,3
"33837",3,7,7,6
"33838",7,5,6,3
"33839",6,5,5,4
"33840",5,2,3,0
"33841",7,4,4,4
"33842",7,6,6,6
"33843",1,7,7,5
"33844",5,6,6,5
"33845",7,6,6,5
"33846",7,8,8,7
"33847",6,8,8,6
"33848",4,5,5,4
"33849",6,7,7,6
"33850",7,5,4,4
"33851",5,7,6,6
"33852",5,6,6,5
"33853",5,7,5,5
"33854",4,7,6,5
"33855",7,5,4,4
"33856",5,7,5,4
"33857",7,5,4,4
"33858",2,5,5,6
"33859",2,2,8,1
"33860",8,3,7,3
"33861",5,8,6,4
"33862",8,4,3,2
"33863",7,3,4,2
"33864",7,3,8,3
"33865",2,8,6,3
"33866",4,3,7,2
"33867",5,7,5,5
"33868",7,3,5,4
"33869",8,2,7,1
"33870",8,2,4,3
"33871",6,8,5,5
"33872",7,2,4,2
"33873",4,6,7,6
"33874",5,4,6,4
"33875",6,4,6,4
"33876",4,7,6,5
"33877",5,3,6,3
"33878",7,2,4,2
"33879",7,1,1,2
"33880",8,2,4,2
"33881",2,1,3,1
"33882",7,3,5,2
"33883",2,8,5,4
"33884",7,2,3,2
"33885",5,6,8,6
