"","cand_A","cand_B","cand_C","cand_F","cand_G"
"53748",7,3,6,5,3
"53749",7,3,5,4,5
"53750",8,4,6,3,5
"53751",8,6,3,5,2
"53752",5,5,5,5,4
"53753",4,5,2,5,2
"53754",0,8,0,8,0
"53755",4,4,2,3,2
"53756",0,10,0,0,0
"53757",6,5,1,1,1
"53758",0,7,0,7,0
"53759",6,0,6,4,6
"53761",8,1,9,5,4
"53762",6,0,5,5,5
"53763",2,2,1,3,0
"53764",3,4,5,4,2
"53765",9,7,2,3,2
"53766",10,0,9,0,8
"53767",5,8,0,1,0
"53768",7,0,1,0,3
"53769",8,5,5,8,5
"53770",8,0,8,0,6
"53771",7,0,6,0,6
"53772",5,5,5,5,5
"53773",4,7,0,3,0
"53774",4,5,0,4,0
"53776",0,8,0,8,0
"53777",4,4,7,5,1
"53778",9,0,8,6,8
"53779",5,5,5,5,5
"53780",5,5,1,5,1
"53781",6,3,3,3,3
"53782",5,8,5,8,5
"53783",10,0,6,1,1
"53784",5,5,5,4,4
"53785",2,5,0,0,0
"53788",0,10,0,3,0
"53789",7,5,4,3,2
"53790",6,10,6,5,5
"53792",6,2,7,4,5
"53794",3,5,0,3,0
"53795",8,5,7,8,6
"53796",6,4,6,4,5
"53797",0,1,0,0,0
"53800",6,2,6,4,5
"53801",1,3,1,2,1
"53802",5,4,7,4,4
"53803",2,3,0,2,1
"53804",5,5,5,5,5
"53805",5,5,3,5,4
"53806",5,3,5,2,1
"53809",8,4,2,0,0
"53810",1,6,0,4,1
"53812",4,4,4,2,2
"53816",10,2,7,3,6
"53817",5,0,5,0,3
"53818",10,0,4,2,3
"53819",8,5,3,6,3
"53820",10,5,5,5,1
"53821",8,4,5,6,7
"53822",4,4,1,3,2
"53824",10,0,1,1,1
"53825",5,5,5,5,5
"53827",8,2,6,5,4
"53828",8,10,5,7,4
"53830",7,6,7,7,8
"53831",3,5,4,2,1
"53835",7,5,0,6,2
"53837",5,5,5,5,5
"53839",6,6,8,7,4
"53840",5,5,5,5,5
"53841",5,5,7,5,5
"53842",1,7,3,9,2
"53843",9,0,7,5,6
"53844",2,2,5,2,2
"53845",5,6,6,6,4
"53846",8,3,6,6,6
"53848",6,6,6,5,5
"53850",6,10,3,6,3
"53851",5,5,5,5,5
"53853",3,6,2,6,2
"53857",0,0,5,0,0
"53858",7,3,9,6,5
"53859",4,5,1,1,1
"53860",6,3,3,3,3
"53861",10,1,5,3,5
"53863",6,5,0,3,2
"53864",6,4,5,6,5
"53865",5,5,5,5,5
"53866",4,0,6,1,2
"53869",5,2,5,8,3
"53870",10,0,10,4,6
"53871",5,5,1,2,1
"53872",6,5,2,4,3
"53873",1,1,1,1,1
"53874",5,8,4,6,4
"53875",10,0,10,0,0
"53876",7,6,6,6,6
"53878",7,0,7,0,0
"53879",8,5,7,5,6
"53881",6,4,4,5,2
"53882",4,6,2,3,1
"53884",2,6,0,1,0
"53885",5,5,6,2,1
"53886",7,5,8,6,8
"53888",5,5,4,4,4
"53891",5,6,5,4,5
"53892",5,3,7,3,3
"53893",3,7,0,6,0
"53894",5,0,10,8,2
"53895",9,2,0,1,0
"53896",1,5,0,8,0
"53897",7,0,5,5,5
"53898",6,4,5,3,1
"53899",9,3,5,5,6
"53900",5,5,5,5,5
"53902",7,5,7,6,5
"53903",5,8,4,4,3
"53904",10,0,5,8,7
"53905",6,3,5,5,5
"53906",7,0,9,5,3
"53907",7,3,7,4,7
"53908",5,5,5,5,5
"53910",5,5,5,5,5
"53911",4,7,0,4,3
"53912",0,10,0,0,0
"53913",5,3,5,4,2
"53914",7,2,8,6,6
"53915",5,5,1,4,3
"53916",4,3,1,5,2
"53917",5,0,5,2,2
"53918",0,3,5,3,1
"53919",6,3,6,5,5
"53920",5,5,5,5,5
"53921",5,5,5,5,5
"53922",4,5,2,5,2
"53923",4,8,0,5,4
"53924",3,7,1,1,1
"53925",5,5,5,5,4
"53926",8,5,5,5,5
"53927",6,5,5,5,5
"53928",6,5,7,6,4
"53929",6,7,5,6,6
"53930",5,6,5,4,1
"53931",7,2,4,6,5
"53932",2,6,4,3,3
"53933",5,5,4,5,1
"53934",3,7,2,5,3
"53936",4,5,0,3,0
"53937",5,4,1,8,3
"53938",5,5,5,5,5
"53940",9,0,8,6,5
"53943",8,0,6,2,3
"53945",8,2,7,1,7
"53946",8,3,6,6,6
"53948",4,7,5,3,2
"53949",0,1,7,10,5
"53950",6,0,6,6,5
"53951",4,6,0,4,1
"53952",5,5,5,5,5
"53953",10,0,8,2,10
"53954",7,0,8,0,7
"53955",8,6,7,7,7
"53956",8,3,5,2,2
"53958",6,3,6,3,6
"53959",0,7,0,3,0
"53960",7,3,4,4,1
"53961",10,2,0,2,0
"53962",9,2,9,6,7
"53964",6,6,6,5,5
"53965",5,5,10,5,5
"53967",6,3,7,5,4
"53970",4,5,1,4,3
"53971",1,5,0,2,1
"53972",6,4,5,5,5
"53973",3,5,0,0,0
"53975",7,3,7,2,6
"53976",5,4,0,6,4
"53978",7,5,7,6,7
"53979",0,0,0,0,0
"53980",8,0,6,2,5
"53981",5,5,5,5,5
"53982",10,0,9,0,8
"53983",8,4,6,3,6
"53985",5,5,4,4,3
"53986",8,7,3,5,4
"53987",3,3,3,1,1
"53988",2,6,2,4,2
"53991",8,0,3,1,2
"53993",6,4,3,5,1
"53994",2,6,0,2,0
"53995",7,5,5,5,5
"53996",7,4,5,3,3
"53998",10,0,9,6,8
"53999",6,5,6,6,6
"54000",7,4,2,6,3
"54001",5,7,4,4,4
"54002",5,4,6,4,3
"54003",10,0,8,5,8
"54004",1,10,4,3,1
"54006",0,0,0,0,0
"54007",4,7,5,5,4
"54008",9,1,6,2,3
"54009",2,0,1,1,2
"54011",5,5,6,5,6
"54012",9,9,6,5,6
"54013",5,4,4,6,4
"54015",6,2,8,5,4
"54016",9,3,9,5,8
"54017",6,3,8,6,1
"54018",6,0,7,5,3
"54019",5,5,5,5,5
"54020",5,0,5,0,5
"54021",6,5,7,6,5
"54023",8,1,8,9,3
"54024",0,4,0,4,0
"54025",4,6,1,3,2
"54027",5,5,5,0,0
"54028",7,5,6,3,2
"54029",10,0,7,5,7
"54030",9,6,2,6,5
"54031",8,3,3,3,3
"54032",8,5,7,6,8
"54033",0,10,0,0,0
"54035",3,3,5,3,3
"54036",5,5,5,5,5
"54037",7,6,3,6,4
"54038",3,7,1,3,0
"54039",5,3,6,3,1
"54040",2,7,1,3,4
"54041",6,7,5,5,3
"54042",7,9,10,9,8
"54043",5,5,5,5,5
"54044",6,3,2,2,1
"54045",5,4,5,3,2
"54046",5,5,5,5,5
"54047",7,3,5,4,4
"54048",2,5,0,6,0
"54050",5,5,5,5,5
"54051",6,6,4,6,6
"54052",8,3,6,5,4
"54053",5,0,8,3,6
"54054",5,3,2,3,2
"54056",5,0,5,3,2
"54057",5,5,3,5,0
"54058",7,0,4,6,5
"54059",6,6,5,5,4
"54060",5,5,5,5,5
"54061",1,1,0,1,0
"54064",5,5,6,5,5
"54066",5,8,1,3,0
"54067",3,6,0,2,1
"54069",5,0,3,3,1
"54070",0,10,0,3,0
"54071",6,3,5,3,4
"54072",1,6,2,4,0
"54073",8,8,5,5,5
"54075",3,4,1,2,1
"54076",5,8,3,7,4
"54077",5,3,5,5,5
"54078",0,0,0,0,0
"54079",3,7,3,4,1
"54080",4,5,3,5,3
"54081",5,5,5,5,5
"54082",5,5,5,5,5
"54083",5,2,4,3,3
"54084",6,7,5,6,4
"54085",5,0,4,2,6
"54088",5,5,5,5,5
"54089",5,5,5,5,5
"54090",6,5,5,8,5
"54091",6,6,5,4,4
"54092",6,5,6,5,6
"54093",4,8,2,2,2
"54094",3,4,3,3,1
"54096",4,6,2,5,5
"54097",5,5,4,4,2
"54099",10,0,5,3,8
"54100",5,10,6,2,0
"54101",5,6,3,6,4
"54102",7,0,5,5,4
"54103",10,5,8,5,5
"54105",6,10,0,5,0
"54108",3,8,3,6,3
"54109",8,4,6,2,3
"54110",6,2,8,4,3
"54111",5,5,5,5,5
"54112",2,2,1,1,1
"54114",7,4,5,5,5
"54115",6,0,1,0,1
"54116",6,4,5,4,4
"54117",8,3,5,1,8
"54118",7,5,7,6,7
"54122",5,5,5,5,5
"54123",5,3,5,4,2
"54124",7,9,3,4,5
"54125",5,3,5,5,5
"54126",5,5,0,0,0
"54127",4,6,2,2,0
"54128",8,5,6,4,5
"54129",8,5,7,5,5
"54132",8,0,5,0,0
"54133",6,5,5,5,5
"54135",4,5,2,2,2
"54136",2,3,0,2,0
"54137",5,5,2,4,3
"54140",3,3,1,1,1
"54141",3,9,0,1,0
"54143",5,5,5,5,5
"54144",7,0,5,5,5
"54145",8,5,6,2,6
"54146",8,0,0,5,0
"54147",10,0,7,1,9
"54148",5,4,3,4,4
"54149",9,2,5,7,5
"54150",6,0,5,5,6
"54151",6,4,6,5,5
"54152",1,1,4,1,1
"54154",10,0,9,3,3
"54155",1,5,0,0,0
"54156",8,1,7,6,6
"54157",5,6,2,4,3
"54158",7,7,5,5,4
"54159",6,0,7,6,5
"54160",4,4,4,4,4
"54161",5,5,6,4,3
"54162",7,1,7,5,5
"54164",7,3,5,4,5
"54165",1,6,1,3,1
"54167",10,3,3,5,5
"54170",3,5,3,5,5
"54171",4,6,1,5,3
"54172",6,6,5,4,4
"54173",5,5,5,5,5
"54174",3,3,0,3,0
"54175",6,3,5,1,3
"54176",7,0,7,4,5
"54177",0,0,0,0,0
"54178",5,7,0,3,1
"54180",5,2,7,5,7
"54181",8,3,6,8,2
"54182",3,7,0,0,0
"54185",5,5,5,5,5
"54186",9,0,7,0,7
"54188",10,0,6,2,5
"54189",10,0,9,3,9
"54190",4,5,3,1,0
"54192",1,4,0,6,0
"54193",1,8,0,5,0
"54195",5,5,5,5,5
"54196",4,5,1,5,3
"54197",5,5,5,5,5
"54201",1,4,0,2,0
"54202",8,0,2,1,3
"54205",5,5,5,5,5
"54207",9,9,1,8,1
"54208",5,6,5,4,2
"54209",2,9,1,2,1
"54210",6,3,0,4,3
"54213",5,5,4,5,3
"54214",4,6,0,3,0
"54215",3,8,3,7,3
"54217",5,0,7,5,5
"54218",5,5,0,0,0
"54219",8,0,8,6,5
"54220",8,1,7,5,6
"54221",6,6,4,4,3
"54222",8,4,6,5,5
"54223",7,7,5,6,5
"54224",6,3,5,0,3
"54225",10,5,8,5,9
"54226",7,2,7,2,8
"54227",5,4,5,3,4
"54228",6,5,4,5,4
"54229",5,5,1,5,1
"54230",5,5,5,5,5
"54231",6,6,2,4,3
"54232",4,5,3,4,4
"54233",5,3,7,5,4
"54235",0,10,0,1,0
"54236",5,5,5,5,5
"54237",7,5,6,4,4
"54238",5,7,5,6,1
"54239",4,7,5,5,2
"54240",5,0,1,4,3
"54241",0,7,1,6,0
"54242",7,3,8,2,1
"54243",5,5,1,1,1
"54245",5,4,7,6,5
"54246",3,3,3,6,1
"54247",5,0,0,0,0
"54248",6,5,5,6,5
"54249",8,3,5,5,3
"54250",5,0,10,2,5
"54252",7,0,8,2,8
"54254",3,3,1,4,2
"54255",6,4,3,3,3
"54256",0,3,0,2,0
"54257",5,5,5,5,5
"54258",5,5,5,5,5
"54259",5,4,6,4,6
"54260",5,5,4,5,4
"54262",7,2,6,5,5
"54263",5,5,5,5,5
"54264",5,5,7,5,0
"54266",5,5,5,0,0
"54268",5,4,5,5,5
"54270",5,6,4,5,4
"54271",0,0,0,0,0
"54272",5,5,3,5,2
"54274",6,4,5,5,5
"54275",0,4,0,2,0
"54276",4,2,4,3,3
"54280",5,7,4,5,4
"54281",6,2,5,3,3
"54282",2,6,0,4,0
"54284",6,0,1,0,0
"54287",0,9,0,4,0
"54288",6,6,5,6,4
"54289",4,5,3,2,1
"54291",4,4,0,2,0
"54292",8,1,8,6,6
"54295",7,0,6,2,6
"54297",5,5,5,5,5
"54298",9,3,9,8,6
"54300",6,4,5,3,4
"54301",1,10,1,6,1
"54303",5,4,6,5,5
"54304",3,3,4,1,0
"54306",7,5,3,4,4
"54307",5,5,4,1,4
"54308",5,5,3,5,3
"54309",4,7,2,5,3
"54310",3,6,4,5,2
"54311",7,3,6,2,7
"54312",7,4,7,6,7
"54313",7,0,8,3,0
"54315",5,6,0,4,1
"54316",8,3,3,5,5
"54317",6,3,6,5,5
"54319",5,5,5,5,5
"54322",2,7,1,6,1
"54323",5,5,5,5,5
"54324",5,5,5,5,5
"54325",8,2,4,6,6
"54326",2,5,0,2,2
"54327",8,4,8,4,8
"54331",4,5,0,5,2
"54332",5,7,0,7,0
"54333",4,8,2,6,2
"54336",6,3,5,5,5
"54338",5,6,3,5,3
"54339",10,0,7,5,7
"54341",7,1,5,1,0
"54342",9,3,8,7,9
"54343",5,2,5,5,5
"54345",5,5,5,5,5
"54346",8,1,8,3,6
"54347",3,5,0,5,0
"54348",5,10,1,3,2
"54350",0,10,0,0,0
"54352",7,2,7,5,5
"54353",5,4,6,5,4
"54355",0,0,0,0,0
"54356",5,5,5,2,2
"54357",7,8,4,6,3
"54358",10,0,5,0,3
"54359",1,9,5,7,5
"54360",4,7,3,5,3
"54361",7,4,4,3,2
"54362",3,7,4,8,0
"54365",8,2,5,5,5
"54367",7,5,2,3,2
"54368",5,5,5,5,5
"54369",7,4,5,5,8
"54370",8,0,5,2,5
"54372",5,5,4,0,0
"54374",7,2,6,5,5
"54375",2,6,0,0,0
"54376",0,7,0,0,0
"54377",4,0,4,3,3
"54378",7,0,9,3,3
"54379",7,3,5,3,5
"54381",5,5,5,5,5
"54382",8,4,5,2,2
"54383",6,2,2,3,2
"54384",4,6,3,5,3
"54387",6,8,5,5,1
"54388",10,6,8,5,6
"54389",5,1,4,2,3
"54390",5,5,3,3,5
"54391",5,5,5,5,4
"54392",5,6,3,6,4
"54396",8,7,3,5,3
"54398",10,10,10,0,0
"54399",4,6,0,5,2
"54400",5,6,3,3,1
"54401",6,4,5,5,4
"54402",10,10,10,10,10
"54403",4,5,1,3,1
"54404",5,6,5,5,3
"54405",7,6,4,4,4
"54406",0,5,5,2,0
"54407",6,6,5,5,5
"54408",4,4,4,4,4
"54409",7,10,5,5,2
"54410",10,0,5,2,2
"54411",10,0,9,5,8
"54412",6,3,0,0,0
"54413",10,0,5,5,4
"54414",8,3,8,7,5
"54415",6,5,5,5,5
"54416",4,3,4,2,2
"54418",6,4,5,3,2
"54419",7,3,6,4,3
"54420",5,6,0,4,1
"54422",10,0,10,2,8
"54424",8,3,7,4,2
"54425",7,5,7,6,7
"54428",7,6,5,6,5
"54429",2,8,1,5,3
"54430",5,6,3,5,4
"54431",5,0,5,0,5
"54432",6,4,3,4,4
"54433",5,2,5,3,1
"54434",8,0,5,5,5
"54435",8,2,8,5,5
"54436",7,3,5,5,5
"54437",6,3,0,5,6
"54438",7,0,6,3,5
"54439",2,8,1,3,1
"54440",8,0,8,4,5
"54441",8,6,7,4,7
"54442",5,5,5,5,5
"54443",6,0,8,3,3
"54444",8,0,6,2,8
"54445",5,3,4,3,4
"54446",4,3,4,2,1
"54447",8,2,7,3,2
"54449",5,5,0,4,0
"54450",7,2,4,4,5
"54451",3,1,3,3,1
"54452",6,1,3,3,3
"54453",6,3,7,6,5
"54454",5,1,2,4,3
"54455",5,5,8,5,5
"54456",5,6,0,2,1
"54457",0,5,0,0,0
"54458",5,5,5,5,3
"54459",10,0,10,5,5
"54460",7,5,4,7,4
"54461",3,4,2,3,2
"54462",10,3,6,3,6
"54463",5,5,5,5,5
"54464",1,5,1,5,1
"54465",5,5,2,5,2
"54466",4,3,4,4,0
"54467",3,5,6,5,0
"54470",8,2,0,0,0
"54471",7,3,5,5,6
"54472",7,8,6,6,5
"54473",1,6,1,4,2
"54474",8,5,5,4,4
"54476",6,4,7,4,3
"54477",5,6,4,2,0
"54478",5,0,0,0,0
"54479",6,4,5,5,5
"54480",5,5,5,5,5
"54481",10,0,3,8,8
"54482",5,5,5,5,5
"54484",5,5,4,4,3
"54485",5,5,5,5,5
"54486",10,5,7,3,7
"54487",5,4,3,5,4
"54488",9,4,3,2,1
"54489",6,3,5,5,5
"54490",7,6,8,6,7
"54491",6,2,0,1,0
"54492",8,8,3,7,5
"54494",8,6,5,6,6
"54496",3,6,3,7,2
"54498",5,3,4,5,3
"54499",6,3,8,3,5
"54500",6,2,7,5,6
"54501",7,4,8,6,3
"54502",10,2,7,5,9
"54505",0,3,2,5,0
"54507",10,0,8,0,5
"54510",6,1,3,4,1
"54511",7,1,6,4,3
"54512",4,5,0,0,0
"54513",5,8,1,4,3
"54514",6,6,6,6,6
"54515",8,2,5,1,2
"54517",7,2,9,5,5
"54519",6,5,6,5,5
"54520",5,5,5,5,5
"54522",5,5,0,5,0
"54523",5,5,5,4,0
"54524",2,3,0,1,0
"54525",10,3,9,8,8
"54526",4,6,2,5,2
"54527",5,5,2,4,2
"54528",7,10,0,3,5
"54529",4,4,4,4,4
"54530",0,9,1,5,2
"54531",4,4,3,4,3
"54532",8,2,6,3,6
"54533",5,5,5,5,5
"54534",9,5,8,3,5
"54536",7,7,5,7,3
"54538",8,3,6,2,5
"54539",9,5,8,7,7
"54540",0,10,1,5,0
"54541",7,4,3,5,5
"54543",4,4,4,3,2
"54544",7,4,3,3,3
"54545",4,4,4,4,4
"54547",7,4,6,6,6
"54548",5,5,5,5,5
"54549",6,5,8,3,3
"54550",6,5,1,1,1
"54552",2,7,0,5,0
"54553",5,7,2,6,1
"54554",9,2,8,2,6
"54555",7,0,8,2,7
"54557",7,4,5,5,6
"54558",7,3,4,5,2
"54560",5,6,1,3,1
"54561",0,9,0,0,0
"54562",5,5,2,3,3
"54564",4,4,1,6,0
"54565",3,7,0,5,5
"54566",3,0,8,3,5
"54567",4,4,5,4,4
"54569",6,5,7,6,5
"54570",4,4,6,3,4
"54572",5,5,3,3,3
"54573",4,7,5,5,5
"54574",6,6,3,4,4
"54576",6,2,6,5,3
"54577",1,5,0,2,0
"54578",5,3,0,2,4
"54579",5,7,4,7,5
"54580",8,6,3,7,3
"54581",7,6,7,7,6
"54582",5,5,5,5,5
"54584",5,5,5,5,5
"54585",10,0,4,3,5
"54586",7,3,8,6,4
"54587",5,5,1,4,3
"54588",5,5,5,5,5
"54589",4,6,3,6,3
"54590",5,5,5,5,5
"54591",5,5,5,5,5
"54592",6,0,6,2,5
"54593",4,6,2,5,3
"54595",8,3,7,5,6
"54596",5,6,3,4,3
"54597",8,1,8,3,1
"54598",4,6,0,3,1
"54599",7,6,6,6,6
"54600",4,0,6,4,5
"54601",6,0,5,4,3
"54604",7,3,2,2,2
"54606",7,8,5,3,1
"54607",5,5,5,5,5
"54608",3,6,5,5,5
"54609",0,9,0,0,0
"54611",7,7,7,7,7
"54612",8,4,5,2,4
"54613",3,7,8,5,4
"54615",4,5,3,4,3
"54616",6,3,7,5,5
