,A,B,C,D,E,F,G
v109,0.5,0.7,0.4,0.5,0.1,0.5,0.5
v110,0.3,0.1,0.4,0.0,0.1,0.7,0.2
v111,0.9,0.0,0.8,0.0,0.0,0.0,0.3
v112,0.0,0.6,0.0,0.7,1.0,0.5,0.0
v113,0.1,0.7,0.1,0.2,0.5,0.5,0.1
v114,0.1,0.9,0.2,0.0,0.5,0.6,0.4
v115,1.0,0.0,0.9,0.0,0.2,0.0,0.9
v116,0.1,0.0,0.2,0.0,0.5,0.2,0.4
v117,0.9,0.0,0.9,0.0,0.0,0.0,0.8
v118,1.0,0.0,1.0,0.0,0.7,0.3,0.5
v119,0.0,,0.0,0.0,0.0,0.0,0.0
v120,0.9,0.3,1.0,0.0,0.0,0.2,0.1
v121,0.5,0.0,1.0,0.1,0.3,0.4,0.2
v122,0.9,0.5,0.9,0.2,0.6,0.6,0.7
v123,1.0,0.0,0.5,0.3,0.0,0.0,0.5
v124,0.0,0.0,0.0,0.0,0.4,0.3,0.0
v125,1.0,0.0,0.7,0.0,0.0,0.0,0.8
v126,0.0,0.0,0.0,0.1,0.0,0.0,0.1
v127,1.0,0.0,0.8,0.0,0.7,0.1,0.8
v128,0.2,0.4,0.6,0.2,0.5,0.5,0.4
v129,0.0,1.0,0.0,0.0,0.5,1.0,0.0
v130,0.5,0.0,0.3,0.0,0.0,0.0,0.3
v131,1.0,0.0,0.7,0.0,0.5,0.0,0.5
v132,0.4,0.0,0.5,0.0,0.5,0.4,0.6
v133,0.6,0.1,0.8,0.2,0.7,0.1,0.6
v134,1.0,0.0,0.8,0.1,0.2,0.0,0.4
v135,0.5,0.5,0.3,0.0,0.0,0.5,0.1
v136,0.8,0.0,0.6,0.0,0.4,0.2,0.4
v137,0.5,0.0,0.7,0.0,0.2,0.4,0.6
v138,0.8,0.2,0.8,0.0,0.2,0.3,0.5
v139,0.6,0.0,0.9,0.0,0.2,0.0,0.5
v140,0.2,0.4,0.2,0.5,0.3,0.2,0.2
v141,1.0,0.0,0.8,0.0,0.4,0.2,0.5
v142,0.0,1.0,0.0,0.5,0.4,0.9,0.0
v143,0.0,0.1,0.1,0.0,0.0,0.0,0.1
v144,0.2,0.3,0.3,0.4,0.1,0.3,0.3
v145,1.0,0.0,1.0,0.0,0.0,0.0,0.1
v146,0.5,0.8,0.5,0.4,0.5,0.4,0.4
v147,1.0,0.0,1.0,0.0,0.3,0.1,0.4
v148,0.2,0.7,0.4,0.4,0.4,0.7,0.2
v149,1.0,0.0,1.0,0.0,0.0,0.0,0.5
v150,0.6,0.1,0.8,0.0,0.6,0.2,0.5
v151,0.7,,0.7,0.3,0.7,,
v152,0.5,0.7,0.6,0.4,0.8,0.8,0.0
v153,0.4,0.4,0.3,0.5,0.5,0.5,0.4
v154,0.0,0.5,0.0,0.0,0.0,0.2,0.0
v155,0.0,0.0,0.4,0.0,0.9,0.3,0.0
v156,0.1,0.3,0.5,0.1,0.7,0.3,0.5
v157,0.1,0.1,0.3,0.2,0.2,0.3,0.3
v158,0.2,0.3,0.3,0.2,0.6,0.5,0.2
v159,0.3,0.3,0.1,0.3,0.3,0.3,0.3
v160,,,,1.0,1.0,,
v161,0.3,0.0,0.3,0.0,0.0,0.0,0.3
v162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v163,0.0,0.0,0.0,0.1,0.5,0.0,0.0
v164,0.4,0.4,0.4,1.0,0.7,0.7,0.7
v165,0.2,0.0,1.0,0.0,0.3,0.0,0.0
v166,0.6,0.2,1.0,0.2,0.5,0.4,0.8
v167,0.0,0.7,0.1,0.6,0.7,0.6,0.0
v168,0.4,0.2,0.4,0.0,0.3,0.2,0.3
v169,0.0,0.0,0.5,0.5,1.0,0.0,0.3
v170,0.5,,0.5,0.5,0.5,,0.5
v171,0.0,0.0,0.0,0.0,0.3,0.3,0.0
v172,0.7,0.0,0.8,0.0,0.3,0.3,0.0
v173,0.8,,0.9,0.3,0.6,0.3,0.5
v174,0.8,0.7,0.5,0.0,0.0,0.0,0.2
v175,0.2,0.0,0.2,0.0,0.0,0.0,1.0
v176,0.2,0.7,0.5,0.0,0.3,0.0,0.3
v177,0.7,0.3,0.7,0.0,0.5,0.0,0.9
v178,0.3,0.5,0.4,0.1,0.5,0.5,0.2
v179,1.0,0.0,0.6,0.0,0.5,0.4,0.5
v180,1.0,0.0,0.6,0.0,0.1,0.0,0.5
v181,1.0,0.0,0.6,0.0,0.5,0.0,0.0
v182,1.0,0.0,1.0,0.0,0.1,0.0,0.4
v183,0.8,0.1,1.0,0.0,0.7,0.2,0.5
v184,0.0,0.3,0.3,0.4,0.4,0.1,0.0
v185,0.1,0.2,0.4,0.0,0.5,0.2,0.1
v186,0.5,0.0,0.5,0.0,0.0,0.5,0.5
v187,0.1,0.5,0.7,0.3,0.4,0.4,0.3
v188,0.8,0.7,0.6,0.6,0.8,,0.8
v189,0.0,0.5,0.5,0.5,0.4,0.3,0.0
v190,0.5,0.0,0.7,0.0,0.0,0.1,0.3
v191,0.0,1.0,0.3,0.5,0.1,0.7,0.0
v192,0.8,0.0,0.6,0.2,0.3,0.0,0.4
v193,0.0,0.3,0.3,0.0,0.3,0.8,0.3
v194,0.1,0.5,0.5,0.2,0.5,0.6,0.2
v195,1.0,0.0,0.9,0.1,0.4,0.1,0.6
v196,0.5,0.0,0.5,0.2,0.2,0.0,0.3
v197,0.2,0.3,0.4,0.0,0.3,0.4,0.1
v198,0.7,0.3,1.0,0.4,0.3,0.2,0.5
v199,1.0,0.0,0.9,0.0,0.4,0.0,0.6
v200,0.3,0.3,0.3,0.8,0.0,0.3,0.3
v201,1.0,0.0,0.9,0.5,0.2,0.0,0.9
v202,0.0,0.8,0.0,0.9,0.2,0.7,0.0
v203,1.0,0.0,1.0,0.5,0.5,0.3,0.7
v204,0.3,0.3,0.9,0.0,0.2,0.6,0.4
v205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v206,0.0,0.0,0.0,0.8,0.2,0.0,0.0
v207,1.0,0.0,0.8,0.0,0.0,0.0,1.0
v208,0.0,1.0,0.1,0.3,0.5,0.5,0.2
v209,0.4,1.0,0.7,0.1,0.7,0.3,0.1
v210,0.7,0.1,1.0,0.0,0.4,0.1,0.4
v211,0.1,1.0,0.5,0.3,0.8,0.3,0.1
v212,0.1,1.0,0.3,0.3,0.5,0.4,0.2
v213,0.0,0.2,0.3,0.3,0.5,0.3,0.2
v214,0.2,0.4,0.2,0.4,0.9,0.6,0.6
v215,1.0,0.0,0.8,0.0,0.2,0.0,0.1
v216,0.3,0.0,0.4,0.1,0.0,0.3,0.1
v217,0.7,0.0,0.7,0.0,0.3,0.0,1.0
v218,0.0,1.0,0.0,0.2,0.0,0.7,0.1
v219,0.8,0.1,0.5,0.0,0.2,0.0,0.2
v220,1.0,0.0,0.9,0.0,0.0,0.0,0.7
v221,1.0,0.0,1.0,0.5,0.5,0.0,0.5
v222,0.6,0.0,0.2,0.0,0.4,0.6,0.6
v223,1.0,0.0,1.0,0.0,1.0,0.0,1.0
v224,0.4,0.5,0.3,0.3,0.4,0.4,0.5
v225,0.5,0.6,0.4,0.1,0.6,0.4,0.1
v226,0.6,0.0,0.0,0.0,0.0,0.0,0.0
v227,0.7,0.0,0.7,0.0,0.2,0.2,0.4
v228,0.6,0.0,0.7,0.1,0.1,0.0,0.1
v229,1.0,0.0,0.7,0.1,0.1,0.0,0.7
v230,0.0,0.0,0.0,0.0,0.5,0.5,0.0
v231,0.0,0.5,0.0,0.5,1.0,0.5,0.0
v232,0.2,0.2,0.8,0.2,0.5,0.2,0.5
v233,0.3,0.4,0.6,0.4,0.5,0.4,0.5
v234,0.9,0.2,0.8,0.1,0.4,0.3,0.6
v235,0.1,1.0,0.2,0.9,0.6,0.8,0.1
v236,1.0,0.0,0.8,0.1,0.3,0.0,0.5
v237,0.3,0.0,0.4,0.0,0.3,0.0,0.2
v238,1.0,0.0,0.8,0.0,0.2,0.0,1.0
v239,1.0,0.0,0.0,0.0,0.5,0.0,1.0
v240,1.0,0.2,1.0,0.1,0.0,0.3,0.3
v241,0.5,0.1,0.7,0.2,0.3,0.5,0.4
v242,0.2,0.0,0.1,0.0,0.0,0.0,0.0
v243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v244,0.0,0.7,0.1,0.0,0.0,0.2,0.2
v245,0.0,0.5,0.4,0.5,1.0,0.7,0.4
v246,0.0,0.6,0.3,0.7,0.8,0.9,0.1
v247,0.0,0.6,0.5,0.0,0.9,1.0,0.1
v248,0.6,0.3,0.6,0.3,0.3,0.3,0.4
v249,0.1,0.1,0.2,0.8,0.6,0.5,0.1
v250,0.3,1.0,0.7,0.0,0.5,0.1,0.0
v251,0.1,0.0,0.2,0.2,1.0,0.5,0.0
v252,0.0,1.0,0.0,0.0,0.3,0.9,0.0
v253,1.0,0.0,1.0,0.0,0.0,0.0,1.0
v254,1.0,0.0,0.9,0.0,0.2,0.0,1.0
v255,1.0,0.0,1.0,0.0,0.2,0.0,0.8
v256,0.5,0.5,0.7,0.4,0.6,0.4,0.4
v257,0.3,0.1,0.5,0.0,0.0,0.0,0.3
v258,0.6,0.3,0.4,0.6,0.5,0.4,0.4
v259,0.1,0.1,0.1,0.2,0.2,0.3,0.2
v260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v261,0.0,0.4,0.0,0.4,0.7,1.0,0.4
v262,1.0,0.0,0.7,0.0,0.2,0.2,0.5
v263,0.2,0.9,0.3,0.4,0.5,0.6,0.2
v264,1.0,0.0,0.6,0.0,0.2,0.3,0.5
v265,0.2,0.8,0.3,0.4,0.3,0.5,0.2
v266,0.6,0.0,0.4,0.1,0.5,0.4,0.4
v267,0.5,0.2,0.6,0.2,0.5,0.4,0.3
v268,1.0,0.0,0.7,0.0,0.0,0.0,0.0
v269,0.8,0.1,0.6,0.3,0.5,0.4,0.2
v270,0.5,0.0,0.6,0.3,0.4,0.4,0.6
v271,0.9,0.0,0.7,0.0,0.3,0.0,0.3
v272,0.7,0.0,0.8,0.0,0.3,0.4,0.4
v273,0.1,0.9,0.4,1.0,0.4,0.4,0.3
v274,0.0,0.5,0.0,1.0,0.7,0.5,0.0
v275,0.5,0.3,1.0,0.5,0.4,0.6,0.5
v276,0.6,0.6,0.6,0.4,0.3,0.3,0.0
v277,0.8,0.0,0.8,0.0,0.2,0.0,0.8
v278,0.7,0.0,0.7,0.0,0.0,0.0,0.3
v279,0.2,0.0,0.3,0.0,0.0,0.0,0.1
v280,0.0,0.6,0.1,0.9,0.8,0.6,0.0
v281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v282,0.8,0.2,0.7,0.1,0.1,0.3,0.5
v283,0.0,0.0,0.2,0.0,0.4,0.2,0.4
v284,0.5,1.0,0.3,1.0,0.5,0.0,0.3
v285,0.8,0.0,0.3,0.0,0.0,0.0,0.9
v286,0.0,1.0,0.0,0.4,0.2,0.9,0.0
v287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v288,0.0,0.0,0.0,0.9,0.7,0.1,0.0
v289,0.6,0.6,0.8,0.5,0.7,0.7,0.6
v290,0.9,0.0,0.9,0.0,0.0,0.0,0.4
v291,0.0,0.8,0.0,0.8,0.6,0.7,0.0
v292,0.0,1.0,0.0,1.0,0.5,0.2,0.0
v293,0.0,0.7,0.0,0.7,0.5,0.2,0.0
v294,0.8,0.0,0.9,0.0,0.1,0.1,0.6
v295,0.0,0.3,0.1,0.2,0.5,0.3,0.1
v296,1.0,0.0,1.0,0.1,0.5,0.5,0.7
v297,0.9,0.1,0.9,0.0,0.0,0.0,0.7
v298,0.8,0.0,0.9,0.0,0.0,0.0,0.8
v299,0.9,0.1,0.9,0.0,0.3,0.1,0.6
v300,0.0,0.3,0.7,0.0,0.3,0.9,0.0
v301,0.0,0.5,0.1,0.9,0.7,0.2,0.0
v302,0.5,0.0,0.0,0.0,0.3,0.6,0.6
v303,0.7,0.0,0.5,0.3,0.4,0.4,0.3
v304,1.0,0.0,1.0,0.0,0.2,0.2,0.2
v305,0.0,0.5,0.0,0.7,1.0,0.8,0.0
v306,0.0,0.8,0.4,0.0,0.6,0.7,0.3
v307,0.0,0.9,0.2,0.3,0.4,0.6,0.0
v308,0.8,0.3,1.0,0.5,0.7,0.5,0.7
v309,0.6,0.3,0.7,0.4,0.6,0.3,0.0
v310,0.2,0.5,0.3,0.6,1.0,0.6,0.4
v311,0.0,0.9,0.0,0.6,0.4,0.7,0.5
v312,0.5,0.3,0.6,0.2,0.8,0.3,0.4
v313,0.0,0.9,0.0,0.1,0.2,0.2,0.0
v314,0.0,1.0,0.0,0.2,0.4,0.9,0.0
v315,0.9,0.0,0.0,0.0,0.5,0.1,0.8
v316,0.0,0.7,0.2,0.9,0.4,0.2,0.3
v317,1.0,0.0,0.6,0.0,0.3,0.0,0.5
v318,0.2,0.0,0.4,0.4,0.6,0.0,0.6
v319,0.8,0.0,0.5,0.0,0.0,0.0,1.0
v320,0.7,0.5,0.7,0.5,0.7,0.8,0.5
v321,0.8,0.3,0.7,0.0,0.5,0.6,0.6
v322,0.7,0.3,0.7,0.1,0.4,0.3,0.0
v323,0.1,0.0,0.1,0.0,0.0,0.0,0.2
v324,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v325,0.9,0.0,1.0,0.0,1.0,0.0,0.9
v326,0.9,0.1,0.8,0.3,0.0,0.1,0.8
v327,0.3,0.0,1.0,0.5,0.1,0.2,0.2
v328,1.0,0.0,1.0,0.0,0.0,0.0,0.3
v329,1.0,0.5,0.4,0.6,0.4,0.3,0.5
v330,0.6,0.6,0.5,0.6,0.4,0.5,0.6
v331,0.3,0.4,0.4,0.2,0.3,0.7,0.3
v332,0.0,1.0,0.2,0.3,0.4,0.3,0.1
v333,0.3,0.3,0.3,0.3,0.5,0.3,0.3
v334,0.0,0.9,0.1,0.3,0.4,0.6,0.0
v335,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v336,0.0,0.4,0.3,0.1,1.0,0.5,0.0
v337,0.0,0.5,0.2,0.7,0.5,0.3,0.0
v338,1.0,0.0,1.0,0.0,0.0,0.0,0.2
v339,0.3,0.0,0.4,0.3,0.0,0.0,0.1
v340,0.7,0.0,0.6,0.1,0.1,0.1,0.3
v341,1.0,0.0,1.0,0.0,0.3,0.0,0.6
v342,0.3,0.5,0.3,0.2,0.8,0.4,0.1
v343,0.0,1.0,0.0,0.0,0.0,1.0,0.0
v344,1.0,0.4,1.0,0.0,0.9,0.3,0.5
v345,0.9,0.0,0.8,0.0,0.0,0.0,0.7
v346,0.5,0.0,0.6,0.0,0.5,0.3,0.3
v347,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v348,0.4,0.2,0.4,0.6,0.4,0.3,0.2
v349,0.2,0.1,0.6,0.1,0.1,0.1,0.1
v350,0.2,1.0,0.3,0.6,0.0,0.1,0.0
v351,0.2,0.7,0.2,1.0,0.7,0.5,0.0
v352,0.8,,0.8,0.2,0.6,0.4,0.6
v353,0.6,0.0,0.8,0.0,0.2,0.3,0.4
v354,0.1,1.0,0.3,0.2,0.4,0.3,0.2
v355,1.0,0.0,0.8,0.0,0.0,0.0,0.2
v356,,0.0,1.0,0.0,0.2,0.0,0.4
v357,0.6,0.0,0.6,0.0,0.3,0.4,0.5
v358,0.4,0.4,0.9,0.5,0.6,0.1,0.1
v359,0.5,,0.7,0.3,0.5,0.5,0.5
v360,0.6,0.2,0.9,0.0,0.3,0.1,0.5
v361,0.5,0.5,0.5,0.0,0.3,1.0,0.2
v362,0.0,1.0,0.1,0.5,0.5,1.0,0.0
v363,0.5,0.2,0.4,0.0,0.3,0.1,0.1
v364,0.3,0.3,0.3,0.3,1.0,0.3,0.3
v365,0.0,1.0,0.0,0.7,0.4,1.0,0.0
v366,0.0,0.9,0.5,0.0,0.2,0.8,0.0
v367,0.3,0.3,0.7,0.6,0.6,0.4,0.7
v368,1.0,0.0,0.5,0.0,0.1,0.0,0.3
v369,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v370,0.2,0.5,0.3,0.3,0.5,1.0,0.3
v371,,0.4,1.0,0.0,0.3,0.1,1.0
v372,0.4,0.3,0.4,0.2,1.0,0.6,0.2
v373,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v374,0.4,0.0,1.0,0.0,0.4,0.1,0.4
v375,0.0,0.0,0.0,0.0,0.4,0.0,0.0
v376,0.7,0.0,0.6,0.0,0.8,0.4,0.8
v377,1.0,0.0,0.9,0.0,0.8,0.0,0.7
v378,0.0,0.5,0.4,0.3,0.3,0.2,0.1
v379,1.0,0.1,1.0,0.1,0.5,0.3,0.7
v380,0.7,0.2,0.7,0.2,0.2,0.2,0.7
v381,0.3,0.3,0.3,0.5,0.3,0.2,0.2
v382,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v383,0.0,0.2,0.2,0.4,0.3,,0.3
v384,0.0,0.0,0.0,0.5,1.0,0.9,0.0
v385,1.0,0.0,1.0,0.0,0.5,0.0,1.0
v386,0.1,0.1,0.6,0.0,0.0,0.1,0.1
v387,,0.2,0.5,0.0,0.4,0.0,0.4
v388,0.3,0.5,0.3,0.0,0.6,0.5,0.4
v389,0.2,0.4,0.5,0.0,0.2,0.7,0.2
v390,0.7,0.0,0.3,0.0,0.3,0.0,
v391,0.0,0.5,0.3,0.6,0.3,0.3,0.1
v392,0.4,0.0,0.4,0.2,0.9,0.2,0.2
v393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v394,0.7,0.5,0.7,0.6,0.7,0.5,0.7
v395,0.0,0.0,0.7,0.0,0.0,0.0,0.0
v396,1.0,0.0,1.0,0.0,0.9,0.0,0.9
v397,0.4,0.0,0.0,0.0,0.4,0.0,0.4
v398,0.1,0.0,0.4,0.0,0.2,0.1,0.3
v399,0.7,0.0,0.6,0.4,0.5,0.7,0.5
v400,0.4,0.4,0.4,0.4,1.0,0.4,0.4
v401,0.8,0.3,0.5,0.4,0.5,0.5,0.5
v402,0.0,0.5,0.0,0.7,1.0,0.5,0.0
v403,0.2,0.3,0.4,0.0,0.5,0.3,0.2
v404,0.7,0.2,0.4,0.4,0.5,0.5,0.4
v405,0.7,0.2,0.6,0.0,0.5,0.4,0.4
v406,0.5,0.5,0.5,0.0,0.0,0.2,0.2
v407,0.0,1.0,0.0,0.0,0.3,1.0,0.0
v408,0.3,0.3,0.3,1.0,0.6,0.3,0.3
v409,1.0,0.2,0.7,0.0,0.5,0.5,0.6
v410,1.0,0.0,1.0,0.0,0.5,0.0,0.5
v411,0.2,0.3,0.2,0.2,0.7,0.3,0.3
v412,0.3,0.0,0.3,0.1,0.5,0.1,0.6
v413,0.3,0.0,0.7,0.6,1.0,0.3,0.7
v414,0.5,0.0,0.4,0.2,0.6,0.2,0.5
v415,0.4,0.3,0.4,0.2,0.2,0.4,0.3
v416,0.7,0.0,0.3,0.0,0.2,0.2,1.0
v417,0.9,0.5,0.8,0.7,0.8,0.8,0.9
v418,0.1,0.1,0.1,0.2,0.1,0.1,0.1
v419,0.0,0.2,0.0,0.0,1.0,0.0,0.0
v420,1.0,0.0,1.0,0.0,0.0,0.0,1.0
v421,0.0,0.0,0.0,0.9,0.0,0.0,0.0
v422,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v423,0.8,0.7,0.6,0.7,1.0,0.9,0.8
v424,0.4,,0.5,0.3,0.1,0.6,0.5
v425,0.4,0.0,0.8,0.0,0.7,0.6,0.0
v426,0.6,0.0,0.8,0.0,0.4,0.2,0.5
v427,1.0,0.7,0.8,0.5,,0.5,0.5
v428,0.4,0.4,0.3,0.3,0.4,0.3,0.4
v429,0.0,0.4,0.0,0.4,0.2,0.4,0.2
v430,0.0,0.8,0.0,0.0,0.0,0.0,0.0
v431,,,,,,,0.7
v432,1.0,0.0,0.3,0.0,0.0,0.0,0.8
v433,0.7,0.0,1.0,0.0,0.2,0.3,0.5
v434,0.8,0.0,0.9,0.0,0.3,0.4,0.5
v435,0.3,0.3,0.7,0.5,0.4,0.5,0.3
v436,0.4,0.2,0.4,0.0,0.1,0.0,0.4
v437,1.0,0.0,0.5,0.0,0.4,0.8,0.3
v438,0.3,0.0,0.5,0.5,0.5,0.4,0.2
v439,0.2,0.0,0.3,0.0,0.4,0.1,0.5
v440,1.0,0.0,1.0,0.0,0.2,0.0,0.7
v441,1.0,0.0,1.0,0.0,0.0,0.0,0.9
v442,1.0,0.0,0.9,0.0,0.5,0.4,0.3
v443,0.2,0.2,0.3,0.5,0.4,0.4,0.5
v444,0.7,0.3,0.9,0.1,0.4,0.5,0.4
v445,0.0,1.0,0.0,0.0,0.5,0.4,0.0
v446,0.0,0.5,0.0,1.0,0.4,0.0,0.2
v447,0.0,0.5,0.2,0.7,0.7,0.6,0.0
v448,0.0,0.9,0.0,0.0,0.0,0.0,0.0
v449,0.3,0.0,0.3,0.0,0.5,0.6,0.4
v450,0.3,0.5,0.4,0.4,0.7,0.7,0.6
v451,0.2,0.8,0.2,0.9,0.5,0.8,0.0
v452,0.4,0.0,1.0,0.2,0.3,0.0,0.1
v453,0.9,0.1,0.9,0.0,0.3,0.5,0.4
v454,0.0,1.0,0.0,0.5,0.6,0.6,0.0
