,A,B,C,D,E,F
v449,0.5,0.5,0.3,0.3,0.5,0.5
v450,0.8,0.8,0.4,0.2,0.0,0.5
v451,0.4,0.8,0.6,0.5,0.7,0.4
v452,0.6,0.2,0.0,0.0,0.5,0.4
v453,0.5,0.5,0.1,0.2,0.5,0.3
v454,0.2,0.1,0.0,0.0,0.4,0.3
v455,0.7,0.4,0.6,0.6,0.7,0.4
v456,0.4,0.4,0.1,0.1,0.1,0.4
v457,1.0,0.0,0.0,0.0,0.1,0.4
v458,0.2,0.1,0.2,0.1,0.2,0.2
v459,0.9,0.3,0.2,0.1,0.1,0.5
v460,0.9,0.0,0.0,0.3,0.0,0.8
v461,0.0,0.3,0.8,0.0,0.0,0.2
v462,1.0,0.0,0.0,0.0,0.0,0.0
v463,0.0,0.0,0.0,0.0,0.0,0.0
v464,0.0,0.3,0.3,0.9,0.0,0.0
v465,0.1,0.5,0.1,0.1,0.0,0.0
v466,0.0,0.8,0.0,0.0,0.0,0.0
v467,0.6,0.1,0.0,0.0,0.2,0.2
v468,0.0,0.4,0.3,0.1,0.4,0.6
v469,0.7,0.5,0.3,0.3,0.4,0.4
v470,0.7,0.0,0.0,0.0,0.3,0.1
v471,0.6,0.2,0.1,0.1,0.3,0.5
v472,0.1,0.0,0.0,0.0,0.9,0.3
v473,0.1,0.2,0.9,0.1,0.0,0.0
v474,0.5,0.3,0.0,0.0,0.2,0.4
v475,0.4,0.3,0.1,0.1,0.3,0.7
v476,0.6,0.0,0.0,0.0,0.1,0.0
v477,0.7,0.3,0.0,0.0,0.5,0.4
v478,0.8,0.0,0.0,0.0,0.2,0.1
v479,0.5,0.4,0.5,0.5,0.4,0.4
v480,0.8,0.3,0.3,0.7,0.0,0.5
v481,1.0,0.0,0.0,,,
v482,1.0,0.0,0.0,0.0,0.7,0.4
v483,0.0,0.0,0.0,0.0,0.0,0.0
v484,0.0,0.0,0.0,0.0,0.0,0.0
v485,0.8,0.0,0.0,0.0,0.3,0.0
v486,0.9,0.1,0.0,0.1,0.2,0.8
v487,0.0,0.4,0.0,0.0,0.0,0.0
v488,0.0,0.0,0.0,0.0,0.3,0.2
v489,0.0,0.8,,0.0,0.5,0.4
v490,0.6,0.3,0.0,0.1,0.4,0.5
v491,0.8,0.1,0.0,0.0,0.0,0.6
v492,0.0,0.9,0.0,0.0,0.0,0.2
v493,0.7,0.1,0.0,0.0,0.0,0.1
v494,0.8,0.0,0.0,0.1,0.0,0.2
v495,0.0,1.0,0.4,0.0,0.0,0.0
v496,0.6,0.4,0.0,0.0,0.2,0.3
v497,0.1,0.0,0.2,1.0,1.0,0.0
v498,1.0,0.0,0.0,0.0,0.3,0.1
v499,,,0.0,0.0,0.2,0.2
v500,0.8,0.1,0.0,0.1,0.1,0.1
v501,0.6,0.2,0.0,0.0,0.1,0.2
v502,1.0,0.0,0.0,0.1,0.5,0.7
v503,1.0,0.0,0.0,0.0,0.0,0.6
v504,0.0,0.0,0.3,0.1,0.0,0.0
v505,0.5,0.5,0.0,0.0,0.0,0.0
v506,0.3,0.2,0.0,0.1,0.2,0.1
v507,0.8,0.0,0.0,0.5,0.0,0.5
v508,0.5,0.3,0.0,0.0,0.0,0.7
v509,1.0,0.2,0.0,0.1,0.8,0.6
v510,0.6,0.9,0.1,0.9,0.0,0.1
v511,0.2,0.6,0.0,,0.0,0.1
v512,0.5,0.0,0.0,,0.2,
v513,0.0,0.0,0.0,0.0,0.0,0.0
v514,0.6,0.4,0.0,0.0,0.2,0.2
v515,0.0,0.0,0.0,0.0,0.0,0.0
v516,0.2,0.7,0.3,0.3,0.5,0.7
v517,0.1,0.0,0.0,0.0,0.0,0.0
v518,0.1,0.6,1.0,0.4,0.0,0.0
v519,0.5,0.5,0.3,0.3,0.3,0.4
v520,0.0,0.2,1.0,0.0,0.0,0.0
v521,0.9,0.0,0.0,0.0,0.1,0.0
v522,,0.0,0.0,,,
v523,0.5,1.0,0.7,0.7,1.0,0.6
v524,0.6,0.1,0.0,0.0,0.1,0.3
v525,0.0,0.0,0.0,0.9,0.0,0.0
v526,0.4,0.1,0.0,0.0,1.0,0.2
v527,1.0,0.0,0.0,0.0,0.0,1.0
v528,0.4,0.1,0.0,,0.2,
v529,0.2,0.7,0.0,0.0,0.3,0.3
