,A,B,C,F
v313,0.6,0.4,0.6,0.4
v314,0.4,0.0,0.4,0.0
v315,0.0,0.0,0.0,0.0
v316,0.7,0.0,0.6,0.0
v317,0.3,0.9,0.0,1.0
v318,0.0,0.7,0.0,0.7
v319,1.0,0.0,0.5,0.0
v320,0.7,0.0,0.7,0.0
v321,0.9,0.0,0.8,0.0
v322,0.7,0.6,0.6,0.6
v323,0.8,0.9,0.1,0.9
v324,0.7,0.0,1.0,0.0
v325,0.0,0.0,0.0,0.0
v326,0.6,0.0,0.8,0.2
v327,0.3,0.6,0.0,0.6
v328,0.7,0.0,0.9,0.0
v329,0.5,0.5,0.5,0.5
v330,0.6,0.7,0.0,0.5
v331,0.9,0.0,0.7,0.0
v332,0.8,0.4,0.7,0.2
v333,0.0,0.0,0.0,0.0
v334,0.8,0.9,0.5,0.7
v335,0.8,0.0,0.6,0.0
v336,0.8,0.0,0.8,0.0
v337,0.8,0.3,0.8,0.0
v338,0.9,0.9,0.5,0.7
v339,0.4,0.3,0.1,0.2
v340,1.0,0.0,0.5,0.0
v341,0.6,0.4,0.7,0.0
v342,0.7,0.1,0.8,0.1
v343,0.8,0.3,1.0,0.2
v344,0.5,0.5,0.5,0.5
v345,0.8,0.2,0.9,0.2
v346,0.0,0.6,0.0,0.6
v347,0.7,0.1,0.4,0.1
v348,0.7,0.0,1.0,0.0
v349,0.4,0.8,0.2,0.7
v350,0.5,0.5,0.5,0.5
v351,0.6,0.3,0.7,0.0
v352,0.7,0.3,0.5,0.4
v353,0.5,0.4,0.9,0.2
v354,0.6,0.3,0.5,0.1
v355,0.7,0.0,0.9,0.0
v356,0.5,0.9,0.2,
v357,0.6,1.0,0.0,1.0
v358,0.4,0.4,0.6,0.0
v359,0.7,0.3,0.7,0.2
v360,0.4,0.8,0.3,0.8
v361,0.8,0.0,0.6,0.0
v362,0.5,0.7,0.3,0.7
v363,0.9,0.0,0.0,0.0
v364,0.0,1.0,0.0,1.0
v365,0.9,0.0,0.6,0.3
v366,0.7,0.3,0.6,0.5
v367,0.5,0.1,0.6,0.0
v368,0.5,0.0,0.8,0.0
v369,0.3,0.8,0.0,0.6
v370,0.5,0.0,0.8,0.0
v371,0.8,0.1,1.0,0.1
v372,1.0,0.0,1.0,0.0
v373,0.4,0.6,0.5,0.6
v374,0.8,0.5,0.7,0.2
v375,0.3,0.5,0.0,0.7
v376,0.5,0.4,0.9,0.4
v377,0.8,0.7,0.5,0.6
v378,0.5,0.3,0.1,0.8
v379,0.7,0.1,0.6,0.2
v380,1.0,0.6,0.8,0.4
v381,0.7,0.2,1.0,0.0
v382,0.5,0.9,0.0,1.0
v383,0.4,0.1,0.6,0.1
v384,0.6,0.4,0.8,0.2
v385,0.8,0.0,0.6,0.0
v386,0.5,0.7,0.3,0.9
v387,1.0,0.0,0.8,0.0
v388,0.9,0.8,0.8,0.0
v389,0.8,0.6,0.7,0.2
v390,0.5,0.2,0.5,0.2
v391,0.2,0.9,0.2,0.9
v392,0.0,0.0,0.3,0.0
v393,0.0,1.0,0.0,1.0
v394,0.8,0.0,0.8,0.5
v395,0.0,0.0,1.0,0.0
v396,0.5,0.5,0.5,0.5
v397,0.2,0.5,0.0,0.5
v398,0.4,0.6,0.0,0.7
v399,0.6,0.8,0.1,0.8
v400,0.8,0.2,0.5,0.3
v401,0.9,0.2,0.8,0.0
v402,1.0,0.1,0.4,0.1
v403,0.8,0.2,0.8,0.0
v404,0.9,0.6,0.8,0.4
v405,0.4,0.8,0.1,0.8
v406,1.0,0.1,0.9,0.2
v407,0.0,0.0,0.0,0.0
v408,0.2,1.0,0.0,0.9
v409,0.7,0.2,0.7,0.0
v410,0.2,0.7,0.7,0.6
v411,0.7,0.1,1.0,0.1
v412,1.0,0.4,0.5,0.5
v413,0.3,1.0,0.0,1.0
v414,0.6,0.8,0.3,0.8
v415,0.5,0.0,0.7,0.0
v416,0.5,0.4,0.0,0.0
v417,0.5,0.5,0.5,0.5
v418,0.5,0.3,0.6,0.4
v419,0.6,0.3,0.8,0.2
v420,0.4,0.4,0.1,0.5
v421,0.8,0.1,0.4,0.2
v422,0.3,0.8,0.3,0.4
v423,0.6,0.7,0.7,0.5
v424,1.0,0.0,0.7,0.0
v425,0.8,0.0,0.8,0.1
v426,0.7,0.2,0.5,
v427,0.5,0.5,0.2,0.5
v428,0.6,0.5,0.3,0.4
v429,1.0,0.7,0.5,0.5
v430,0.8,0.5,0.6,0.2
v431,0.4,0.5,0.0,0.4
v432,0.3,0.7,0.0,0.7
v433,0.5,0.8,0.0,0.9
v434,0.8,0.4,0.9,0.3
v435,0.0,0.0,,0.0
v436,0.5,0.9,0.3,0.8
v437,0.6,0.0,0.6,0.0
v438,0.0,1.0,0.3,0.0
v439,0.4,0.8,0.0,0.8
v440,0.5,0.9,0.2,0.7
v441,0.4,0.3,0.3,0.0
v442,0.5,0.0,0.8,0.0
v443,0.5,0.5,0.3,0.5
v444,0.8,0.0,1.0,0.0
v445,0.8,0.0,0.7,0.2
v446,0.5,0.5,0.0,0.3
v447,0.7,0.7,0.0,0.5
v448,0.2,0.5,0.0,0.5
v449,0.1,0.5,0.0,0.6
v450,0.0,1.0,0.5,0.7
v451,0.7,0.3,0.5,0.3
v452,0.6,0.7,0.1,0.5
v453,0.6,0.4,0.8,0.3
v454,0.2,0.6,0.0,0.7
v455,0.9,0.0,0.9,0.2
v456,0.7,0.5,0.4,0.3
v457,0.6,0.5,0.5,0.4
v458,0.5,0.8,0.5,0.8
v459,0.4,0.6,0.0,0.6
v460,0.2,0.8,0.0,0.8
v461,0.5,0.9,0.0,0.6
v462,0.7,0.4,0.8,0.4
v463,0.2,0.2,0.5,0.2
v464,1.0,0.0,0.7,0.0
v465,0.1,0.7,0.0,0.8
v466,1.0,0.2,0.4,0.3
v467,1.0,0.1,0.7,0.1
v468,0.8,0.6,0.4,0.4
v469,0.7,0.6,0.5,0.3
v470,0.8,0.6,0.4,0.4
v471,0.5,0.6,0.3,0.5
v472,1.0,0.0,0.7,0.0
v473,0.5,0.0,1.0,0.0
v474,0.2,0.7,0.0,0.5
v475,0.2,0.8,0.0,0.8
v476,0.3,0.3,0.0,0.3
v477,0.8,0.4,1.0,0.2
v478,0.7,0.4,0.5,0.3
v479,0.5,0.6,0.3,0.7
v480,0.9,0.5,1.0,
v481,1.0,0.8,0.8,0.8
v482,0.7,0.2,0.9,
v483,0.5,0.8,0.5,0.8
v484,0.8,0.0,0.6,0.0
v485,0.5,0.8,0.2,0.8
v486,0.7,0.0,0.8,0.0
v487,0.8,0.0,0.8,0.0
v488,0.8,0.2,0.8,0.2
v489,0.9,0.7,0.0,0.0
v490,0.5,0.8,0.6,0.7
v491,1.0,0.3,0.8,0.3
v492,0.7,0.6,0.8,0.5
v493,0.0,0.8,0.0,0.7
v494,0.8,0.7,0.8,0.0
v495,0.8,0.1,0.9,0.0
v496,0.5,0.5,0.6,0.4
v497,0.0,0.8,0.2,0.7
v498,1.0,0.0,0.8,0.2
v499,0.6,0.4,0.3,0.4
v500,1.0,0.0,1.0,0.0
v501,0.7,0.2,0.0,0.2
v502,0.2,0.5,0.0,1.0
v503,0.0,1.0,0.0,1.0
v504,0.7,0.5,1.0,0.5
v505,0.7,0.4,0.4,0.0
v506,1.0,0.4,1.0,0.2
v507,0.7,0.6,0.8,
v508,0.8,0.0,0.9,0.0
v509,0.1,0.3,0.0,0.3
v510,0.7,0.7,0.5,0.5
v511,0.5,0.3,0.4,0.0
v512,0.8,0.0,0.8,0.0
v513,0.8,0.2,0.5,0.0
v514,0.7,0.0,1.0,0.0
v515,0.8,0.2,0.6,0.3
v516,0.7,0.5,0.5,0.3
v517,0.8,0.0,0.8,0.0
v518,0.7,0.1,0.8,0.1
v519,0.7,0.0,0.8,0.0
v520,0.3,0.5,1.0,0.4
v521,0.6,0.7,0.4,0.5
v522,0.0,0.6,0.0,0.5
v523,0.5,0.5,0.4,0.4
v524,0.1,0.0,1.0,0.0
v525,0.5,1.0,0.8,0.5
v526,0.2,1.0,0.0,1.0
v527,0.4,0.8,0.0,0.9
v528,0.8,0.3,0.8,0.3
v529,0.5,0.0,0.9,0.0
v530,0.8,0.0,0.8,0.0
v531,0.6,0.8,0.6,0.8
v532,0.2,1.0,0.4,0.7
v533,0.5,0.6,0.7,0.5
v534,0.5,0.4,0.4,0.5
v535,0.8,0.3,0.7,0.1
v536,0.5,0.9,0.5,0.8
v537,0.3,0.9,0.7,0.3
v538,0.0,0.8,0.0,0.7
v539,0.6,0.0,0.8,0.0
v540,0.4,0.3,0.2,0.2
v541,0.8,0.9,0.6,0.6
v542,0.9,0.4,0.6,0.4
v543,0.3,1.0,0.0,1.0
v544,0.7,0.7,0.8,0.5
v545,0.0,0.0,0.5,0.0
v546,0.5,1.0,0.0,
v547,0.0,0.0,0.0,0.0
v548,0.4,0.5,0.1,0.3
v549,0.5,0.5,0.5,0.5
v550,0.0,0.0,0.0,0.0
v551,0.8,0.0,0.8,0.0
v552,0.8,0.9,0.6,0.2
v553,0.6,0.6,0.0,0.2
v554,0.1,0.6,0.0,0.7
v555,0.0,0.0,0.0,0.0
v556,0.9,0.0,0.5,0.5
v557,0.0,0.7,0.0,0.7
v558,0.8,0.4,0.7,0.0
v559,1.0,0.0,0.9,0.0
v560,0.0,0.9,0.0,0.9
v561,0.5,0.1,1.0,0.0
v562,0.7,0.3,0.7,0.3
v563,0.6,0.0,0.8,0.1
v564,1.0,0.2,1.0,0.1
v565,0.9,0.3,0.8,0.2
v566,0.6,0.5,0.8,0.4
v567,0.5,0.8,0.5,0.8
v568,0.3,0.8,0.0,0.8
v569,0.7,0.7,0.2,0.7
v570,0.7,0.5,0.6,0.6
v571,0.8,0.0,1.0,0.0
v572,1.0,0.2,0.5,0.0
v573,0.3,0.8,0.0,0.5
v574,0.5,0.0,0.5,0.0
v575,0.4,0.7,0.4,0.3
v576,0.5,0.5,0.7,0.5
v577,0.5,0.0,0.7,0.0
v578,0.1,0.3,0.0,0.5
v579,0.5,0.5,0.5,0.3
v580,0.0,0.0,0.3,0.0
v581,0.9,0.2,1.0,0.1
v582,0.7,0.0,0.8,0.0
v583,0.5,0.4,0.4,0.3
v584,0.8,0.6,,
v585,0.8,0.0,0.0,0.0
v586,0.7,0.3,0.9,0.2
v587,0.5,0.3,0.7,0.5
v588,0.9,0.0,1.0,0.0
v589,0.3,0.1,0.6,0.1
v590,0.4,0.8,0.6,0.5
v591,1.0,0.0,1.0,0.0
v592,0.9,0.0,1.0,0.0
v593,0.6,0.2,0.7,0.0
v594,0.7,0.2,0.7,0.4
v595,0.6,0.1,0.9,0.1
v596,0.3,0.8,0.4,0.6
v597,0.4,0.0,0.8,0.0
v598,0.8,0.4,0.6,0.2
v599,0.1,1.0,0.0,0.9
v600,0.7,0.0,0.7,0.0
v601,0.6,0.1,0.8,0.0
v602,0.6,0.4,0.5,0.4
v603,0.2,0.0,0.1,0.0
v604,0.0,1.0,0.5,0.8
v605,0.3,0.3,0.5,0.2
v606,0.6,0.1,0.8,0.3
v607,0.1,1.0,0.0,0.9
v608,0.8,0.2,0.8,0.1
v609,0.5,0.5,0.8,0.7
v610,0.5,0.8,0.3,0.7
v611,0.4,0.7,0.1,0.6
v612,0.4,0.8,0.3,0.5
v613,0.5,0.3,0.6,0.2
v614,0.0,0.3,0.0,0.6
v615,0.5,0.8,0.1,0.8
v616,0.4,0.2,0.1,0.0
v617,0.5,0.8,0.3,1.0
v618,0.1,0.9,0.0,0.5
v619,0.7,0.0,1.0,0.1
v620,0.7,0.7,0.7,
v621,0.8,0.3,0.5,0.2
v622,0.0,0.0,0.0,0.0
v623,0.2,0.5,0.0,0.7
v624,0.5,0.4,0.4,0.0
v625,1.0,1.0,1.0,0.5
v626,0.8,0.1,0.3,0.2
v627,0.9,0.0,1.0,0.2
v628,1.0,0.0,1.0,0.0
v629,0.7,0.0,0.9,0.1
v630,0.5,0.1,0.4,0.1
v631,0.9,0.1,0.7,0.1
v632,0.5,0.7,0.4,0.7
v633,0.5,0.7,0.5,0.7
v634,0.8,0.4,0.8,0.4
v635,0.0,0.7,0.0,0.5
v636,0.9,0.7,0.7,0.8
v637,0.7,0.0,1.0,0.0
v638,0.6,0.6,0.6,0.7
v639,0.2,0.1,0.0,0.0
v640,0.7,0.1,0.5,0.1
v641,0.2,0.7,0.0,0.5
v642,0.5,1.0,0.0,0.8
v643,0.0,0.5,0.0,0.5
v644,0.5,0.5,0.5,0.5
v645,0.7,0.7,0.8,0.5
v646,0.3,0.7,0.3,0.5
v647,0.5,0.5,0.6,0.0
v648,0.0,0.8,0.0,0.8
v649,0.8,0.0,0.8,0.0
v650,1.0,0.0,0.9,0.0
v651,0.6,0.1,1.0,0.0
v652,1.0,0.0,0.7,0.0
v653,0.7,0.3,0.7,0.3
v654,0.8,0.3,0.4,0.0
v655,0.7,0.6,1.0,0.5
v656,0.3,0.5,0.3,0.3
v657,0.3,0.8,0.0,0.8
v658,0.5,0.7,0.1,0.4
v659,0.7,0.1,0.8,0.1
v660,0.7,0.7,0.5,0.7
v661,0.0,0.5,0.0,0.7
v662,0.9,0.1,0.6,0.1
v663,0.7,0.0,0.9,0.0
v664,0.1,0.8,0.0,0.8
v665,1.0,0.3,0.4,0.9
v666,0.0,0.0,0.0,0.0
v667,0.3,0.7,0.0,0.7
v668,0.8,1.0,0.1,0.9
v669,0.0,0.7,0.9,0.5
v670,0.5,0.8,0.7,0.8
v671,0.6,0.4,0.4,0.3
v672,0.0,0.7,0.0,0.6
v673,0.0,0.7,1.0,0.5
v674,0.5,0.9,0.1,0.9
v675,0.8,0.0,0.8,0.0
v676,0.8,0.3,0.5,0.5
v677,0.5,0.6,0.4,0.6
v678,0.7,0.0,0.7,0.0
v679,0.7,0.6,0.7,0.4
v680,0.7,0.5,0.7,0.5
v681,0.6,0.3,0.8,0.1
v682,0.7,0.5,0.5,0.5
v683,0.9,0.0,0.3,0.0
v684,0.9,0.0,0.7,0.2
v685,0.6,0.8,0.5,0.6
v686,0.5,0.7,0.3,0.5
v687,0.5,0.0,0.5,0.0
v688,0.8,0.0,0.8,0.0
v689,0.2,1.0,0.4,0.4
v690,0.9,0.0,1.0,0.0
v691,0.5,0.8,0.3,0.5
v692,1.0,0.0,0.4,0.0
v693,0.6,0.9,0.1,0.9
v694,0.0,0.0,0.4,0.0
v695,0.6,0.7,0.1,1.0
v696,0.2,0.8,0.5,0.3
v697,0.4,0.6,0.6,
v698,0.5,0.6,0.0,0.6
v699,0.9,1.0,0.8,0.9
v700,0.7,0.0,0.8,0.0
v701,0.0,0.9,0.0,0.9
v702,0.5,0.0,0.8,0.0
v703,0.0,1.0,0.0,0.2
v704,0.2,1.0,0.0,1.0
v705,0.0,1.0,0.0,0.6
v706,0.8,0.5,0.0,0.4
v707,0.7,0.1,1.0,0.0
v708,1.0,0.0,0.5,0.0
v709,0.2,0.7,0.0,0.6
v710,0.6,0.4,0.8,0.3
v711,0.8,0.5,0.9,0.5
v712,0.6,0.9,0.1,0.9
v713,0.2,0.7,0.6,0.2
v714,0.7,0.5,0.8,0.5
v715,0.7,0.2,0.7,0.3
v716,0.5,0.5,0.7,0.5
v717,0.7,0.0,0.7,0.0
v718,1.0,0.1,0.7,0.3
v719,0.4,0.2,0.2,0.3
v720,0.4,0.6,0.0,0.9
v721,1.0,0.3,0.8,0.0
v722,0.9,0.0,0.9,0.0
v723,0.7,0.8,0.5,0.7
v724,0.9,0.2,0.2,0.0
v725,0.7,0.7,1.0,0.1
v726,1.0,0.0,0.6,0.1
v727,0.9,0.0,0.5,0.0
v728,0.5,0.7,0.4,0.6
v729,0.5,0.5,0.4,0.5
v730,0.8,0.3,0.8,0.2
v731,0.9,0.5,0.5,0.5
v732,0.8,0.3,0.6,0.5
v733,0.4,0.7,0.0,0.5
v734,0.6,0.8,0.7,
v735,0.8,0.5,0.2,0.0
v736,0.0,0.4,0.0,1.0
v737,0.8,0.5,1.0,0.0
v738,1.0,0.3,1.0,0.4
