,A,B,C,D,E,F,G,H,I
v65,1.0,0.0,0.8,0.5,0.0,0.8,0.0,0.8,0.9
v66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v67,1.0,0.0,0.4,0.7,0.2,0.6,0.5,0.5,0.9
v68,0.3,0.0,0.3,0.5,0.3,0.2,0.3,0.3,0.3
v69,0.7,0.0,0.7,0.5,0.2,0.8,0.3,0.8,0.5
v70,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0
v71,0.8,0.0,0.4,0.5,0.2,0.4,0.6,,0.5
v72,1.0,0.0,0.9,0.8,0.2,0.6,0.0,0.9,0.7
v73,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v74,0.9,0.0,1.0,0.7,0.0,0.3,0.0,0.9,0.5
v75,0.5,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.3
v76,0.6,0.0,0.9,0.4,0.2,0.6,0.2,0.8,0.6
v77,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
v78,0.8,0.0,0.0,1.0,0.3,0.7,0.0,0.6,0.8
v79,1.0,0.9,0.3,0.5,0.5,0.3,0.9,0.3,0.5
v80,1.0,0.4,0.1,1.0,1.0,1.0,1.0,0.6,1.0
v81,0.9,0.0,0.5,1.0,0.3,0.4,0.0,0.5,1.0
v82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v83,0.9,0.6,0.0,0.0,,0.3,0.2,0.0,0.7
v84,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
v85,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
v86,0.8,0.0,0.0,0.8,0.6,0.2,0.2,0.0,0.5
v87,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7
v88,0.8,0.4,0.3,0.5,0.5,0.3,0.6,0.3,0.6
v89,0.0,1.0,0.0,0.2,0.8,0.3,1.0,0.2,0.3
v90,0.8,0.0,1.0,0.7,0.4,0.3,0.0,1.0,0.8
v91,0.5,1.0,0.3,0.6,0.7,0.5,0.7,0.3,0.5
v92,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
v93,0.7,0.7,0.2,0.7,0.7,0.2,0.8,0.2,0.6
v94,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v95,0.4,0.8,0.3,0.4,0.4,0.4,0.5,0.1,0.4
v96,0.8,0.0,0.4,0.5,0.2,0.3,0.0,0.4,0.5
v97,0.4,0.4,0.0,0.3,0.0,0.1,0.1,0.0,0.1
v98,0.7,0.0,1.0,0.8,0.0,0.1,0.0,0.7,1.0
v99,0.2,0.5,0.3,0.4,0.3,0.2,0.3,0.2,0.3
v100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v101,1.0,0.3,1.0,0.6,0.0,0.5,0.0,1.0,0.8
v102,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8
v103,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
v104,0.7,0.0,1.0,0.7,0.3,0.4,0.0,0.8,0.8
v105,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5
v106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
v107,0.5,0.7,0.3,0.4,0.4,0.5,0.6,0.4,0.6
v108,0.8,0.2,1.0,0.2,0.1,0.7,0.2,1.0,0.8
v109,0.7,0.7,0.6,0.9,0.3,0.4,0.5,0.3,0.6
v110,0.3,0.7,0.0,0.7,0.3,0.1,0.8,0.1,0.7
v111,0.3,0.9,0.2,0.3,0.0,0.9,0.4,0.2,0.2
v112,1.0,0.0,0.5,1.0,1.0,0.4,1.0,0.3,1.0
v113,0.9,0.3,0.4,0.4,0.3,0.2,0.4,0.8,0.7
v114,0.8,0.0,0.4,0.9,0.7,0.6,,0.6,0.8
v115,0.4,0.8,0.8,0.6,0.9,0.5,0.9,0.0,0.4
v116,0.8,0.2,0.8,0.7,0.3,0.6,0.2,0.8,0.8
v117,0.2,0.7,0.0,0.3,1.0,0.0,0.6,0.0,0.2
v118,0.9,0.2,0.7,0.8,0.3,0.7,0.1,0.7,0.8
v119,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
v120,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v122,0.0,0.3,0.0,0.0,0.2,0.0,0.8,0.0,0.0
v123,0.6,0.1,0.5,0.6,0.5,1.0,0.5,0.6,0.8
v124,0.8,0.0,0.0,0.8,0.5,0.0,0.1,0.2,1.0
v125,0.3,0.0,0.0,0.2,0.5,0.2,0.2,0.1,0.9
v126,0.7,0.2,0.9,0.5,0.2,0.7,0.2,0.8,0.5
v127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v128,0.0,0.8,0.0,0.0,0.6,0.0,1.0,0.0,0.0
v129,0.0,0.8,0.0,0.0,0.5,0.0,0.3,0.0,0.6
v130,0.4,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0
v131,0.9,0.3,0.6,0.5,0.3,0.6,0.2,0.5,0.5
v132,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v133,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
v134,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6
v135,0.5,0.3,0.5,0.5,0.2,0.5,0.3,0.5,0.6
v136,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.2
v137,0.5,0.5,0.0,0.0,0.5,0.3,0.3,0.0,0.0
v138,0.4,0.0,0.0,0.3,,,,,0.0
v139,0.6,0.1,0.7,0.4,0.6,0.5,0.4,0.7,0.5
v140,1.0,0.0,0.9,0.9,0.1,0.7,0.3,0.9,0.7
v141,0.9,0.3,0.4,1.0,1.0,0.6,0.7,0.4,1.0
v142,0.8,0.8,0.6,0.9,0.9,0.8,0.8,0.7,0.8
v143,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v144,0.8,0.0,0.3,1.0,1.0,0.0,0.4,0.0,1.0
v145,0.4,0.0,0.5,1.0,1.0,0.5,0.7,0.7,1.0
v146,1.0,0.0,0.3,0.4,0.5,0.3,0.4,0.4,0.3
v147,0.5,1.0,0.5,1.0,1.0,0.3,0.7,0.8,1.0
v148,0.5,0.3,0.1,0.3,0.3,0.2,0.2,0.3,0.6
v149,0.7,0.1,0.5,0.5,0.8,0.3,0.2,0.5,0.5
v150,0.8,0.0,0.5,0.8,0.0,0.6,0.0,0.6,1.0
v151,0.8,0.0,0.1,0.7,0.2,0.2,0.3,0.2,0.4
v152,0.7,0.3,0.4,0.6,0.2,0.3,0.3,0.3,0.6
v153,0.7,0.8,0.2,0.6,0.1,0.3,0.5,0.3,0.8
v154,0.7,0.0,0.6,0.7,0.3,0.2,0.0,0.5,0.9
v155,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
v156,0.3,0.9,0.2,0.5,0.3,0.5,0.6,0.0,0.5
v157,0.1,0.5,0.0,0.3,0.5,0.0,0.4,0.0,0.2
v158,0.9,0.0,0.0,0.8,0.4,0.2,0.8,0.0,0.9
v159,1.0,0.0,1.0,0.6,0.0,0.8,0.0,0.8,1.0
v160,0.4,0.6,0.0,0.1,0.0,0.0,0.8,0.0,0.6
v161,0.3,1.0,0.0,0.5,0.8,0.0,0.6,0.0,0.4
v162,1.0,0.3,0.4,0.8,0.0,0.0,0.0,0.4,0.7
v163,1.0,0.2,0.0,0.5,0.3,0.0,0.1,0.0,0.5
v164,0.0,0.9,0.0,0.0,0.5,0.0,0.4,0.0,0.0
v165,1.0,0.0,0.6,1.0,0.7,0.9,0.7,0.4,1.0
v166,0.8,0.0,1.0,0.2,0.0,1.0,0.0,1.0,0.9
v167,1.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9
v168,0.7,0.3,0.4,0.6,0.0,0.0,0.0,0.6,0.7
v169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v170,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0
v171,0.8,0.4,0.7,0.6,0.4,0.6,0.3,0.7,0.6
v172,0.5,0.3,0.3,0.2,0.1,0.3,0.1,0.2,0.2
v173,0.6,0.0,0.7,0.6,0.2,0.9,0.0,0.7,0.7
v174,0.7,0.0,0.9,0.8,0.3,0.3,0.0,0.8,0.7
v175,1.0,0.0,0.5,0.4,0.0,0.0,0.4,0.5,1.0
v176,0.5,0.0,0.0,0.5,0.5,0.5,0.9,0.0,0.5
v177,0.0,1.0,0.0,0.1,0.7,0.2,0.8,0.0,0.0
v178,0.7,0.1,0.6,1.0,1.0,0.3,0.7,0.3,1.0
v179,0.5,0.1,1.0,0.5,0.2,0.4,0.0,0.9,0.7
v180,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v181,0.8,0.5,0.0,0.6,0.5,0.2,0.0,0.0,0.4
v182,0.0,1.0,0.0,0.4,0.8,0.0,1.0,0.0,0.5
v183,1.0,0.0,0.6,0.6,0.3,0.3,0.0,0.6,0.8
v184,0.8,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.4
v185,0.7,0.0,0.8,0.6,0.5,0.3,0.0,0.7,0.9
v186,1.0,0.0,0.8,0.9,0.0,0.7,0.0,0.8,0.7
v187,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v188,0.1,0.1,0.0,0.1,0.0,0.8,0.4,0.4,0.6
v189,0.3,1.0,0.4,0.3,0.6,0.3,0.2,0.6,0.3
v190,0.7,0.0,0.5,1.0,0.0,0.7,0.0,0.7,1.0
v191,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v192,0.5,0.3,0.3,0.3,0.4,0.0,0.4,0.5,0.3
v193,0.3,0.1,0.1,0.8,0.2,0.2,0.4,0.1,0.6
v194,0.9,0.0,1.0,0.6,0.3,0.1,0.0,1.0,0.7
v195,0.9,0.0,0.5,0.7,0.2,0.5,0.3,0.5,0.4
v196,0.5,0.1,0.3,0.7,0.0,0.0,0.0,0.3,1.0
v197,,0.9,,,,,,,
v198,0.5,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5
v199,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
v200,0.3,0.0,0.8,0.6,0.0,0.7,0.0,0.8,0.8
v201,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
v202,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
v203,0.7,0.2,0.8,0.5,0.2,0.6,0.4,0.8,0.5
v204,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v205,0.9,0.0,0.8,0.9,0.1,0.6,0.2,0.8,0.4
v206,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
v207,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.4
v208,0.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1
v209,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.2,0.4
v210,1.0,0.3,0.0,0.6,0.0,0.0,0.3,0.0,0.4
v211,0.1,1.0,0.1,0.5,0.2,0.4,0.8,0.2,0.5
v212,,0.0,0.5,0.7,0.0,,0.0,0.6,1.0
v213,0.5,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.7
v214,0.1,0.9,0.0,0.0,0.2,0.0,0.1,0.0,0.0
v215,0.5,0.8,0.0,0.6,0.6,0.3,0.8,0.0,0.5
v216,0.6,0.6,0.7,0.3,0.4,0.3,0.5,0.4,0.4
v217,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
v218,1.0,0.4,0.0,0.0,0.1,0.0,0.3,0.2,0.6
v219,0.9,0.3,0.3,0.2,0.2,0.1,0.3,0.3,0.2
v220,0.7,0.6,0.9,0.5,0.8,0.8,0.5,0.4,0.5
v221,1.0,0.0,0.7,1.0,0.3,0.5,0.9,0.5,1.0
v222,0.7,0.0,0.6,0.1,0.4,0.6,0.3,0.6,0.6
v223,0.6,0.0,0.9,0.4,0.4,0.4,0.3,0.9,0.7
v224,0.5,0.0,0.5,0.3,0.0,0.0,0.0,0.5,1.0
v225,0.7,0.0,0.0,0.8,0.0,0.0,0.3,0.4,0.4
v226,0.9,0.0,0.9,0.5,0.0,0.9,0.0,0.9,0.9
v227,0.0,1.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0
v228,0.6,0.5,0.5,0.6,0.3,0.4,0.3,0.5,0.6
v229,0.8,0.0,0.7,0.8,0.5,0.7,0.0,0.7,0.9
v230,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.6,1.0
v231,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5
v232,0.8,0.2,0.6,0.5,0.2,0.4,0.2,0.6,0.6
v233,0.0,1.0,0.0,0.0,0.7,0.0,0.8,0.0,0.0
v234,0.9,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.7
v235,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0
v236,0.5,0.7,0.3,0.2,0.1,0.2,0.8,0.3,0.3
v237,0.0,1.0,0.0,0.2,0.9,0.0,1.0,0.0,0.0
v238,0.7,0.0,0.0,0.5,0.3,0.0,0.1,0.0,0.7
v239,0.6,0.0,0.1,0.8,0.8,0.0,0.0,0.2,0.6
v240,0.1,0.5,0.3,0.8,0.8,0.2,0.0,0.7,0.5
v241,0.3,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.2
v242,0.4,0.9,0.9,0.7,0.9,0.2,0.6,0.1,0.4
v243,0.4,0.5,0.1,0.3,0.5,0.2,0.2,0.2,0.1
v244,0.7,0.0,1.0,0.4,0.0,1.0,0.0,1.0,0.8
v245,0.5,0.0,0.5,0.9,0.0,0.5,0.5,0.7,0.8
v246,0.8,0.9,0.0,0.9,0.8,0.0,0.7,0.0,0.8
v247,1.0,0.4,0.7,1.0,0.5,0.6,0.0,0.1,1.0
v248,1.0,0.2,0.5,0.6,0.2,0.6,0.2,0.5,0.6
v249,0.7,0.0,0.5,1.0,0.0,0.1,0.0,0.3,0.7
v250,0.7,0.0,0.7,0.4,0.4,0.6,0.0,0.6,1.0
v251,0.4,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0
v252,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
v253,0.5,0.5,0.2,0.3,1.0,0.3,0.4,0.5,0.3
v254,1.0,0.8,0.6,1.0,0.9,0.5,0.2,0.3,0.9
v255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v256,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
v257,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
v258,0.1,0.9,0.2,0.1,0.9,0.1,0.9,0.2,0.1
v259,0.6,0.6,0.6,0.3,0.5,0.4,0.4,0.5,0.7
v260,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
v261,1.0,0.0,0.9,0.5,0.0,0.8,0.0,0.9,1.0
v262,,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0
v263,0.7,0.4,0.5,0.7,0.5,0.6,0.2,0.5,0.6
v264,0.5,0.1,0.1,0.8,0.2,0.2,0.1,0.1,0.7
v265,0.6,0.8,0.7,0.5,0.5,0.4,0.5,0.3,0.4
v266,0.7,0.4,0.7,0.6,,,,0.7,0.4
v267,0.0,1.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0
v268,1.0,0.0,0.0,0.0,0.1,0.3,0.3,0.0,0.8
v269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v270,1.0,0.0,0.0,0.9,,0.0,0.0,0.0,0.5
v271,0.4,0.0,0.6,0.6,0.1,0.6,0.2,0.6,0.8
v272,1.0,0.0,0.0,1.0,1.0,0.0,0.4,0.0,0.5
v273,0.4,0.9,0.3,0.5,0.3,0.7,0.3,0.3,0.5
v274,0.5,0.0,0.6,0.6,0.7,0.9,0.0,0.7,0.6
v275,0.0,1.0,0.0,0.2,0.2,0.3,1.0,0.0,0.3
v276,1.0,0.0,1.0,0.5,0.0,0.9,0.0,1.0,1.0
v277,1.0,0.0,0.5,0.5,0.5,0.7,0.0,0.5,0.8
v278,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v280,0.9,0.0,0.4,1.0,1.0,0.3,0.4,0.3,1.0
v281,0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
v282,0.0,1.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0
v283,0.7,0.0,0.7,0.6,0.0,0.3,0.0,0.9,1.0
v284,0.2,0.9,0.2,0.2,0.9,0.1,0.8,0.2,0.2
v285,1.0,0.0,0.7,0.4,0.0,0.8,0.0,0.0,0.9
v286,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
v287,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,1.0
v288,0.0,1.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0
v289,0.5,0.0,0.5,0.2,0.0,0.0,0.0,0.5,0.1
v290,0.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
v291,0.9,0.0,0.9,1.0,0.5,0.7,0.5,0.9,0.9
v292,0.7,0.0,1.0,0.8,0.0,0.8,0.0,1.0,0.5
v293,0.5,0.3,0.9,0.3,0.3,0.4,0.3,0.8,0.6
v294,1.0,0.0,1.0,0.5,0.0,0.8,0.0,1.0,1.0
v295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v296,0.0,1.0,0.2,0.4,0.8,0.4,1.0,0.2,0.4
v297,0.1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0
v298,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v299,0.0,1.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0
v300,0.8,0.0,0.4,0.9,0.5,0.2,0.4,0.3,1.0
v301,0.5,0.0,0.6,0.7,0.0,0.0,0.0,0.7,0.7
v302,0.6,0.1,0.7,0.7,0.2,0.6,0.2,0.6,1.0
v303,0.8,0.0,1.0,0.4,0.0,1.0,0.2,1.0,0.8
v304,0.5,0.0,0.5,0.3,0.0,0.0,0.0,0.5,0.5
v305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v306,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0
v307,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0
v308,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v309,0.5,0.0,0.8,0.4,0.0,0.7,0.0,0.6,0.6
v310,0.6,0.0,0.7,0.4,0.4,0.7,0.2,0.6,0.7
v311,0.4,0.0,0.4,0.5,0.2,0.6,0.0,0.5,0.7
v312,0.9,1.0,0.1,0.1,0.1,0.2,0.1,0.2,0.1
v313,0.8,0.0,0.7,0.6,0.0,0.5,0.0,0.7,0.6
v314,0.3,1.0,0.1,1.0,1.0,0.5,0.7,0.3,0.8
v315,0.4,0.8,0.1,0.2,0.7,0.5,0.2,0.3,0.7
v316,1.0,0.0,0.8,0.7,0.0,0.1,0.0,0.8,0.7
v317,0.8,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0
v318,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v319,1.0,0.3,0.6,0.7,0.3,0.3,0.2,0.7,0.8
v320,0.9,0.0,0.7,0.8,0.3,0.6,0.0,0.5,1.0
v321,0.5,0.0,1.0,0.6,0.4,0.8,0.0,1.0,0.7
v322,0.4,1.0,0.2,0.5,0.6,0.2,0.9,0.3,0.4
v323,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v324,1.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.7
v325,0.1,1.0,0.1,0.2,0.3,0.1,0.2,0.2,0.3
v326,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0
v327,1.0,0.0,1.0,0.7,0.0,0.7,0.0,1.0,0.6
v328,1.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.5
v329,0.6,0.0,0.5,0.4,0.3,0.7,0.1,0.7,0.9
v330,0.7,0.0,0.6,0.5,0.0,0.5,0.0,0.8,0.7
v331,0.5,0.3,0.0,0.0,0.0,0.0,0.4,0.1,0.3
v332,0.6,0.3,0.4,0.4,0.3,0.5,0.2,0.0,0.6
v333,0.8,0.0,0.3,0.7,0.0,0.6,0.3,0.4,0.7
v334,0.7,0.0,0.5,0.7,,0.5,0.0,0.8,0.5
v335,1.0,0.0,0.5,0.7,0.0,0.5,0.2,0.5,0.8
v336,0.9,0.0,1.0,0.5,0.0,0.9,0.0,1.0,0.8
v337,0.8,0.0,0.7,0.7,0.2,0.2,0.0,0.7,1.0
v338,0.7,0.1,0.7,0.8,0.2,0.6,0.2,0.7,0.6
v339,1.0,0.0,0.3,0.2,0.0,0.1,0.0,0.4,0.3
v340,0.0,0.9,0.0,0.0,0.1,0.0,0.8,0.0,0.0
v341,0.3,0.4,0.3,0.8,0.8,0.4,0.3,0.6,0.3
v342,0.9,0.4,0.5,0.7,0.3,0.5,0.2,0.5,0.7
v343,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v344,0.0,0.7,0.1,0.0,1.0,0.0,0.0,0.2,0.1
v345,0.6,0.4,0.3,0.1,0.8,0.4,0.3,0.0,0.1
v346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
v347,0.4,0.7,0.4,0.4,0.4,0.3,0.7,0.8,0.8
v348,0.8,0.0,0.4,1.0,0.3,0.0,0.0,0.4,0.8
v349,0.5,1.0,0.0,0.0,0.2,0.0,0.5,0.5,0.0
v350,0.2,1.0,0.2,0.2,0.1,0.2,1.0,0.2,0.2
v351,0.5,0.0,1.0,0.7,0.0,0.6,0.0,1.0,0.8
v352,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v354,0.3,0.5,0.3,0.4,0.7,0.3,0.4,0.2,0.4
v355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v356,0.3,0.0,1.0,0.4,0.0,0.7,0.2,1.0,0.6
v357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v358,0.5,0.6,0.3,0.4,0.4,0.6,0.2,0.3,0.5
v359,0.4,1.0,0.1,0.3,0.4,0.0,0.6,0.2,0.4
v360,0.4,1.0,0.0,0.5,0.5,0.0,0.7,0.0,0.3
