,A,B,C,D,E,F,G
v393,0.4,0.3,0.3,0.3,0.3,0.4,0.4
v394,0.5,0.1,0.0,0.0,0.0,0.0,0.0
v395,0.5,0.3,1.0,0.4,0.9,0.5,0.2
v396,,,,,1.0,,
v397,0.0,0.0,0.7,0.4,0.3,0.2,0.0
v398,,,,,1.0,,
v399,0.5,0.2,0.4,0.2,0.0,0.4,0.2
v400,0.3,0.6,0.3,0.9,0.8,,
v401,0.0,0.4,0.8,0.7,0.2,0.1,0.0
v402,1.0,0.0,0.5,0.0,0.0,0.0,0.0
v403,0.9,0.6,0.0,0.0,0.0,0.0,0.8
v404,0.2,0.5,0.4,0.7,0.2,0.5,0.6
v405,0.0,0.1,0.7,0.6,1.0,0.4,0.3
v406,0.8,0.4,0.6,0.4,0.0,0.5,0.6
v407,0.3,0.7,0.4,0.5,0.3,0.4,0.3
v408,0.5,0.3,0.3,0.5,0.3,0.1,0.3
v409,0.2,0.9,0.1,0.5,0.0,0.0,0.2
v410,0.1,0.1,0.5,0.5,0.0,0.5,0.5
v411,0.1,0.2,0.4,0.8,0.3,0.8,0.8
v412,0.8,1.0,0.0,0.0,0.4,0.2,0.2
v413,0.0,0.6,0.7,0.6,0.7,0.6,0.6
v414,0.0,0.5,0.4,0.8,0.8,0.4,0.6
v415,0.0,0.2,0.7,0.3,0.7,0.6,0.6
v416,0.3,0.6,0.0,0.6,0.1,0.0,0.0
v417,0.0,0.5,1.0,0.6,0.7,0.1,0.2
v418,0.0,0.2,0.8,0.6,0.6,0.4,0.1
v419,0.7,0.5,0.8,0.8,0.0,0.3,0.1
v420,1.0,0.0,0.5,0.5,0.0,0.5,0.3
v421,0.3,0.8,0.1,0.8,0.2,0.1,0.2
v422,0.7,0.4,0.0,0.3,0.0,0.6,0.5
v423,0.0,0.0,0.8,0.5,0.1,1.0,0.0
v424,0.4,0.5,0.0,0.0,0.5,1.0,0.4
v425,0.0,0.4,0.5,0.7,0.7,,0.7
v426,0.0,0.5,0.9,0.5,0.2,0.3,0.1
v427,0.2,0.1,0.2,0.2,0.2,,
v428,0.4,0.3,0.8,0.4,0.8,0.5,0.5
v429,0.0,0.5,0.7,0.3,0.5,0.6,0.7
v430,0.0,0.4,0.7,0.8,1.0,0.5,0.0
v431,0.0,0.4,0.7,1.0,1.0,0.7,0.6
v432,0.0,0.0,0.7,0.5,1.0,0.7,0.5
v433,0.2,0.9,,0.7,0.1,,0.5
v434,0.0,0.2,1.0,0.8,0.6,0.9,0.0
v435,0.0,0.2,0.6,0.2,0.5,0.0,0.0
v436,0.8,0.7,0.2,0.5,0.0,0.0,0.3
v437,0.0,0.3,0.2,0.4,0.2,0.1,0.0
v438,0.4,0.8,0.1,0.8,0.1,0.1,0.5
v439,0.0,0.2,0.8,0.7,0.7,0.0,0.2
v440,0.0,0.2,0.9,0.9,0.9,0.6,0.2
v441,0.3,0.4,0.0,0.3,0.5,0.0,0.3
v442,0.0,0.6,0.8,0.9,0.7,0.5,0.2
v443,0.3,0.3,0.2,0.1,0.2,0.1,0.3
v444,0.0,0.0,0.8,0.7,0.6,0.3,0.4
v445,0.2,0.8,0.4,0.7,0.3,0.0,0.3
v446,1.0,0.0,0.0,0.0,0.0,0.4,0.8
v447,0.7,0.6,0.1,0.5,0.4,0.1,0.1
v448,0.0,0.0,1.0,0.0,0.3,0.5,0.0
v449,0.0,0.6,0.6,1.0,0.8,0.3,0.6
v450,0.1,0.1,0.5,0.5,0.3,0.5,0.0
v451,0.0,0.2,1.0,0.6,0.4,0.3,0.0
v452,0.2,0.7,0.0,0.0,0.0,0.0,0.1
v453,0.0,0.1,1.0,0.5,0.5,0.5,0.2
v454,0.0,0.9,0.2,0.7,0.7,0.1,0.1
v455,0.0,0.4,0.5,1.0,1.0,0.0,0.8
v456,0.5,0.5,0.1,0.5,0.0,,0.5
v457,0.5,0.4,0.3,0.8,0.6,0.2,0.5
v458,0.2,0.4,0.5,0.6,0.7,0.4,0.2
v459,0.0,0.9,0.2,0.9,0.3,0.3,0.2
v460,1.0,0.0,0.0,0.0,0.0,0.0,0.0
